"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57"
"693",2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"694",1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2
"695",2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2
"696",2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,2
"697",1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2
"698",2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2
"699",1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,2
"700",1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,NA,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2
"701",2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"702",1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1
"703",1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2
"704",1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2
"705",1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2
"706",1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2
"707",2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,2
"708",1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2
"709",2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2
"710",1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,2
"711",1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2
"712",1,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,NA,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2
"713",2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2
"714",1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,2,2,1,2
"715",2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,NA,2,2,NA,2,2,2,2,2
"716",1,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2
"717",1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2
"718",1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2
"719",1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2
"720",1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2
"721",2,1,NA,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1
"722",1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2
"723",1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2
"724",1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,2,2,1,2
"725",1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2
"726",1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2
"727",2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2
"728",2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2
"729",1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2
"730",1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2
"731",2,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2
"732",1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1
"733",1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,1,2,1,1,2,1,1,1,2,2,2
"734",2,2,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1
"735",1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,NA,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,2,2
"736",1,2,1,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2
"737",1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1
"738",1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,2,2
"739",2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2
"740",1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1
"741",1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2
"742",1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1
"743",1,1,1,1,1,NA,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2
"744",1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1
"745",1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2
"746",1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"747",2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2
"748",2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2
"749",2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2
"750",1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,2
"751",2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2
"752",1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,1,2
"753",1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2
"754",1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,1,1
"755",2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2
"756",1,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2
"757",1,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2
"758",2,2,1,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2
"759",2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1
"760",1,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2
"761",1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2
"762",2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2
"763",1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2
"764",1,1,2,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2
"765",1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2
"766",1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,1
"767",1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1
"768",1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2
"769",1,2,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2
"770",1,NA,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,1
"771",1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2
"772",2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,2
"773",1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,NA,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1
"774",1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1
"775",2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2
"776",1,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2
"777",1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2
"778",1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2
"779",1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,2
"780",2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
"781",1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,2,1
"782",1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2
"783",2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1
"784",2,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2
"785",1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1
"786",1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2
"787",1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1
"788",1,1,1,1,2,1,2,1,1,2,1,1,1,1,NA,1,2,NA,1,1,1,NA,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,1,2,NA,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2
"789",2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2
"790",1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2
"791",1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1
"792",2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2
"793",1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1
"794",1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2
"795",1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2
"796",1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2
"797",2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,1,1,NA,1,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,2
"798",2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2
"799",1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1
"800",2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2
"801",1,1,2,1,1,1,2,2,1,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"802",1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1
"803",1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2
"804",2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2
"805",1,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2
"806",1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2
"807",1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,2,1,1,2
"808",2,2,2,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,2
"809",1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,NA,1,2,1,2,2,2,2,1,2
"810",2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,2,2
