"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5","gender","education","age"
"63069",2,6,6,6,5,6,6,5,3,3,4,5,4,4,4,3,5,3,3,3,4,2,5,6,4,2,3,23
"63070",5,2,3,5,4,6,4,5,2,4,5,6,2,2,2,4,3,1,3,1,6,2,2,6,2,1,4,34
"63071",1,6,6,6,6,6,5,6,1,1,2,3,3,6,5,2,2,2,1,1,5,1,4,6,1,2,3,41
"63073",3,5,3,5,5,6,4,4,2,5,2,2,2,6,4,4,4,3,2,2,6,1,5,6,1,2,3,23
"63075",1,6,5,6,5,6,5,5,4,2,4,5,4,5,5,3,3,5,4,6,4,5,6,5,4,1,2,24
"63077",1,5,5,5,6,5,5,5,2,1,6,5,2,5,3,5,5,5,6,5,2,2,5,4,2,2,4,45
"63081",3,4,5,6,5,4,6,4,1,1,2,2,5,5,6,3,3,3,2,1,6,3,5,4,5,2,3,43
"63083",2,5,5,6,4,3,4,4,3,3,4,4,4,4,5,4,5,4,4,4,4,5,4,4,3,2,NA,15
"63084",1,6,6,4,5,5,4,5,2,1,2,2,5,6,5,1,4,3,4,1,4,1,5,5,2,2,NA,15
"63089",2,5,5,3,5,5,6,3,1,6,1,2,4,5,5,5,5,6,5,4,6,1,5,5,2,1,NA,16
"63090",5,6,6,4,5,5,5,4,2,3,3,2,5,6,4,1,2,2,2,2,6,1,3,5,2,1,NA,16
"63092",5,4,5,1,5,3,5,5,4,2,3,4,4,3,2,4,5,3,5,2,6,2,5,5,1,1,NA,15
"63094",3,5,2,NA,5,4,3,3,3,5,4,4,3,4,2,4,4,2,2,1,5,1,4,5,2,1,NA,16
"63096",1,6,5,6,5,4,5,5,1,2,1,2,4,5,4,1,2,2,1,2,5,1,4,5,2,2,4,27
"63097",1,6,6,6,6,5,6,6,2,1,1,4,6,4,5,6,5,4,5,6,2,4,4,6,2,2,5,37
"63099",1,5,6,6,1,3,5,5,2,2,2,1,4,6,4,1,1,2,3,3,5,3,4,2,5,2,2,25
"63100",3,2,4,1,4,5,6,3,2,4,4,3,2,4,5,4,6,5,4,1,3,1,4,2,3,2,NA,16
"63102",1,6,4,5,4,5,5,5,1,4,3,3,5,5,5,3,4,2,2,2,4,6,4,5,4,2,3,21
"63103",5,6,3,2,2,5,6,6,1,2,5,3,4,5,4,2,5,3,3,5,6,1,6,6,5,1,NA,16
"63104",4,4,3,3,3,3,3,3,3,4,3,4,3,6,3,3,3,4,3,3,3,3,3,3,3,1,NA,16
"63108",2,3,4,4,5,3,2,5,4,6,3,2,4,5,2,2,4,1,2,1,3,3,3,4,3,1,3,27
"63109",2,6,4,2,5,5,5,5,1,1,5,2,6,4,6,3,3,1,1,NA,6,4,4,6,1,2,3,27
"63112",2,4,4,3,5,3,2,3,4,4,4,2,5,5,5,1,1,2,2,1,4,1,3,6,2,1,3,30
"63115",2,5,5,6,5,5,5,5,5,4,6,4,3,5,2,2,2,2,3,3,6,2,4,6,5,1,3,23
"63116",5,6,6,6,6,4,5,5,2,1,1,1,5,6,5,1,NA,2,1,2,4,3,5,4,3,1,3,41
"63120",2,5,5,3,2,5,4,6,1,4,3,6,2,1,5,6,6,6,3,2,5,1,4,3,2,2,3,26
"63121",2,6,5,6,5,6,6,6,1,5,2,2,4,5,4,1,4,4,1,2,5,6,3,4,3,2,3,17
"63122",2,4,4,4,5,3,4,3,3,4,4,4,3,4,4,3,3,3,4,2,5,2,4,5,2,2,3,35
"63123",3,1,5,6,4,5,6,1,2,1,5,3,5,6,5,1,1,1,1,1,6,4,6,6,1,1,3,18
"63125",2,4,2,2,3,5,5,5,2,2,4,5,2,3,2,4,5,3,4,4,5,3,4,4,5,1,3,19
"63127",2,5,6,6,2,5,5,5,1,2,2,5,2,2,5,2,5,6,2,6,4,6,4,6,2,1,2,42
"63128",2,6,6,6,5,5,5,6,2,2,1,2,5,6,4,2,4,4,2,4,5,2,5,4,2,2,3,19
"63130",1,6,6,5,5,5,4,5,2,6,1,2,6,6,6,5,6,5,4,6,6,6,5,5,2,2,3,35
"63131",1,6,NA,6,6,5,6,5,NA,1,1,3,6,5,5,1,1,5,1,1,5,1,4,5,2,2,3,52
"63135",2,5,4,5,5,4,4,5,3,4,3,2,4,5,5,4,3,2,2,2,5,4,4,4,4,1,3,19
"63136",2,6,5,5,2,4,6,5,2,4,2,6,4,3,5,2,4,5,4,2,4,4,5,5,1,2,3,41
"63139",1,6,5,6,6,5,5,6,2,2,2,2,5,5,6,4,4,1,1,3,5,3,4,5,2,2,4,23
"63141",1,6,6,NA,5,1,6,6,1,1,2,5,4,4,6,5,5,6,4,3,5,1,2,5,1,2,3,42
"63142",2,5,5,5,5,3,4,5,2,4,2,2,6,6,6,3,2,3,2,2,5,4,5,6,2,1,1,19
"63146",1,6,6,6,1,4,2,2,2,4,1,1,6,5,6,2,2,2,3,2,6,1,6,5,1,2,3,45
"63147",1,5,4,5,5,6,5,6,1,1,2,1,5,6,5,3,3,4,2,3,5,1,5,5,2,2,3,44
"63152",1,3,4,4,4,5,6,4,4,4,6,4,2,3,2,3,2,1,1,2,5,1,4,6,2,1,3,21
"63154",2,6,5,6,4,5,5,6,2,3,1,2,5,6,5,3,5,2,2,2,5,4,5,3,3,2,1,19
"63155",3,6,5,4,4,5,5,6,2,4,4,4,3,4,5,4,4,5,4,5,6,4,6,6,2,1,3,18
"63158",1,1,5,6,6,6,5,2,1,5,4,5,2,5,3,3,4,4,2,3,6,1,6,6,1,1,5,34
"63161",2,6,4,2,5,NA,3,3,1,1,5,4,6,3,5,1,1,1,4,1,6,1,5,4,1,1,5,25
"63163",1,6,5,6,5,6,6,6,1,2,1,2,4,6,6,1,4,1,3,1,6,1,5,6,1,2,5,53
"63165",1,5,5,6,5,3,4,3,2,2,2,3,3,5,3,3,3,3,3,2,4,2,2,5,2,2,3,36
"63171",5,4,6,2,4,4,4,4,3,5,5,4,2,4,5,5,6,5,4,5,5,1,5,6,6,1,1,19
"63172",5,6,6,6,6,6,5,5,1,1,2,3,5,6,6,2,5,4,NA,4,6,4,5,4,3,2,4,31
"63173",3,5,5,3,4,4,4,6,2,4,1,3,5,5,6,3,5,4,5,3,6,2,4,6,2,1,5,23
"63176",1,6,6,5,6,4,5,5,2,2,2,1,3,5,5,1,1,2,2,1,6,4,4,3,2,2,3,19
"63181",3,4,5,6,2,3,5,4,2,3,3,2,3,5,4,2,3,2,2,5,2,2,3,2,2,2,3,26
"63182",2,4,4,6,4,4,5,4,2,2,1,2,4,5,4,4,3,5,6,2,2,3,5,5,3,2,2,23
"63183",3,4,4,6,5,3,3,2,3,4,1,1,3,6,4,2,2,1,1,1,4,3,4,3,2,1,3,25
"63187",3,3,3,4,5,3,5,5,1,6,1,4,4,5,5,4,3,4,2,4,5,4,4,4,3,2,NA,17
"63192",2,5,4,4,3,4,3,4,3,4,3,4,3,3,3,4,4,4,4,2,4,3,3,5,4,2,1,17
"63193",3,5,2,1,2,5,1,2,2,4,1,2,5,5,6,4,6,3,2,3,5,2,6,5,5,2,1,17
"63194",4,6,4,2,4,4,4,4,4,4,4,2,3,5,3,4,5,2,2,2,5,1,4,5,3,1,NA,17
"63197",2,5,5,2,4,5,5,4,3,4,2,2,4,5,5,5,6,5,5,5,2,3,4,6,2,2,3,16
"63200",3,6,6,3,4,3,4,6,2,1,6,3,1,4,4,2,1,2,6,6,6,2,6,2,3,1,NA,17
"63201",1,5,6,5,5,5,4,4,2,2,2,1,5,6,4,2,3,2,4,1,6,4,4,5,3,1,NA,17
"63203",2,4,5,1,5,4,2,2,4,3,2,5,4,4,4,3,4,3,3,4,5,5,3,4,4,1,NA,17
"63209",1,5,4,5,5,6,6,2,1,1,NA,6,2,5,5,4,4,5,6,6,4,2,3,6,4,2,3,20
"63215",3,4,6,1,2,5,5,2,3,5,1,6,5,4,5,4,5,5,6,2,3,2,5,6,4,2,NA,17
"63222",3,4,2,3,4,4,5,3,3,5,2,4,5,5,5,4,4,4,5,2,5,2,5,6,1,1,NA,17
"63223",2,5,6,5,4,3,2,2,5,6,2,3,3,6,4,3,3,5,4,3,3,2,3,6,2,1,NA,16
"63225",2,5,6,2,4,6,6,6,1,4,3,2,2,5,3,2,4,1,5,5,3,4,2,6,3,2,NA,17
"63227",2,4,5,2,3,4,4,4,2,4,1,5,4,4,4,4,4,4,5,4,4,3,4,4,3,2,NA,17
"63228",1,5,5,5,5,3,4,3,4,4,1,4,5,4,6,3,3,3,2,4,5,1,4,6,2,1,NA,17
"63233",1,5,5,6,4,5,5,3,2,3,5,4,2,2,5,5,2,4,2,4,5,2,5,5,1,2,3,24
"63237",2,6,6,6,6,5,5,5,3,4,2,1,5,6,6,2,5,3,2,1,5,2,5,5,2,1,3,18
"63238",1,5,6,2,3,5,3,2,2,4,5,4,4,5,6,2,3,5,5,2,6,4,6,6,2,1,3,22
"63239",3,6,6,6,6,6,5,6,2,1,1,1,6,6,5,2,2,3,2,2,6,1,5,6,1,2,3,27
"63242",2,5,5,5,5,4,4,5,2,2,3,2,2,5,2,1,1,2,2,1,2,4,2,4,3,2,3,32
"63245",1,6,6,6,5,5,6,6,4,3,4,4,5,5,5,4,2,2,3,4,6,4,6,6,1,1,1,34
"63246",1,6,5,2,4,5,3,5,1,1,1,1,3,6,5,5,4,4,1,1,6,1,6,6,1,2,4,22
"63250",2,5,5,4,5,5,4,4,2,5,2,4,5,5,3,3,3,3,2,3,4,1,4,3,3,1,5,21
"63252",1,5,5,6,4,5,5,5,2,2,2,2,2,2,6,5,6,2,4,4,6,1,5,5,2,2,3,24
"63253",2,6,3,3,3,2,2,4,3,4,4,6,3,2,3,5,5,5,5,4,3,2,4,6,3,2,3,19
"63258",1,4,6,6,6,4,5,5,2,3,1,4,5,6,NA,3,3,2,1,1,4,3,6,5,1,2,3,30
"63261",4,5,5,6,5,4,6,5,2,2,5,2,4,5,5,3,3,3,3,3,6,2,5,6,2,2,3,20
"63264",3,4,4,2,4,2,2,4,5,6,2,2,4,5,5,6,6,5,5,4,4,4,4,5,3,2,2,19
"63266",1,5,6,6,4,5,5,4,2,2,5,5,2,3,3,2,4,4,4,5,3,2,4,6,3,2,4,23
"63271",3,3,4,2,3,3,3,3,3,4,3,4,4,4,2,3,3,2,3,3,3,4,3,4,4,1,1,19
"63277",1,6,5,5,5,4,4,3,3,5,1,2,5,5,4,2,2,3,2,2,5,2,5,5,1,2,3,21
"63278",NA,3,4,3,3,3,3,3,2,3,3,3,2,6,3,4,3,NA,3,2,4,4,2,4,3,2,NA,17
"63280",1,5,5,4,4,4,4,6,3,5,1,1,4,6,5,3,4,4,3,2,6,1,6,6,1,1,3,21
"63281",1,5,4,5,5,5,5,5,3,3,2,4,6,2,4,4,3,5,2,5,4,2,6,5,2,1,3,25
"63286",3,4,5,5,4,4,4,4,4,5,2,2,3,6,4,2,3,2,2,3,5,4,4,4,2,2,3,22
"63287",5,6,6,5,5,5,5,6,1,1,6,1,5,5,6,1,1,1,1,1,6,1,6,5,1,1,3,21
"63289",1,4,3,5,3,1,5,5,6,6,6,6,2,2,1,5,4,6,6,6,4,6,4,6,1,2,NA,14
"63292",4,3,4,4,3,5,4,5,3,3,2,2,4,5,5,4,4,4,3,2,4,3,5,4,3,1,3,21
"63293",2,5,4,2,4,4,4,4,2,2,2,3,5,4,4,2,3,2,2,3,4,2,5,5,2,2,2,19
"63294",5,3,4,4,5,4,3,2,4,4,1,1,3,6,4,4,4,2,2,3,3,2,5,3,3,2,NA,13
"63301",3,3,5,6,5,3,5,5,2,2,1,2,4,6,6,2,2,5,1,3,5,3,3,3,3,2,2,31
"63302",1,5,5,2,5,5,5,3,2,4,5,4,4,4,5,2,4,2,3,1,5,2,2,5,2,2,4,34
"63307",4,5,2,1,4,5,4,5,4,4,5,5,4,5,3,5,5,5,5,5,4,5,5,6,3,2,NA,15
"63309",1,5,1,5,6,3,5,5,4,1,1,4,4,5,5,2,5,1,1,1,6,1,6,6,5,2,1,37
"63313",2,5,5,4,5,5,4,4,4,5,1,2,5,6,5,3,3,1,2,3,4,4,5,4,2,2,5,39
"63317",1,6,6,6,6,4,4,4,2,3,1,5,6,5,5,5,6,6,4,5,5,2,5,6,2,2,NA,17
"63320",1,6,3,4,2,5,6,5,1,1,2,3,4,5,4,4,1,3,2,5,5,2,6,6,1,1,1,16
"63321",3,5,6,6,5,4,4,3,3,3,2,3,5,6,4,1,4,3,2,2,3,5,4,5,1,1,1,16
"63322",4,4,2,1,5,6,4,4,2,5,1,4,5,5,4,2,2,1,1,1,6,1,6,6,1,1,NA,16
"63324",1,1,1,3,1,1,1,1,6,6,1,6,1,2,1,6,4,5,3,5,1,6,1,2,6,1,NA,40
"63326",2,4,3,2,4,3,3,4,2,3,5,2,2,4,4,1,3,6,5,4,5,1,4,6,1,2,NA,17
"63328",4,6,6,1,6,6,5,6,1,1,1,3,4,5,5,5,6,5,1,6,5,3,6,5,1,2,1,17
"63330",3,5,4,3,4,4,4,4,5,5,5,2,3,4,5,5,5,5,4,3,4,6,3,6,2,1,NA,17
"63331",1,6,5,5,4,4,2,3,2,2,1,2,5,6,5,2,4,2,1,5,4,4,4,5,3,1,NA,17
"63332",4,3,1,1,5,6,6,4,1,1,6,2,6,1,5,4,2,1,2,1,6,1,6,6,1,1,5,74
"63334",1,6,NA,6,6,4,5,5,6,4,1,1,5,6,6,4,5,5,2,2,5,1,5,5,2,2,1,17
"63335",2,5,5,6,5,5,4,4,3,3,2,2,5,5,5,3,NA,5,3,4,5,1,NA,4,1,2,3,30
"63337",5,2,2,2,4,6,6,6,1,1,1,1,5,6,6,2,5,1,1,1,6,1,6,1,1,1,4,48
"63338",2,5,5,5,2,4,5,4,4,4,2,2,5,5,4,4,5,1,3,4,5,3,5,5,2,2,3,32
"63339",2,5,5,2,5,6,5,5,1,2,3,2,5,5,6,1,1,4,4,1,6,1,5,6,1,2,4,44
"63340",2,6,6,6,6,6,6,5,1,3,1,1,5,6,5,2,2,2,4,6,5,2,4,2,4,2,3,40
"63342",2,5,5,5,5,5,5,4,3,2,1,2,6,5,5,2,3,3,2,3,5,3,5,4,2,2,4,23
"63346",1,6,3,5,6,5,5,6,1,4,1,1,4,6,5,4,4,4,2,2,5,2,6,4,4,2,3,40
"63351",1,6,6,6,6,5,5,4,2,2,2,2,3,6,5,2,2,2,1,2,5,2,4,5,2,2,3,39
"63352",6,5,5,4,5,4,2,4,3,5,2,3,5,5,4,4,4,5,4,5,4,2,5,6,1,1,NA,17
"63358",4,4,3,5,4,4,5,2,4,5,4,4,3,4,2,6,5,5,5,5,3,6,2,5,4,2,3,25
"63361",3,5,5,6,5,3,5,4,2,2,3,4,4,3,4,1,2,1,1,1,4,2,4,5,2,2,1,24
"63364",2,5,5,4,5,3,3,4,3,4,1,1,5,6,2,4,2,1,1,4,4,2,4,4,3,1,NA,14
"63369",2,5,5,5,NA,4,5,5,5,6,1,2,4,6,3,6,5,3,5,6,3,2,5,3,3,2,3,26
"63370",2,6,4,4,4,4,4,5,1,2,1,3,4,4,6,4,3,1,1,1,5,1,4,3,1,1,4,34
"63371",4,5,4,2,5,3,4,4,3,5,3,4,4,6,4,3,5,4,3,4,5,2,5,4,2,2,3,20
"63372",2,5,2,4,6,4,1,2,5,5,1,3,2,5,2,2,2,5,6,6,5,1,5,6,1,2,3,63
"63375",2,6,4,3,5,3,3,4,4,4,2,2,5,6,5,NA,2,2,3,3,5,2,5,5,3,2,1,18
"63376",1,6,6,6,6,4,6,5,2,2,1,1,6,6,6,1,4,4,4,4,6,1,6,6,1,2,5,28
"63378",2,5,6,6,5,5,5,5,2,NA,1,1,4,6,5,1,2,4,2,1,4,1,5,5,4,2,2,48
"63379",5,5,4,6,4,6,5,5,2,4,3,4,3,6,4,3,4,5,5,2,4,5,2,5,2,2,3,39
"63382",3,5,5,5,5,5,5,5,2,2,2,1,5,6,6,1,1,2,1,1,6,3,5,5,2,1,4,35
"63383",5,5,5,4,5,5,4,4,2,3,3,5,5,5,NA,2,4,2,2,1,5,4,4,4,4,2,2,46
"63386",2,5,5,4,2,4,4,5,1,4,2,4,3,4,4,1,1,2,4,2,5,1,5,5,1,1,3,20
"63389",1,5,5,6,5,5,6,6,1,2,5,2,2,5,5,2,2,1,1,2,5,6,2,2,4,2,3,23
"63395",2,2,5,5,4,5,NA,5,1,1,1,2,3,5,5,3,2,4,4,1,5,1,5,5,2,2,3,39
"63399",1,6,6,6,1,5,2,5,2,4,2,4,4,6,4,1,1,1,1,2,5,3,1,2,3,2,2,42
"63400",2,5,5,6,5,4,5,6,NA,1,2,2,4,4,6,4,4,4,1,4,4,6,4,4,4,1,3,26
"63402",1,5,5,6,4,4,4,4,5,6,1,3,3,2,4,6,6,4,6,3,5,5,5,6,2,2,3,19
"63404",5,4,2,4,5,5,6,5,2,4,2,5,4,5,4,2,5,5,5,5,5,4,3,NA,2,1,1,38
"63406",2,4,6,1,4,6,3,4,3,5,1,1,3,1,6,6,4,1,4,6,1,1,6,6,2,2,3,22
"63408",3,5,5,5,6,4,4,6,3,3,2,2,5,6,6,2,2,3,3,3,5,4,5,6,3,2,3,23
"63412",2,6,6,6,6,5,5,6,2,1,2,1,6,6,5,2,3,2,2,4,6,4,5,6,3,2,3,24
"63413",1,6,6,6,5,6,6,5,1,1,2,3,5,5,5,2,5,6,2,6,5,2,5,5,1,2,4,25
"63414",4,6,4,6,4,5,5,4,5,6,1,1,2,5,4,5,6,6,6,6,1,6,2,5,6,2,3,21
"63420",3,5,5,5,2,5,3,5,2,5,4,2,4,1,5,3,4,5,4,4,4,1,2,4,3,2,4,39
"63421",3,5,5,5,5,5,2,5,2,2,2,2,5,5,5,2,1,2,2,2,3,1,3,3,2,1,5,31
"63427",3,4,4,4,2,5,4,5,2,2,2,2,4,6,4,5,5,3,4,1,4,4,4,6,4,1,1,18
"63428",6,3,2,4,4,6,6,6,1,2,4,4,5,6,5,1,4,1,1,1,6,2,6,6,1,1,3,20
"63430",6,2,1,4,4,6,6,6,1,1,4,4,5,5,5,1,3,1,1,1,6,2,6,4,1,1,3,20
"63431",3,4,5,4,6,4,3,4,4,4,4,3,5,5,4,3,5,2,2,2,6,3,5,NA,4,1,2,23
"63432",3,5,5,5,5,5,5,5,2,4,5,6,4,5,3,1,1,1,1,2,5,2,4,5,3,1,4,24
"63435",4,4,5,4,6,2,2,2,4,6,1,2,4,5,3,1,1,3,4,3,5,4,3,3,2,2,NA,57
"63437",4,2,5,1,5,2,1,1,4,6,1,1,5,5,1,1,2,4,5,1,6,2,5,NA,2,1,3,20
"63438",1,6,6,5,6,4,4,5,3,3,2,3,5,5,5,1,4,3,4,5,4,1,5,6,3,1,3,22
"63439",2,5,5,6,4,4,4,4,4,4,2,4,4,4,5,4,4,5,4,3,4,1,5,6,3,2,3,21
"63441",2,5,4,4,5,3,3,5,5,5,5,5,3,5,4,3,2,2,6,5,3,5,3,5,4,2,4,23
"63442",3,5,5,5,5,4,4,5,3,NA,2,2,4,5,4,1,3,3,1,2,5,4,4,4,3,2,3,22
"63444",1,5,4,6,5,4,4,5,3,5,3,5,5,5,4,6,6,5,5,5,5,3,5,6,5,2,3,20
"63445",1,5,1,6,6,4,6,4,4,5,NA,2,5,6,5,4,5,5,4,6,6,2,5,6,2,2,3,31
"63446",2,5,5,2,4,2,3,2,4,5,4,4,4,3,2,4,5,6,6,5,4,4,5,6,2,1,2,48
"63448",1,6,6,4,5,6,4,6,1,2,1,2,3,5,4,1,4,4,2,1,5,2,3,4,4,2,5,29
"63450",2,5,5,5,3,5,5,4,3,4,5,4,1,2,5,4,5,5,2,2,6,5,3,6,2,2,3,23
"63452",1,6,6,5,5,6,5,4,1,2,2,1,5,5,4,3,3,3,3,4,4,1,6,4,1,2,1,34
"63454",5,5,4,5,5,4,4,4,2,4,1,2,5,5,5,2,3,2,1,1,5,2,4,4,2,1,3,21
"63455",4,6,5,5,6,5,6,6,2,4,5,4,4,5,6,5,5,4,6,4,6,5,5,5,5,2,3,27
"63458",1,4,2,3,4,2,2,4,3,5,5,4,4,4,1,1,1,1,1,1,2,4,2,3,5,2,4,28
"63459",1,NA,4,6,3,6,6,2,2,4,1,5,6,6,5,1,2,2,5,3,6,2,5,6,1,1,3,19
"63463",1,4,3,6,3,3,1,2,4,6,1,3,4,6,4,5,6,4,5,5,6,6,2,2,3,2,1,16
"63464",1,4,5,6,6,6,5,5,1,2,5,2,4,6,5,4,4,2,3,1,4,4,4,5,3,1,4,41
"63465",2,6,5,5,5,4,1,5,4,6,1,5,6,4,4,5,6,6,5,4,5,1,6,6,1,2,2,34
"63466",1,6,6,6,6,6,5,5,1,1,1,1,5,5,6,1,1,1,1,1,6,2,5,2,1,1,4,32
"63467",6,6,6,6,6,6,5,1,1,1,6,6,1,6,6,1,6,1,6,1,6,6,1,6,1,1,1,31
"63468",3,5,3,4,2,5,5,4,2,5,3,2,3,2,5,5,4,3,2,2,6,1,6,6,1,2,3,22
"63470",4,6,6,6,6,6,6,6,4,1,1,3,6,5,5,1,4,5,5,6,5,5,5,6,5,2,3,31
"63472",6,2,4,1,5,5,5,5,2,4,2,4,3,5,5,6,6,6,5,4,4,2,3,5,1,2,NA,33
"63473",1,5,4,4,4,3,2,5,4,5,5,6,3,2,1,1,1,4,6,1,4,1,4,6,4,1,2,35
"63476",3,5,5,6,5,5,5,6,2,3,2,4,3,6,4,3,2,3,2,1,4,3,4,5,3,2,2,48
"63479",1,2,5,6,5,3,4,5,1,1,2,2,5,5,5,1,1,2,4,2,5,1,5,5,2,1,5,34
"63480",1,6,6,4,5,5,6,5,2,4,2,2,4,4,6,2,2,5,4,1,6,1,5,6,1,2,5,31
"63481",2,4,4,4,5,4,4,2,2,4,4,5,2,5,4,1,4,1,2,1,5,1,5,5,3,1,4,32
"63485",2,4,3,4,3,2,3,5,4,5,5,5,1,3,4,5,5,5,6,5,5,2,5,6,6,2,3,20
"63486",5,4,5,4,4,4,6,4,2,3,1,2,5,4,6,1,4,1,1,1,5,1,5,5,1,2,3,19
"63488",1,5,5,6,5,5,5,2,2,2,4,2,4,5,5,2,4,2,2,1,1,4,5,5,3,2,5,50
"63491",6,6,6,6,6,6,6,6,1,1,4,1,5,6,5,1,4,5,5,6,4,4,5,6,6,2,3,35
"63493",4,6,5,6,5,3,3,2,3,6,6,6,6,1,3,1,2,4,5,1,3,6,4,6,4,2,2,23
"63494",4,3,3,4,3,5,5,4,3,5,5,4,2,3,3,3,3,2,3,3,5,1,5,6,2,1,1,18
"63496",2,5,5,6,5,3,5,5,2,1,2,2,5,6,5,2,3,2,1,1,5,5,4,3,2,2,1,21
"63498",2,5,5,6,5,4,3,3,2,3,5,4,4,5,2,4,4,4,3,3,6,2,4,6,2,2,3,20
"63499",1,6,5,4,6,4,2,4,4,5,2,2,5,4,5,4,4,4,4,4,6,2,4,4,4,1,5,54
"63501",4,3,6,4,6,2,5,6,1,1,5,2,6,1,2,3,3,1,4,3,4,6,4,6,3,2,3,51
"63502",3,4,4,6,4,3,4,4,4,1,1,4,4,4,5,1,4,1,2,4,6,4,4,1,1,2,2,20
"63504",1,6,4,4,4,6,2,5,2,1,6,5,1,4,1,1,6,5,4,6,2,6,1,6,1,2,1,38
"63505",1,5,5,1,6,6,5,5,1,6,2,1,5,5,6,1,1,5,5,6,4,5,5,5,4,2,4,53
"63509",2,4,2,2,3,5,5,5,3,5,4,4,2,5,5,5,5,5,5,3,5,3,4,6,2,2,NA,17
"63510",6,6,1,3,5,6,6,6,1,1,3,1,2,2,6,1,2,2,3,1,6,1,4,1,3,2,1,33
"63512",5,4,1,2,2,5,5,4,4,6,6,4,3,2,2,4,5,2,5,5,6,2,4,6,6,2,3,17
"63513",3,4,4,2,3,3,2,3,4,5,4,4,6,2,3,2,3,5,5,2,6,1,5,6,2,2,NA,15
"63516",2,6,6,6,6,6,6,6,2,5,4,3,5,6,5,3,3,2,4,3,6,1,5,5,1,2,2,38
"63518",5,6,6,6,3,5,6,1,6,6,6,6,6,3,6,6,6,5,6,6,6,4,6,6,1,2,NA,13
"63521",1,6,4,4,5,3,6,3,2,2,2,2,5,5,5,3,4,2,1,2,4,2,5,6,2,2,5,34
"63525",3,4,4,2,4,5,4,4,4,2,6,5,4,3,3,3,4,1,1,1,4,3,3,4,1,1,NA,14
"63528",1,4,2,5,2,1,2,1,2,4,6,6,1,2,1,2,3,4,5,5,3,2,1,5,3,2,1,20
"63530",3,5,4,6,4,5,6,5,1,2,1,4,5,5,6,6,6,5,1,2,6,2,5,6,1,2,4,27
"63531",2,6,5,2,5,5,2,4,1,3,1,1,5,6,5,3,2,1,2,1,4,3,3,4,2,2,2,42
"63533",2,3,4,2,5,5,6,5,1,6,3,5,1,5,4,1,5,1,1,1,5,1,6,6,2,2,1,18
"63534",4,5,5,5,3,4,4,4,3,5,3,4,4,3,NA,4,5,4,3,4,3,5,4,6,2,2,3,20
"63536",1,6,6,3,5,6,4,6,1,3,3,2,NA,5,6,3,2,2,5,1,6,1,5,6,1,2,5,56
"63538",2,5,5,4,5,5,5,5,1,4,3,3,5,5,5,3,3,2,2,3,NA,4,4,4,5,1,3,20
"63547",2,4,5,4,4,5,5,2,1,1,5,4,5,3,4,2,4,4,3,3,5,1,4,6,2,1,NA,37
"63549",1,NA,5,2,4,5,6,4,NA,2,4,4,5,2,5,2,2,3,5,5,5,6,4,3,4,2,NA,15
"63551",2,6,5,4,6,4,3,4,4,6,4,5,5,5,3,4,5,5,6,6,6,4,4,6,2,2,1,20
"63554",4,5,4,6,4,4,5,5,3,6,1,1,4,6,4,3,4,3,1,4,3,3,4,2,3,2,3,19
"63555",1,6,5,4,5,5,4,5,3,5,4,3,4,5,4,2,4,2,2,5,4,4,6,6,3,1,3,20
"63556",1,3,5,6,6,3,5,4,2,5,2,2,4,6,3,2,3,2,2,4,5,4,4,5,3,2,3,19
"63557",3,5,5,6,6,5,5,6,3,4,2,1,6,5,6,1,2,2,1,1,6,2,6,6,1,1,3,20
"63558",5,6,6,5,4,4,3,6,4,3,2,1,6,6,4,3,2,3,4,2,4,5,4,4,3,2,1,43
"63559",1,6,6,6,5,5,5,6,1,1,2,2,4,4,5,1,2,1,2,1,6,1,5,6,1,2,5,43
"63560",1,5,3,4,3,6,6,6,1,4,6,6,3,1,2,4,5,5,NA,2,4,1,6,6,1,2,4,26
"63562",2,4,5,4,5,3,4,4,5,6,5,3,3,5,2,4,4,4,5,3,4,4,3,5,4,2,NA,18
"63567",2,3,3,5,3,2,3,3,3,5,2,5,5,4,2,5,5,5,5,4,5,2,5,6,1,1,4,24
"63575",2,5,5,2,5,4,4,3,4,5,3,2,2,4,3,1,2,4,4,2,5,3,6,6,2,2,3,20
"63578",1,5,6,6,6,5,4,5,2,4,1,2,5,6,4,2,3,2,5,2,6,1,6,6,1,2,2,23
"63579",2,4,5,5,4,6,6,5,1,3,2,1,2,6,5,4,3,2,2,2,6,1,5,5,5,2,3,25
"63580",1,4,4,5,4,3,4,3,5,4,1,2,5,5,4,5,3,4,4,4,6,4,4,4,5,2,4,25
"63581",2,5,5,4,4,5,5,5,1,3,1,2,5,6,5,2,4,2,2,2,6,1,6,6,1,1,5,37
"63582",1,4,4,5,3,2,5,5,2,6,2,2,1,2,5,5,5,5,5,1,2,2,5,5,2,1,5,51
"63583",2,4,6,6,6,6,6,3,1,1,5,4,3,5,4,2,2,4,5,2,6,2,5,6,1,2,3,36
"63584",3,4,5,4,4,NA,4,4,3,5,2,4,4,5,4,3,3,3,2,3,4,5,3,4,4,1,3,21
"63586",2,5,5,5,4,5,5,5,2,4,2,4,4,4,5,2,2,2,1,3,6,1,5,6,1,1,5,56
