"","Study","Film","ext","neur","imp","soc","lie","traitanx","state1","EA1","TA1","PA1","NA1","EA2","TA2","PA2","NA2","state2","MEQ","BDI"
"302","flat",4,19,5,6,11,3,23,29,22,16,17,0,24,17,17.7,0,29,59,NA
"303","flat",4,15,15,7,7,1,55,62,0,16,0,16,0,14,0,7,54,33,NA
"304","flat",4,4,1,2,1,7,28,35,9,11,10,0,17,14,9,0,39,45,NA
"305","flat",2,6,8,2,2,2,30,60,0,20,8,10,0,19,7,8,57,30,NA
"306","flat",2,17,6,5,11,2,25,24,11,10,7,0,11,28,2,15,66,50,NA
"307","flat",2,12,11,4,6,3,34,33,5,10,8,1.4,17,21,11,3,36,55,NA
"308","flat",3,5,21,3,2,3,61,54,2,18,0,7,3,14,0,2,52,42,NA
"309","flat",3,15,3,4,11,3,26,25,13,10,7,2,17,10,15,0,20,59,NA
"310","flat",3,11,4,2,7,1,33,54,15,10,18,7.3,6.7,19.9,14,14.1,51.4,50,NA
"311","flat",3,17,7,5,10,0,26,39,7,14,9,2,0,15,7,4,38,44,NA
"312","flat",1,14,7,3,10,5,35,34,11,11,9,1,6,15,4,6,52,45,NA
"313","flat",1,20,14,8,9,0,41,39,2,10,7,2,1,11,5,2,45,42,NA
"314","flat",1,18,17,6,9,3,53,52,3,13,7,7,7,24,11,22,61,51,NA
"315","flat",1,10,5,4,5,1,35,38,13,15,11,2,7,19,4,10,52,40,NA
"316","flat",2,13,11,5,5,0,35,33,16,6,12,0,13,9,7,0,37,34,NA
"317","flat",4,17,0,6,10,2,31,34,18,11,18,0,16,10,9,0,33,41,NA
"318","flat",4,11,8,1,10,2,38,34,8,8,5,2,6,7,6,0,32,44,NA
"319","flat",4,15,16,5,9,2,40,59,8,24,1,8,4,6,0,1,37,42,NA
"320","flat",4,14,8,6,7,1,37,45,0,12,1,4,1,14,1,0,39,37,NA
"321","flat",4,16,5,5,9,2,30,25,4,12,1,0.4,10.7,13,9.3,0,24,50,NA
"322","flat",4,11,9,3,7,2,31,53,8,15.5,1,6,21,10.5,17,0,25,22,NA
"323","flat",4,16,6,5,8,2,33,41,1,9,5,2,2,11,3,1,40,33,NA
"324","flat",4,11,5,4,5,2,30,40,0,10,0,1,5,7,1,0,31,38,NA
"325","flat",1,14,1,3,9,5,27,21,19,9,20,0,21,9,17,2,20,57,NA
"326","flat",1,17,16,5,10,1,59,38,0,7,1,7,0,14,1,9,46,28,NA
"327","flat",3,18,6,8,9,1,37,43,8,8,1,2,20,13,14,1,43,49,NA
"328","flat",3,16,22,8,6,1,58,41,8,15,0,0,9,12,0,0,40,42,NA
"329","flat",3,8,10,1,6,2,39,46,5,16,0,6,3,17,1,2,45,41,NA
"330","flat",3,14,7,2,10,2,35,38,1,10,3,0,4,10,3,0,35,39,NA
