"","id","year","stint","team","lg","g","ab","r","h","X2b","X3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp"
"23647","ricesa01",1930,1,"WS1","AL",147,593,121,207,35,13,1,73,13,8,55,14,NA,3,17,NA,NA
"23652","ruelmu01",1930,1,"WS1","AL",66,198,18,50,3,4,0,26,1,0,24,13,NA,3,4,NA,NA
"23653","ruffire01",1930,1,"BOS","AL",6,11,2,3,2,0,0,1,0,0,0,1,NA,0,0,NA,NA
"23654","ruffire01",1930,2,"NYA","AL",52,99,15,37,6,2,4,21,0,0,7,7,NA,0,0,NA,NA
"23655","russeja01",1930,1,"BOS","AL",41,79,12,14,3,0,1,4,0,0,3,31,NA,0,2,NA,NA
"23656","ruthba01",1930,1,"NYA","AL",145,518,150,186,28,9,49,153,10,10,136,61,NA,1,21,NA,NA
"23660","schanwa01",1930,1,"PHA","AL",45,92,16,16,4,1,1,9,0,0,17,15,NA,1,6,NA,NA
"23664","sewellu01",1930,1,"CLE","AL",76,292,40,75,21,2,1,43,5,2,14,9,NA,1,8,NA,NA
"23673","simmoal01",1930,1,"PHA","AL",138,554,152,211,41,16,36,165,9,2,39,34,NA,1,17,NA,NA
"23691","thomato02",1930,1,"CHA","AL",34,56,3,7,1,0,0,3,0,0,5,6,NA,0,4,NA,NA
"23694","uhlege01",1930,1,"DET","AL",59,117,15,36,4,2,2,21,0,0,8,13,NA,0,4,NA,NA
"23696","walberu01",1930,1,"PHA","AL",38,73,5,12,2,2,0,9,0,0,4,13,NA,0,3,NA,NA
"23706","westsa01",1930,1,"WS1","AL",120,411,75,135,22,10,6,67,5,5,37,34,NA,1,9,NA,NA
"23707","whiteea01",1930,1,"DET","AL",34,83,3,16,1,0,0,7,0,0,3,14,NA,0,1,NA,NA
"23715","wyattwh01",1930,1,"DET","AL",22,34,3,12,1,1,1,9,0,0,0,7,NA,0,1,NA,NA
"23716","zachato01",1930,1,"NYA","AL",3,8,2,2,0,1,0,2,0,0,0,0,NA,0,0,NA,NA
"23718","alexape01",1930,1,"PHI","NL",9,4,0,0,0,0,0,0,0,NA,2,0,NA,0,0,NA,NA
"23719","allenet01",1930,1,"CIN","NL",21,46,10,10,1,0,3,7,1,NA,5,2,NA,0,2,NA,NA
"23720","allenet01",1930,2,"NY1","NL",76,238,48,73,9,2,7,31,5,NA,12,23,NA,0,8,NA,NA
"23722","bancrda01",1930,1,"NY1","NL",10,17,0,1,1,0,0,0,0,NA,2,1,NA,0,0,NA,NA
"23723","bartedi01",1930,1,"PIT","NL",129,475,69,152,32,13,4,75,8,NA,39,34,NA,5,22,NA,NA
"23729","bentola01",1930,1,"NY1","NL",8,10,2,3,0,0,1,3,0,NA,1,4,NA,0,1,NA,NA
"23730","bentola01",1930,2,"CIN","NL",35,62,1,11,0,1,0,5,0,NA,3,13,NA,0,2,NA,NA
"23738","bottoji01",1930,1,"SLN","NL",131,487,92,148,33,7,15,97,5,NA,44,36,NA,5,24,NA,NA
"23742","bressru01",1930,1,"BRO","NL",109,335,53,100,12,8,3,52,4,NA,51,19,NA,2,11,NA,NA
"23746","bushgu01",1930,1,"CHN","NL",46,78,7,22,0,1,0,7,0,NA,6,19,NA,0,3,NA,NA
"23750","carlsha01",1930,1,"CHN","NL",8,20,1,5,0,0,0,3,0,NA,1,5,NA,0,0,NA,NA
"23761","coonejo01",1930,1,"BSN","NL",4,3,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA
"23767","cuccito01",1930,1,"CIN","NL",125,443,64,138,22,5,10,78,5,NA,47,44,NA,2,14,NA,NA
"23770","cuyleki01",1930,1,"CHN","NL",156,642,155,228,50,17,13,134,37,NA,72,49,NA,10,17,NA,NA
"23771","davissp01",1930,1,"PHI","NL",106,329,41,103,16,1,14,65,1,NA,17,20,NA,1,10,NA,NA
"23781","durocle01",1930,1,"CIN","NL",119,354,31,86,15,3,3,32,0,NA,20,45,NA,2,9,NA,NA
"23793","fitzsfr01",1930,1,"NY1","NL",41,83,15,22,3,1,2,13,0,NA,4,11,NA,0,5,NA,NA
"23794","flagsir01",1930,1,"PIT","NL",44,156,21,39,7,4,2,21,1,NA,17,9,NA,0,6,NA,NA
"23796","fordho01",1930,1,"CIN","NL",132,424,36,98,16,7,1,34,2,NA,24,28,NA,0,23,NA,NA
"23800","frencla01",1930,1,"PIT","NL",42,91,11,22,3,1,0,13,0,NA,3,17,NA,0,11,NA,NA
"23802","fribebe01",1930,1,"PHI","NL",105,331,62,113,21,1,4,42,1,NA,47,35,NA,1,8,NA,NA
"23803","friscfr01",1930,1,"SLN","NL",133,540,121,187,46,9,10,114,15,NA,55,16,NA,0,16,NA,NA
"23809","gowdyha01",1930,1,"BSN","NL",16,25,0,5,1,0,0,2,0,NA,3,1,NA,1,0,NA,NA
"23812","grimebu01",1930,1,"BSN","NL",11,16,3,3,1,0,0,3,0,NA,1,2,NA,0,2,NA,NA
"23813","grimebu01",1930,2,"SLN","NL",23,57,9,15,4,0,0,10,0,NA,5,12,NA,0,3,NA,NA
"23814","grimmch01",1930,1,"CHN","NL",114,429,58,124,27,2,6,66,1,NA,41,26,NA,6,14,NA,NA
"23818","haineje01",1930,1,"SLN","NL",29,65,3,16,3,0,0,12,0,NA,4,15,NA,0,4,NA,NA
"23822","hartnga01",1930,1,"CHN","NL",141,508,84,172,31,3,37,122,0,NA,55,62,NA,1,14,NA,NA
"23824","heathcl01",1930,1,"CHN","NL",70,150,30,39,10,1,9,18,4,NA,18,15,NA,1,2,NA,NA
"23825","heilmha01",1930,1,"CIN","NL",142,459,79,153,43,6,19,91,2,NA,64,50,NA,1,15,NA,NA
"23827","hemslro01",1930,1,"PIT","NL",104,324,45,82,19,6,2,45,3,NA,22,21,NA,0,10,NA,NA
"23834","hornsro01",1930,1,"CHN","NL",42,104,15,32,5,1,2,18,0,NA,12,12,NA,1,3,NA,NA
"23835","hubbeca01",1930,1,"NY1","NL",37,86,5,13,3,0,0,3,0,NA,1,13,NA,0,10,NA,NA
"23837","jackstr01",1930,1,"NY1","NL",116,431,70,146,27,8,13,82,6,NA,32,25,NA,1,17,NA,NA
"23839","johnssi01",1930,1,"CIN","NL",35,17,1,4,0,0,0,1,0,NA,1,1,NA,0,0,NA,NA
"23840","johnssy01",1930,1,"SLN","NL",32,70,9,15,4,0,0,5,1,NA,4,28,NA,0,1,NA,NA
"23846","kellyge01",1930,1,"CIN","NL",51,188,18,54,10,1,5,35,1,NA,7,20,NA,0,11,NA,NA
"23847","kellyge01",1930,2,"CHN","NL",39,166,22,55,6,1,3,19,0,NA,7,16,NA,1,4,NA,NA
"23848","kleinch01",1930,1,"PHI","NL",156,648,158,250,59,8,40,170,4,NA,54,50,NA,4,13,NA,NA
"23858","lopezal01",1930,1,"BRO","NL",128,421,60,130,20,4,6,57,3,NA,33,35,NA,2,10,NA,NA
"23860","lucasre01",1930,1,"CIN","NL",80,113,18,38,4,1,2,19,0,NA,17,4,NA,0,7,NA,NA
"23861","luquedo01",1930,1,"BRO","NL",31,75,8,18,1,1,0,11,1,NA,3,3,NA,3,4,NA,NA
"23864","mancugu01",1930,1,"SLN","NL",76,227,39,83,17,2,7,59,1,NA,18,16,NA,1,8,NA,NA
"23865","maranra01",1930,1,"BSN","NL",142,558,85,157,26,8,2,43,9,NA,48,23,NA,5,17,NA,NA
"23875","mitchcl01",1930,1,"SLN","NL",1,2,0,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA
"23876","mitchcl01",1930,2,"NY1","NL",24,47,9,12,1,0,0,1,0,NA,1,5,NA,0,2,NA,NA
"23888","newsobo01",1930,1,"BRO","NL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23891","ofarrbo01",1930,1,"NY1","NL",94,249,37,75,16,4,4,54,1,NA,31,21,NA,1,7,NA,NA
"23894","ottme01",1930,1,"NY1","NL",148,521,122,182,34,5,25,119,9,NA,103,35,NA,2,20,NA,NA
"23901","picinva01",1930,1,"BRO","NL",23,46,4,10,3,0,0,3,1,NA,5,6,NA,0,1,NA,NA
"23910","rixeyep01",1930,1,"CIN","NL",32,55,6,11,2,0,0,5,0,NA,1,8,NA,0,3,NA,NA
"23914","rootch01",1930,1,"CHN","NL",37,80,4,21,8,0,1,6,1,NA,4,21,NA,1,2,NA,NA
"23919","sherdbi01",1930,1,"SLN","NL",13,19,3,2,0,0,0,0,0,NA,3,2,NA,0,6,NA,NA
"23920","sherdbi01",1930,2,"BSN","NL",21,42,3,4,1,0,0,3,0,NA,2,3,NA,0,2,NA,NA
"23923","sislege01",1930,1,"BSN","NL",116,431,54,133,15,7,3,67,7,NA,23,15,NA,2,14,NA,NA
"23925","smithbo02",1930,1,"BSN","NL",39,81,7,19,2,0,0,4,0,NA,0,5,NA,0,3,NA,NA
"23926","smithea02",1930,1,"SLN","NL",8,10,0,0,0,0,0,0,0,NA,3,1,NA,0,0,NA,NA
"23944","tayloza02",1930,1,"CHN","NL",32,95,12,22,2,1,1,11,0,NA,2,12,NA,1,4,NA,NA
"23947","theveto01",1930,1,"PHI","NL",156,573,57,164,21,1,0,78,1,NA,23,26,NA,2,26,NA,NA
"23951","traynpi01",1930,1,"PIT","NL",130,497,90,182,22,11,9,119,7,NA,48,19,NA,1,23,NA,NA
"23952","vanceda01",1930,1,"BRO","NL",35,89,4,12,2,0,0,7,0,NA,8,26,NA,0,3,NA,NA
"23956","wanerll01",1930,1,"PIT","NL",68,260,32,94,8,3,1,36,3,NA,5,5,NA,1,8,NA,NA
"23957","wanerpa01",1930,1,"PIT","NL",145,589,117,217,32,18,8,77,18,NA,57,18,NA,4,15,NA,NA
"23959","warnelo01",1930,1,"CHN","NL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23963","willicy01",1930,1,"PHI","NL",21,17,1,8,2,0,0,2,0,NA,4,3,NA,0,0,NA,NA
"23966","wilsoji01",1930,1,"SLN","NL",107,362,54,115,25,7,1,58,8,NA,28,17,NA,1,12,NA,NA
"23970","zachato01",1930,2,"BSN","NL",25,54,7,13,3,0,2,8,0,NA,1,10,NA,0,4,NA,NA
"23973","altroni01",1931,1,"WS1","AL",1,0,0,0,0,0,0,0,0,1,1,0,NA,0,0,NA,NA
"23976","applepe01",1931,1,"CLE","AL",30,24,1,5,0,1,0,1,0,0,1,3,NA,0,1,NA,NA
"23977","applilu01",1931,1,"CHA","AL",96,297,36,69,13,4,1,28,9,2,29,27,NA,1,3,NA,NA
"23981","bergmo01",1931,1,"CLE","AL",10,13,1,1,1,0,0,0,0,0,1,1,NA,0,0,NA,NA
"23986","bluegos01",1931,1,"WS1","AL",152,570,82,155,25,7,8,98,16,10,50,39,NA,5,9,NA,NA
"23993","bridgto01",1931,1,"DET","AL",35,54,4,8,0,0,0,1,0,0,5,23,NA,0,5,NA,NA
"23996","browncl01",1931,1,"CLE","AL",39,87,8,15,3,0,0,9,0,0,7,6,NA,1,3,NA,NA
"24005","chapmbe01",1931,1,"NYA","AL",149,600,120,189,28,11,17,122,61,23,75,77,NA,5,6,NA,NA
"24008","coffmdi01",1931,1,"SLA","AL",32,51,4,4,1,0,0,0,0,0,2,20,NA,0,6,NA,NA
"24018","cramedo01",1931,1,"PHA","AL",65,223,37,58,8,2,2,20,2,1,11,15,NA,2,6,NA,NA
"24020","cronijo01",1931,1,"WS1","AL",156,611,103,187,44,13,12,126,10,9,81,52,NA,4,4,NA,NA
"24025","dickebi01",1931,1,"NYA","AL",130,477,65,156,17,10,6,78,2,1,39,20,NA,0,7,NA,NA
"24029","duganjo01",1931,1,"DET","AL",8,17,1,4,0,0,0,0,0,0,0,3,NA,0,0,NA,NA
"24031","dykesji01",1931,1,"PHA","AL",101,355,48,97,28,2,3,46,1,2,49,47,NA,6,4,NA,NA
"24034","faberre01",1931,1,"CHA","AL",44,53,4,4,1,0,0,3,0,0,6,26,NA,1,4,NA,NA
"24036","ferreri01",1931,1,"SLA","AL",117,386,47,118,30,4,3,57,2,3,56,12,NA,0,3,NA,NA
"24037","ferrewe01",1931,1,"CLE","AL",48,116,24,37,6,1,9,30,0,0,10,21,NA,0,2,NA,NA
"24038","finnelo01",1931,1,"PHA","AL",9,24,7,9,0,1,0,3,0,0,6,1,NA,1,1,NA,NA
"24043","foxxji01",1931,1,"PHA","AL",139,515,93,150,32,10,30,120,4,3,73,84,NA,1,4,NA,NA
"24048","gehrich01",1931,1,"DET","AL",101,383,67,119,24,5,4,53,13,4,29,15,NA,0,2,NA,NA
"24049","gehrilo01",1931,1,"NYA","AL",155,619,163,211,31,15,46,184,17,12,117,56,NA,0,2,NA,NA
"24053","gosligo01",1931,1,"SLA","AL",151,591,114,194,42,10,24,105,9,6,80,41,NA,4,0,NA,NA
"24057","grovele01",1931,1,"PHA","AL",41,115,8,23,3,0,0,12,0,0,3,48,NA,0,4,NA,NA
"24060","hadlebu01",1931,1,"WS1","AL",55,54,2,9,1,0,0,5,0,0,4,11,NA,0,5,NA,NA
"24062","hardeme01",1931,1,"CLE","AL",40,75,7,19,2,1,0,10,0,0,2,24,NA,0,4,NA,NA
"24067","haywora01",1931,1,"DET","AL",88,273,28,70,10,3,0,25,0,1,19,27,NA,1,2,NA,NA
"24073","hoagmy01",1931,1,"NYA","AL",44,28,6,4,2,0,0,3,0,0,1,8,NA,0,0,NA,NA
"24076","hoytwa01",1931,1,"DET","AL",16,30,1,4,0,0,0,5,0,0,0,4,NA,0,0,NA,NA
"24077","hoytwa01",1931,2,"PHA","AL",16,43,5,13,3,0,0,4,0,0,2,8,NA,0,2,NA,NA
"24078","hudliwi01",1931,1,"CLE","AL",44,100,11,20,6,2,0,13,0,0,6,28,NA,0,2,NA,NA
"24080","jamiech01",1931,1,"CLE","AL",28,43,7,13,2,1,0,4,1,1,5,1,NA,0,0,NA,NA
"24086","jonessa01",1931,1,"WS1","AL",30,48,8,15,2,0,0,5,0,0,5,10,NA,1,6,NA,NA
"24089","judgejo01",1931,1,"WS1","AL",35,74,11,21,3,0,0,9,0,0,8,8,NA,0,2,NA,NA
"24098","kressre01",1931,1,"SLA","AL",150,605,87,188,46,8,16,114,3,16,46,48,NA,1,3,NA,NA
"24099","kuheljo01",1931,1,"WS1","AL",139,524,70,141,34,8,8,85,7,5,47,45,NA,5,2,NA,NA
"24100","laryly01",1931,1,"NYA","AL",155,610,100,171,35,9,10,107,13,10,88,54,NA,6,8,NA,NA
"24102","lazzeto01",1931,1,"NYA","AL",135,484,67,129,27,7,8,83,18,9,79,80,NA,1,4,NA,NA
"24107","lyonste01",1931,1,"CHA","AL",42,33,6,5,0,0,0,3,0,0,2,1,NA,0,3,NA,NA
"24108","macfada01",1931,1,"BOS","AL",35,81,4,10,2,0,0,1,0,0,3,28,NA,0,6,NA,NA
"24110","manushe01",1931,1,"WS1","AL",146,616,110,189,41,11,6,70,3,3,36,27,NA,6,8,NA,NA
"24111","marbefi01",1931,1,"WS1","AL",45,82,7,19,3,0,1,8,1,0,1,16,NA,0,3,NA,NA
"24119","mcmanma01",1931,1,"DET","AL",107,362,39,98,17,3,3,53,7,3,49,22,NA,2,2,NA,NA
"24120","mcmanma01",1931,2,"BOS","AL",17,62,8,18,4,0,1,9,1,1,8,1,NA,0,0,NA,NA
"24121","mcnaier01",1931,1,"PHA","AL",79,280,41,76,10,1,5,33,1,4,11,19,NA,3,5,NA,NA
"24125","millebi02",1931,1,"PHA","AL",137,534,75,150,43,5,8,77,5,3,36,16,NA,10,5,NA,NA
"24135","myattgl01",1931,1,"CLE","AL",65,195,21,48,14,2,1,29,2,1,21,13,NA,0,1,NA,NA
"24136","myerbu01",1931,1,"WS1","AL",139,591,114,173,33,11,4,56,11,14,58,42,NA,4,9,NA,NA
"24143","pennohe01",1931,1,"NYA","AL",25,66,8,10,2,0,1,6,0,0,9,12,NA,0,7,NA,NA
"24144","perkicy01",1931,1,"NYA","AL",16,47,3,12,1,0,0,7,0,0,1,4,NA,1,0,NA,NA
"24157","ricesa01",1931,1,"WS1","AL",120,413,81,128,21,8,0,42,6,5,35,11,NA,1,11,NA,NA
"24163","ruelmu01",1931,1,"BOS","AL",33,83,6,25,5,0,0,6,0,0,9,6,NA,0,1,NA,NA
"24164","ruelmu01",1931,2,"DET","AL",14,50,1,6,1,0,0,3,0,0,5,1,NA,0,0,NA,NA
"24165","ruffire01",1931,1,"NYA","AL",48,109,14,36,8,1,3,12,0,0,1,13,NA,0,6,NA,NA
"24166","russeja01",1931,1,"BOS","AL",41,82,12,16,7,0,0,5,1,0,2,28,NA,0,4,NA,NA
"24167","ruthba01",1931,1,"NYA","AL",145,534,149,199,31,3,46,163,5,4,128,51,NA,1,0,NA,NA
"24170","schanwa01",1931,1,"DET","AL",30,76,9,14,2,0,0,2,1,0,14,11,NA,0,1,NA,NA
"24174","sewellu01",1931,1,"CLE","AL",108,375,45,103,30,4,1,53,1,1,36,17,NA,2,9,NA,NA
"24179","simmoal01",1931,1,"PHA","AL",128,513,105,200,37,13,22,128,3,3,47,45,NA,3,0,NA,NA
"24199","thomato02",1931,1,"CHA","AL",43,87,9,21,2,0,0,10,0,0,3,15,NA,0,5,NA,NA
"24201","uhlege01",1931,1,"DET","AL",53,90,8,22,6,0,2,7,0,1,8,8,NA,0,1,NA,NA
"24205","walberu01",1931,1,"PHA","AL",45,105,6,13,1,1,0,6,0,0,5,16,NA,0,4,NA,NA
"24206","walkedi02",1931,1,"NYA","AL",2,10,1,3,2,0,0,1,0,0,0,4,NA,0,0,NA,NA
"24207","walkege02",1931,1,"DET","AL",59,189,20,56,17,2,1,28,10,7,14,21,NA,0,1,NA,NA
"24218","westsa01",1931,1,"WS1","AL",132,526,77,175,43,13,3,91,6,8,30,37,NA,0,3,NA,NA
"24219","whiteea01",1931,1,"DET","AL",34,97,7,15,0,1,0,5,0,0,3,10,NA,0,4,NA,NA
"24222","wyattwh01",1931,1,"DET","AL",4,7,0,2,1,0,0,0,0,0,0,1,NA,0,0,NA,NA
"24227","allenet01",1931,1,"NY1","NL",94,298,58,98,18,2,5,43,6,NA,15,15,NA,1,7,NA,NA
"24231","bartedi01",1931,1,"PHI","NL",135,554,88,160,43,7,0,34,6,NA,27,38,NA,3,30,NA,NA
"24239","bentola01",1931,1,"CIN","NL",38,66,2,11,2,0,0,1,0,NA,3,13,NA,0,2,NA,NA
"24250","bottoji01",1931,1,"SLN","NL",108,382,73,133,34,5,9,75,3,NA,34,24,NA,1,2,NA,NA
"24253","bressru01",1931,1,"BRO","NL",67,153,22,43,4,5,0,26,0,NA,11,10,NA,0,3,NA,NA
"24256","bushgu01",1931,1,"CHN","NL",39,57,6,7,1,0,0,9,0,NA,5,11,NA,0,5,NA,NA
"24271","cuccito01",1931,1,"CIN","NL",154,575,67,181,39,11,2,93,1,NA,54,28,NA,0,10,NA,NA
"24275","cuyleki01",1931,1,"CHN","NL",154,613,110,202,37,12,9,88,13,NA,72,54,NA,5,20,NA,NA
"24276","davissp01",1931,1,"PHI","NL",120,393,30,128,32,1,4,51,0,NA,36,28,NA,0,4,NA,NA
"24279","derripa01",1931,1,"SLN","NL",35,72,2,7,0,0,0,1,0,NA,1,18,NA,0,6,NA,NA
"24286","durocle01",1931,1,"CIN","NL",121,361,26,82,11,5,1,29,0,NA,18,32,NA,0,6,NA,NA
"24296","fitzsfr01",1931,1,"NY1","NL",35,92,16,21,3,1,4,18,0,NA,7,18,NA,2,3,NA,NA
"24299","fordho01",1931,1,"CIN","NL",84,175,18,40,8,1,0,13,0,NA,13,13,NA,1,4,NA,NA
"24302","frencla01",1931,1,"PIT","NL",39,95,8,17,1,0,0,2,1,NA,5,15,NA,1,6,NA,NA
"24304","fribebe01",1931,1,"PHI","NL",103,353,33,92,19,5,1,26,1,NA,33,25,NA,0,6,NA,NA
"24305","friscfr01",1931,1,"SLN","NL",131,518,96,161,24,4,4,82,28,NA,45,13,NA,2,5,NA,NA
"24310","gonzami01",1931,1,"SLN","NL",15,19,1,2,0,0,0,3,0,NA,0,3,NA,0,0,NA,NA
"24315","grimebu01",1931,1,"SLN","NL",29,76,4,14,0,0,0,8,0,NA,1,10,NA,0,9,NA,NA
"24316","grimmch01",1931,1,"CHN","NL",146,531,65,176,33,11,4,66,1,NA,53,29,NA,1,11,NA,NA
"24320","haineje01",1931,1,"SLN","NL",19,45,3,6,1,0,0,4,0,NA,0,6,NA,0,4,NA,NA
"24323","hartnga01",1931,1,"CHN","NL",116,380,53,107,32,1,8,70,3,NA,52,48,NA,1,5,NA,NA
"24325","heathcl01",1931,1,"CIN","NL",90,252,24,65,15,6,0,28,3,NA,32,16,NA,0,2,NA,NA
"24328","hemslro01",1931,1,"PIT","NL",10,35,3,6,3,0,0,1,0,NA,3,3,NA,0,0,NA,NA
"24329","hemslro01",1931,2,"CHN","NL",66,204,28,63,17,4,3,31,4,NA,17,30,NA,0,3,NA,NA
"24333","hermabi01",1931,1,"CHN","NL",25,98,14,32,7,0,0,16,2,NA,13,6,NA,0,4,NA,NA
"24338","hornsro01",1931,1,"CHN","NL",100,357,64,118,37,1,16,90,1,NA,56,23,NA,0,5,NA,NA
"24339","hubbeca01",1931,1,"NY1","NL",36,83,9,20,6,0,0,8,0,NA,3,9,NA,1,6,NA,NA
"24344","jackstr01",1931,1,"NY1","NL",145,555,65,172,26,10,5,71,13,NA,36,23,NA,1,2,NA,NA
"24346","johnssi01",1931,1,"CIN","NL",42,87,3,13,1,0,0,3,0,NA,2,25,NA,0,3,NA,NA
"24347","johnssy01",1931,1,"SLN","NL",32,60,4,14,2,1,0,7,0,NA,3,16,NA,0,1,NA,NA
"24348","jurgebi01",1931,1,"CHN","NL",88,293,34,59,15,5,0,23,2,NA,25,41,NA,0,17,NA,NA
"24350","kleinch01",1931,1,"PHI","NL",148,594,121,200,34,10,31,121,7,NA,59,49,NA,1,2,NA,NA
"24360","lombaer01",1931,1,"BRO","NL",73,182,20,54,7,1,4,23,1,NA,12,12,NA,0,2,NA,NA
"24361","lopezal01",1931,1,"BRO","NL",111,360,38,97,13,4,0,40,1,NA,28,33,NA,1,3,NA,NA
"24363","lucasre01",1931,1,"CIN","NL",97,153,15,43,4,0,0,17,0,NA,12,9,NA,0,6,NA,NA
"24364","luquedo01",1931,1,"BRO","NL",19,30,1,4,0,0,0,0,0,NA,6,6,NA,0,2,NA,NA
"24368","mancugu01",1931,1,"SLN","NL",67,187,13,49,16,1,1,23,2,NA,18,13,NA,0,3,NA,NA
"24369","maranra01",1931,1,"BSN","NL",145,562,69,146,22,5,0,33,9,NA,56,34,NA,2,16,NA,NA
"24379","mitchcl01",1931,1,"NY1","NL",27,73,5,16,2,0,1,4,0,NA,2,4,NA,0,0,NA,NA
"24382","moorege03",1931,1,"CIN","NL",4,14,2,2,1,0,0,1,0,NA,0,0,NA,0,0,NA,NA
"24394","ofarrbo01",1931,1,"NY1","NL",85,174,11,39,8,3,1,19,0,NA,21,23,NA,1,1,NA,NA
"24398","ottme01",1931,1,"NY1","NL",138,497,104,145,23,8,29,115,10,NA,80,44,NA,2,1,NA,NA
"24402","picinva01",1931,1,"BRO","NL",24,45,5,12,4,0,1,4,1,NA,4,9,NA,0,0,NA,NA
"24405","quinnja01",1931,1,"BRO","NL",39,15,0,3,0,0,0,2,0,NA,1,7,NA,0,1,NA,NA
"24411","rixeyep01",1931,1,"CIN","NL",22,40,0,6,1,0,0,3,0,NA,2,6,NA,0,1,NA,NA
"24414","rootch01",1931,1,"CHN","NL",39,90,7,20,8,0,0,8,0,NA,4,31,NA,0,1,NA,NA
"24416","roushed01",1931,1,"CIN","NL",101,376,46,102,12,5,1,41,2,NA,17,5,NA,3,4,NA,NA
"24425","sherdbi01",1931,1,"BSN","NL",27,46,2,14,1,0,0,3,0,NA,3,5,NA,0,0,NA,NA
"24429","smithbo02",1931,1,"CHN","NL",36,87,7,19,2,0,0,4,0,NA,5,2,NA,0,5,NA,NA
"24448","tayloza02",1931,1,"CHN","NL",8,4,0,1,0,0,0,0,0,NA,2,1,NA,0,2,NA,NA
"24451","theveto01",1931,1,"PIT","NL",120,404,35,86,12,1,0,38,0,NA,28,22,NA,1,8,NA,NA
"24454","traynpi01",1931,1,"PIT","NL",155,615,81,183,37,15,2,103,6,NA,54,28,NA,0,8,NA,NA
"24456","vanceda01",1931,1,"BRO","NL",30,67,6,9,0,0,0,3,0,NA,5,20,NA,0,7,NA,NA
"24460","waltebu01",1931,1,"BSN","NL",9,38,2,8,2,0,0,0,0,NA,0,3,NA,0,0,NA,NA
"24461","wanerll01",1931,1,"PIT","NL",154,681,90,214,25,13,4,57,7,NA,39,16,NA,1,5,NA,NA
"24462","wanerpa01",1931,1,"PIT","NL",150,559,88,180,35,10,6,70,6,NA,73,21,NA,4,10,NA,NA
"24464","warnelo01",1931,1,"CHN","NL",20,19,3,5,2,0,0,2,0,NA,0,5,NA,0,0,NA,NA
"24473","wilsoji01",1931,1,"SLN","NL",115,383,45,105,20,2,0,51,5,NA,28,15,NA,5,3,NA,NA
"24479","zachato01",1931,1,"BSN","NL",33,84,7,14,2,0,0,3,0,NA,4,10,NA,0,0,NA,NA
"24482","allenjo02",1932,1,"NYA","AL",33,73,5,9,2,1,1,5,0,0,4,22,NA,0,3,NA,NA
"24486","applepe01",1932,1,"CLE","AL",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24487","applepe01",1932,2,"BOS","AL",11,17,3,3,1,0,0,1,0,0,0,5,NA,0,0,NA,NA
"24488","applilu01",1932,1,"CHA","AL",139,489,66,134,20,10,3,63,9,8,40,36,NA,0,3,NA,NA
"24493","bergmo01",1932,1,"WS1","AL",75,195,16,46,8,1,1,26,1,1,8,13,NA,0,5,NA,NA
"24500","bluegos01",1932,1,"WS1","AL",149,507,64,131,22,4,5,64,9,7,83,41,NA,4,20,NA,NA
"24507","bridgto01",1932,1,"DET","AL",34,67,5,11,1,1,0,4,0,0,7,24,NA,0,5,NA,NA
"24508","browncl01",1932,1,"CLE","AL",39,100,13,25,4,2,2,18,0,0,8,13,NA,1,5,NA,NA
"24520","chapmbe01",1932,1,"NYA","AL",151,581,101,174,41,15,10,107,38,18,71,55,NA,5,5,NA,NA
"24525","coffmdi01",1932,1,"SLA","AL",9,22,0,1,0,0,0,0,0,0,3,6,NA,0,0,NA,NA
"24526","coffmdi01",1932,2,"WS1","AL",22,22,2,2,1,1,0,1,0,0,1,7,NA,0,0,NA,NA
"24534","cramedo01",1932,1,"PHA","AL",92,384,73,129,27,6,3,46,3,1,17,27,NA,2,4,NA,NA
"24535","cronijo01",1932,1,"WS1","AL",143,557,95,177,43,18,6,116,7,5,66,45,NA,3,3,NA,NA
"24536","crosefr01",1932,1,"NYA","AL",116,398,47,96,20,9,5,57,3,2,51,51,NA,5,7,NA,NA
"24543","dickebi01",1932,1,"NYA","AL",108,423,66,131,20,4,15,84,2,4,34,13,NA,0,2,NA,NA
"24547","dykesji01",1932,1,"PHA","AL",153,558,71,148,29,5,7,90,8,2,77,65,NA,4,8,NA,NA
"24552","faberre01",1932,1,"CHA","AL",42,18,0,4,1,0,0,1,0,0,8,7,NA,0,4,NA,NA
"24554","ferreri01",1932,1,"SLA","AL",126,438,67,138,30,5,2,65,5,5,66,18,NA,1,9,NA,NA
"24555","ferrewe01",1932,1,"CLE","AL",55,128,14,31,5,2,2,18,0,0,6,21,NA,0,6,NA,NA
"24562","foxxji01",1932,1,"PHA","AL",154,585,151,213,33,9,58,169,3,7,116,96,NA,0,0,NA,NA
"24571","gehrich01",1932,1,"DET","AL",152,618,112,184,44,11,19,107,9,8,68,34,NA,3,3,NA,NA
"24572","gehrilo01",1932,1,"NYA","AL",156,596,138,208,42,9,34,151,4,11,108,38,NA,3,1,NA,NA
