"External debt stocks, total (DOD, current US$)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849988000,1281217000,1490108000,
Morocco,,,,,,,,,,,984933000,1127927000,1186061000,1287838000,1514188000,2659520000,3360847000,5610349000,6923296000,8207899000,9722124000,10579565000,12401137000,13037496000,13908395000,16056154000,17926463000,21029567000,21117135000,22230854000,25003749000,22482160000,22670733000,22099922000,22973160000,23770785000,24221060000,23491867000,23647905000,22935275000,20673600000,18790272000,17983957000,18202538000,16882704000,16174140000,17815316000,20543458000,20824786000,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,1438276000,2870506000,3491706000,4125440000,4163236000,4362791000,4649726000,4718396000,5130345000,5211583000,7271673000,7458432000,7565881000,7631881000,8362096000,7219379000,7247234000,4875039000,5033530000,3881297000,4781758000,4466754000,2930948000,3011931000,3432380000,
Myanmar,,,,,,,,,,,122589000,154678000,191588000,267747000,320814000,327898000,347741000,594060000,953265000,1280631000,1499949000,1716556000,2046424000,2326807000,2337593000,3097609000,3803321000,4402365000,4431548000,4190801000,4694796000,4874897000,5354782000,5751893000,6555242000,5770537000,5184239000,5502947000,5646816000,6003528000,5927809000,5670080000,6583149000,7282385000,7171394000,6652209000,6839151000,7597569000,7209844000,
Nepal,,,,,,,,,,,2798000,8298000,11590000,19530000,27123000,33733000,49461000,100517000,112580000,146348000,204542000,278508000,352867000,452493000,470357000,589873000,743900000,985967000,1165408000,1355914000,1626888000,1765334000,1798258000,2003259000,2320468000,2409946000,2398114000,2413516000,2670621000,3019739000,2867343000,2733251000,2990351000,3162689000,3356825000,3179574000,3392309000,3602260000,3685175000,
Nicaragua,,,,,,,,,,,202768000,249807000,307313000,444658000,610032000,800688000,883799000,1278966000,1444434000,1534962000,2192851000,2470554000,2936445000,4098074000,4807356000,5772308000,6777145000,7932639000,8691357000,9691169000,10750740000,10964955000,11274944000,11309237000,12001721000,10395760000,5967312000,6099159000,6321641000,6787091000,6740322000,6303494000,6357055000,6773293000,5011575000,4927705000,4105636000,3422310000,3558398000,
Niger,,,,,,,,,,,31675000,41577000,54885000,65145000,94018000,114510000,133359000,173255000,609490000,631712000,865705000,1024762000,960420000,972235000,978445000,1227740000,1447671000,1656148000,1704636000,1532209000,1761869000,1530325000,1552941000,1578825000,1546553000,1608316000,1558732000,1592903000,1690802000,1707789000,1712721000,1623602000,1849906000,2129499000,2020113000,2023391000,867925000,966721000,965548000,
Nigeria,,,,,,,,,,,836678000,960363000,1081762000,1778978000,1880719000,1687172000,1337792000,3146444000,5091172000,6244581000,8921408000,11420678000,11971607000,17560755000,17770533000,18643256000,22211934000,29021380000,29621029000,30121999000,33438924000,33527205000,29018714000,30735623000,33092286000,34092471000,31406607000,28454869000,30294495000,29127620000,31354920000,31041588000,30475990000,34617041000,37766889000,22033911000,7633642000,8695865000,11220539000,
Pakistan,,,,,,,,,,,3406730000,3795852000,4072129000,4566906000,5121326000,5752864000,6802361000,7564134000,8329297000,8918877000,9931194000,10580542000,11703996000,12026221000,12227981000,13464893000,14954401000,16797661000,17065163000,18348190000,20663378000,23363323000,24917893000,24546385000,27382727000,30228712000,29828674000,30073227000,32261288000,33889620000,32781107000,31654834000,33585612000,35740587000,35536063000,33158107000,35986610000,40736615000,49337417000,
Panama,,,,,,,,,,,228889000,288305000,406078000,538128000,674084000,930471000,1343404000,1682110000,2310476000,2598567000,2962392000,3349120000,3906184000,4371991000,4347810000,4741939000,4842396000,5615902000,6051807000,6217836000,6491879000,6619248000,6253693000,6704280000,6897591000,6097902000,6067266000,6021016000,6405729000,6835248000,6572789000,7774696000,7921434000,8246595000,8990410000,9255322000,10393991000,10242552000,10721702000,
Papua New Guinea,,,,,,,,,,,208775000,407177000,495019000,525580000,505320000,506037000,520751000,675812000,583281000,608637000,719003000,1184523000,1627596000,1867660000,2029275000,2112192000,1984118000,2275813000,2249839000,2316229000,2593897000,2774126000,3788946000,3268514000,2792347000,2505575000,2507364000,2589513000,2712135000,2644461000,2555958000,2477812000,2436417000,2463994000,2286015000,2271030000,2354865000,2215202000,1417698000,
Paraguay,,,,,,,,,,,112339000,123360000,136945000,151016000,187676000,228345000,282028000,452699000,615841000,807326000,954749000,1148266000,1298342000,1413517000,1469566000,1816927000,2086889000,2521803000,2350867000,2382615000,2105120000,2066095000,1633374000,1597207000,2104799000,2574106000,2565458000,2460837000,2792935000,3383281000,3089476000,2802165000,2997888000,3225564000,3607413000,3228520000,3422255000,3569557000,4162655000,
Peru,,,,,,,,,,,3211338000,3308189000,3462955000,3890985000,5241143000,6117777000,7575775000,9170783000,9716758000,9269328000,9385848000,8586114000,10708687000,11341614000,12157106000,12883950000,14886808000,17482947000,18231352000,18564381000,20043573000,20687821000,20317840000,23555083000,26509972000,30833185000,28958509000,29635718000,30486207000,29158746000,28643514000,27542435000,28241036000,29995564000,31568311000,28953418000,28490949000,28883557000,28554659000,
Philippines,,,,,,,,,,,2196026000,2419454000,2671172000,2761258000,3305259000,4170677000,6039467000,8183425000,10772163000,13281602000,17417200000,20785923000,24412641000,24211101000,24356705000,26637311000,28204156000,29784757000,28932156000,28652835000,30579847000,32493341000,33219034000,36142370000,40256580000,39378713000,44001188000,50705832000,53608204000,58320705000,58303981000,58252347000,59905800000,62589271000,60967510000,61657755000,60281798000,65909698000,64856320000,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,36641553000,42599079000,42091655000,43085492000,49364349000,53420536000,48431566000,45113351000,42489874000,44079771000,43289639000,41541345000,56742735000,64972398000,64833573000,65777430000,76676645000,93848113000,1.05E11,1.08E11,1.39E11,1.95E11,2.18E11,
Romania,,,,,,,,,,,,,30147000,108914000,138780000,210868000,524566000,755809000,959936000,3583369000,9762280000,10446728000,10003165000,9128470000,7757570000,7008018000,6983318000,6579983000,2960341000,1086836000,1139859000,2159379000,3272088000,4281772000,5601781000,6832097000,8454021000,9636706000,10107804000,9006634000,11160330000,12645038000,16695917000,22626688000,29573683000,38860690000,53939381000,84033436000,1.05E11,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78210687000,1.12E11,1.22E11,1.21E11,1.26E11,1.28E11,1.78E11,1.75E11,1.60E11,1.52E11,1.47E11,1.76E11,1.97E11,2.30E11,2.51E11,3.68E11,4.02E11,
Rwanda,,,,,,,,,,,4879000,1998000,3384000,7914000,12311000,24074000,47677000,87493000,126804000,156077000,189831000,196580000,218308000,238054000,287983000,363191000,448606000,598078000,648436000,619112000,708035000,807282000,855575000,907504000,952312000,1029033000,1043646000,1111377000,1226283000,1292254000,1271564000,1283691000,1435603000,1538247000,1660862000,1518248000,418577000,582610000,679250000,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,10594000,12804000,16888000,21115000,26600000,36633000,44212000,48666000,48352000,50612000,56247000,55403000,62835000,112156000,126968000,136121000,156087000,217528000,262445000,315232000,314892000,293112000,290992000,272860000,257688000,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,15515000,17123000,18910000,20295000,23113000,31803000,46730000,57461000,65675000,79177000,82342000,97983000,100853000,113598000,128274000,141574000,152939000,183325000,184293000,221261000,251638000,285662000,329103000,351691000,410963000,403746000,470175000,830616000,
Saint Vincent and the Grenadines,,,,,,,,,,,1455000,739000,775000,2787000,3191000,3449000,3738000,4744000,5688000,7235000,10629000,18815000,21222000,25596000,24935000,27182000,31362000,41506000,48278000,52730000,62368000,68751000,76168000,101661000,114148000,118296000,122494000,117723000,136301000,193315000,194617000,194600000,175142000,197248000,226584000,250584000,240984000,199333000,207113000,
Samoa,,,,,,,,,,,2682000,2610000,4380000,9456000,13797000,17392000,22630000,31254000,41242000,52517000,59192000,62601000,65782000,67687000,73525000,75128000,74760000,79617000,74957000,73538000,91807000,113648000,117764000,140498000,156717000,168079000,162808000,148360000,154325000,156556000,147288000,143291000,156755000,177670000,185677000,177339000,205920000,234751000,256752000,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,2183000,10316000,16719000,23460000,34421000,37836000,43793000,54044000,62646000,78920000,97673000,109171000,134446000,150046000,167713000,189843000,209812000,222778000,245656000,235378000,238210000,259938000,325064000,310103000,315012000,341108000,350205000,371258000,344794000,359773000,173162000,177831000,
Senegal,,,,,,,,,,,145249000,152514000,161629000,199392000,265056000,349085000,409700000,628092000,894938000,1122625000,1473261000,1670739000,1859905000,2072976000,2197167000,2559363000,3230705000,4036699000,3893078000,3278556000,3753922000,3589291000,3684278000,3804937000,3697822000,3916085000,3786104000,3805576000,4096781000,3967276000,3621930000,3670551000,4110348000,4388888000,3942051000,3865253000,1923224000,2589425000,2860776000,
Serbia,,,,,,,,,,,2257570000,3054515000,3882423000,4739146000,5604228000,6599289000,8296109000,10118587000,12527817000,15970284000,18485777000,20645573000,19899771000,20477134000,19644471000,22251334000,21500597000,22470032000,21176286000,19071740000,17792060000,16471678000,16483024000,12708822000,11100631000,10785299000,9409824000,10616367000,10897971000,10900700000,11499336000,12407472000,11283527000,14029524000,14321910000,15945325000,19680028000,26378225000,30918349000,
Seychelles,,,,,,,,,,,,,,,,,,,,,84131000,36304000,48264000,52411000,67857000,94328000,144955000,173734000,162510000,160721000,184757000,197717000,189369000,181337000,199816000,198045000,185368000,187649000,241638000,251643000,303697000,320100000,390503000,435986000,444406000,667941000,1091036000,1403281000,1504681000,
Sierra Leone,,,,,,,,,,,61400000,111055000,119390000,141785000,192928000,204956000,233372000,289672000,345576000,409475000,470356000,592406000,628559000,641672000,613263000,707710000,868509000,1031953000,1024384000,1077780000,1176385000,1250703000,1370222000,1527877000,1529135000,1219572000,1211712000,1170072000,1280309000,1260579000,1189825000,1204731000,1355321000,1520379000,1627611000,1539727000,1265496000,312032000,388781000,
Solomon Islands,,,,,,,,,,,,,,,,,,,11479000,13762000,19399000,23416000,28028000,34345000,44040000,65543000,76820000,97513000,103662000,99982000,120499000,129466000,94292000,150544000,154929000,158741000,147495000,139948000,154585000,164988000,155354000,163207000,179849000,177963000,177045000,166366000,173424000,176162000,164825000,
Somalia,,,,,,,,,,,77085000,84418000,101114000,124167000,174786000,229024000,288005000,394169000,518854000,576840000,659779000,1055885000,1221705000,1410243000,1498092000,1639302000,1799721000,2009222000,2086078000,2159231000,2370267000,2449385000,2446604000,2500548000,2616163000,2678444000,2643161000,2561329000,2635038000,2605964000,2561519000,2562829000,2688868000,2837973000,2848683000,2750450000,2837772000,2943628000,2948751000,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21671001000,25357999000,26050001000,25272408000,24752715000,23907290000,24860978000,24050009000,25099077000,27423130000,27112443000,31070402000,35523165000,43610167000,41943203000,
Sri Lanka,,,,,,,,,,,433179000,517789000,551919000,629173000,781326000,815399000,929704000,1132103000,1372723000,1553785000,1841206000,2234673000,2625439000,2884334000,2993077000,3540018000,4082763000,4751261000,5207285000,5181269000,5863281000,6579579000,6475162000,6901791000,7959946000,8395021000,8298458000,8117690000,9047873000,9814979000,9157099000,8730742000,9739614000,10441198000,11085115000,11262029000,11641421000,14003130000,15154107000,
Sudan,,,,,,,,,,,385063000,395964000,452075000,564427000,1136484000,1598562000,2087108000,2620859000,3159017000,4077983000,5176893000,6193990000,7169373000,7506205000,8480411000,8955220000,9631221000,11248634000,11530982000,13359369000,14761956000,15226748000,15450231000,15836456000,16917974000,17603294000,16971981000,16326143000,16843013000,16132211000,16009204000,15282506000,16064164000,17160082000,18198752000,17390465000,18220348000,19122576000,19632733000,
Swaziland,,,,,,,,,,,37033000,34634000,32581000,36935000,36186000,33745000,40781000,61097000,148245000,183129000,207636000,185847000,205659000,237054000,191399000,236548000,273384000,302734000,259450000,271308000,256770000,260466000,237879000,228075000,240650000,249458000,234630000,408840000,301169000,332783000,264775000,263176000,317247000,367637000,411899000,431202000,402946000,392195000,362324000,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9731000,385190000,580286000,633564000,699361000,1065027000,1243105000,1274697000,1033707000,1058207000,1141631000,1151737000,1041425000,1065476000,1016412000,1151890000,1466067000,
Tanzania,,,,,,,,,,,197359000,1175689000,1395651000,1743027000,2012128000,2341567000,2701123000,3469073000,4367008000,4202216000,5239130000,5755137000,6128669000,6796754000,7159171000,9090053000,4892256000,5497971000,6003157000,5844216000,6446123000,6551843000,6661800000,6761794000,7220375000,7363894000,7336170000,7099029000,7502895000,7854577000,7135832000,6460849000,7078635000,7253162000,8557358000,8335041000,4027728000,4973677000,5937610000,
Thailand,,,,,,,,,,,1000571000,1079130000,1229411000,1245693000,1600895000,1865319000,2325634000,3344454000,5029136000,6644776000,8297077000,10851628000,12235142000,13889385000,14989901000,17508563000,18492287000,20330024000,21709675000,23488901000,28094469000,37702997000,41783930000,52638027000,65533204000,1.00E11,1.13E11,1.10E11,1.05E11,96769682000,79719917000,67190719000,59380749000,51926718000,52721847000,52749037000,56271373000,61738432000,64797754000,
Togo,,,,,,,,,,,39801000,47287000,47050000,69572000,126774000,167828000,242227000,434315000,820145000,1103302000,1122269000,1005333000,950896000,916724000,807907000,935267000,1065175000,1234832000,1222329000,1176277000,1280560000,1351227000,1352718000,1293546000,1455741000,1475756000,1488113000,1345718000,1471832000,1523248000,1429607000,1407053000,1584430000,1712454000,1833626000,1683434000,1795352000,1979660000,1573237000,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,23829000,28438000,35555000,36969000,38079000,44455000,44236000,42633000,43673000,57638000,62796000,62485000,57678000,64254000,68833000,65245000,62934000,72290000,85031000,84944000,79624000,81637000,86385000,90341000,
Tunisia,,,,,,,,,,,598624000,672276000,749479000,875386000,1000320000,1108757000,1278648000,2232857000,2941259000,3398673000,3524397000,3605661000,3771243000,4057567000,4093396000,4882868000,5942015000,6815588000,6798524000,6973258000,7688310000,8249836000,8541413000,8692736000,9612945000,10818389000,11378087000,11228430000,10844797000,11859925000,11306504000,12869968000,15441531000,18342242000,19502862000,17875498000,18638056000,20445229000,20775919000,
Turkey,,,,,,,,,,,2746452000,3287189000,3554567000,4204213000,4632821000,5058838000,6001278000,11452267000,14854965000,15928439000,19131091000,19235547000,19715952000,20324057000,21608629000,26012629000,32933707000,40943571000,40992856000,41577123000,49424156000,50873480000,56553854000,68604754000,66249182000,73781102000,79829428000,84719907000,96956260000,1.02E11,1.17E11,1.13E11,1.31E11,1.47E11,1.60E11,1.69E11,2.07E11,2.49E11,2.77E11,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276435000,431046000,402247000,756163000,1866476000,2397437000,2636382000,2518347000,2270587000,1974906000,1743152000,1522353000,1058011000,886017000,743419000,638182000,
Uganda,,,,,,,,,,,151676000,172356000,177713000,175532000,202067000,209213000,243894000,300753000,426835000,588278000,690505000,707179000,874406000,1009043000,1074246000,1238563000,1422908000,1935602000,1940761000,2196167000,2605824000,2803290000,2951348000,3052839000,3397570000,3608931000,3710527000,3907825000,3941897000,3497590000,3496846000,3731282000,3979846000,4534624000,4744540000,4420543000,1259814000,1610421000,2248798000,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550692000,3854891000,5636054000,8429352000,9538076000,11133254000,13076557000,13950501000,12190269000,20527804000,21714410000,23991365000,30185539000,33297237000,49886685000,73599823000,92479291000,
Uruguay,,,,,,,,,,,363012000,403683000,461795000,478061000,821291000,904235000,1029022000,1104797000,998296000,1323012000,1659824000,2174408000,2646827000,3292079000,3271335000,3919448000,3906056000,4298818000,3820769000,4448735000,4415282000,4188832000,4571147000,4848239000,5074818000,5317566000,5881872000,6674106000,7566522000,7889937000,8408305000,9221776000,10137620000,10950432000,11719137000,11064115000,10106953000,11488203000,11048666000,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59702000,1031699000,1247180000,1799134000,2377300000,2916485000,3362946000,4939668000,4632683000,4867291000,4798309000,4920579000,4822762000,4282123000,4031572000,3930828000,3995316000,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,3009000,4076000,10621000,12938000,15763000,18236000,23651000,26778000,30315000,38218000,34869000,36227000,40190000,45581000,48945000,47880000,48735000,64166000,65651000,74476000,71589000,90469000,96974000,120669000,82098000,83112000,94086000,138084000,
Venezuela,,,,,,,,,,,1422233000,1928869000,2541831000,2811561000,2659289000,2233282000,4947897000,10744953000,16590787000,24068508000,29355697000,32131815000,32168174000,38310843000,36893229000,35339574000,34345181000,34573686000,34740357000,32378535000,33170907000,34121579000,37848242000,37539173000,36942260000,35743744000,34763259000,35713407000,37762410000,41048478000,42338253000,39149542000,36695044000,38157998000,38769173000,44867957000,43730833000,45836852000,50229277000,
Vietnam,,,,,,,,,,,,,,,,,,,,,,25579000,42766000,52564000,54570000,61267000,174639000,191481000,617485000,20705350000,23270059000,23395042000,24331839000,24167607000,24799403000,25427802000,26255068000,21776508000,22457989000,23210332000,12825189000,12585291000,13343914000,15991357000,18049050000,19114033000,20126037000,23865073000,26158259000,
"Yemen, Rep.",,,,,,,,,,,,48816000,99160000,258063000,375393000,440332000,535433000,723294000,926936000,1175002000,1685753000,2041164000,2404746000,2797978000,3003217000,3340617000,3883335000,4587003000,5247813000,5594815000,6354024000,6475142000,6573076000,5944864000,6153602000,6250656000,6399961000,3917094000,5778376000,6242111000,5124961000,5136784000,5275069000,5459329000,5550336000,5439287000,5643540000,6089087000,6257900000,
Zambia,,,,,,,,,,,813520000,857306000,943372000,1030494000,1196175000,1677913000,1889199000,2329791000,2571987000,3033885000,3244376000,3603614000,3658007000,3747215000,3752798000,4487177000,5633311000,6480351000,6694153000,6553432000,6904821000,6958490000,6700205000,6477912000,6808523000,6957805000,7060060000,6659844000,6870439000,5859425000,5722490000,6103945000,6582319000,6789828000,7449862000,5376528000,2277157000,2755303000,2986395000,
Zimbabwe,,,,,,,,,,,232363000,238494000,218823000,217480000,217427000,186855000,143901000,199463000,446078000,559236000,785615000,1259852000,1871513000,2191485000,2179806000,2413670000,2621405000,2884368000,2695286000,2819931000,3278796000,3473447000,4124869000,4249519000,4485834000,4989204000,4984770000,4881174000,4598543000,4322628000,3827382000,3590116000,3886901000,4483384000,4787550000,4254830000,4650875000,5292199000,,
