New and relapse cases ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Qatar,257,213,172,206,203,250,220,248,223,191,184,195,,200,,304,257,212,253,259,279,284,278,276,272,325,339,399
"Korea, Rep.","89,803","98,532","100,878","91,572","85,669","87,169","88,789","87,419","74,460","70,012","63,904","57,864","48,070","46,999","38,155","42,117","39,315","33,215","34,661","32,075","21,782","37,268","34,967","33,843","34,389","38,290","37,861","37,554"
Moldova,"2,781","2,852","3,197","2,858","2,554","2,732","3,022","2,810","2,510","2,281","1,728","1,910","1,835","2,426","2,626","2,925","2,922","2,908","2,625","2,711","2,935","3,608","3,769","3,619","4,806","5,141","4,990","4,857"
Romania,"13,553","13,602","13,588","13,570","12,952","12,677","12,860","13,361","14,137","14,676","16,256","15,482","18,097","20,349","21,422","23,271","24,189","23,903","25,758","26,107","27,470","28,580","29,752","28,335","28,570","26,104","24,295","22,590"
Russian Federation,"74,270","73,369","72,236","73,280","74,597","64,644","71,764","70,132","67,553","62,987","50,641","50,407","53,148","63,591","70,822","84,980","111,075","119,123","110,935","134,360","140,677","132,477","128,873","124,041","121,426","127,930","124,689","127,338"
Rwanda,"1,495","1,386",,"1,364","1,419","1,327","2,460","3,287","4,145","4,741","6,387","3,200",,,,"3,054","3,535","4,710","6,112","6,483","6,093","5,473","6,011","6,812","6,487","7,220","8,117","7,638"
Saint Kitts and Nevis,7,4,6,2,3,0,0,0,0,0,0,1,4,6,2,5,3,12,5,3,0,2,3,1,2,0,1,4
Saint Lucia,41,39,37,48,55,21,34,25,32,28,13,25,26,,24,11,35,22,20,16,9,15,17,14,15,14,15,19
Saint Vincent and the Grenadines,78,11,14,4,23,14,9,3,6,3,2,1,4,13,0,13,6,6,8,9,16,10,10,14,8,7,13,12
Samoa,59,49,43,41,37,43,65,29,29,37,44,44,26,49,45,45,31,32,22,31,43,22,31,27,34,24,25,
San Marino,,,,,,,,,,,1,1,,3,2,2,0,1,0,0,1,0,1,1,0,,,
Sao Tome and Principe,131,37,40,59,49,40,8,55,13,,17,120,,97,41,,,,106,96,97,97,94,457,121,136,153,93
Saudi Arabia,"10,956","8,263","8,529","7,551","7,163","3,966","3,696","3,029","2,433","2,583","2,415","2,221","2,016","2,386","2,518",,,"3,138","3,235","3,507","3,452","3,327","3,374","3,317","3,312","3,539","3,774","3,955"
Senegal,"2,014","2,573","1,612","2,417",,"1,065",927,"6,145","5,611","5,965","4,977","6,781","7,408","6,841","6,913","7,561","8,525","8,322","8,475","7,488","8,508","8,554","8,366","9,380","9,098","9,765","10,133","10,297"
Seychelles,16,0,16,16,10,10,24,14,10,6,41,,,5,,8,15,18,11,21,20,19,29,10,18,14,,
Sierra Leone,750,847,889,293,816,865,358,130,120,,632,"1,466","1,665","2,691","2,564","1,955","3,241","3,160","3,270",,"3,760","4,673","4,793","5,289","5,710","6,737","8,041","9,418"
Singapore,"2,710","2,425","2,179","2,065","2,143","1,952","1,760","1,616","1,666","1,617","1,591","1,841","1,778","1,830","1,677","1,889","1,951","1,977","2,120","1,805","1,728","1,536","1,516","1,581","1,414","1,356","1,313","1,359"
Slovakia,"2,465","2,304","2,263","2,252","2,152","1,989","2,022","1,830","1,651","1,501","1,448","1,620","1,733","1,799","1,760","1,540","1,503","1,298","1,282","1,100","1,010",986,975,904,664,710,673,622
Slovenia,"1,085",939,982,925,896,923,816,792,760,768,722,583,640,646,526,525,563,481,449,423,368,359,338,275,249,269,207,212
Solomon Islands,266,313,324,302,337,377,292,334,372,488,382,309,364,367,332,352,299,318,295,289,302,292,256,293,340,397,371,397
Somalia,,,,"2,838","2,719","2,722","3,079","7,322","2,728","1,323",,,,,"2,023","2,504","3,920","4,450","4,320","4,802","5,686","6,852","7,391","9,278","11,747","12,904","11,864","11,130"
South Africa,"55,310","59,943","64,115","62,556","62,717","59,349","55,013","57,406","61,486","68,075","80,400","77,652","82,539","89,786","90,292","73,917","109,328","125,913","142,281","148,164","151,239","148,257","215,120","227,320","267,290","270,178","303,114","315,315"
Spain,"4,853","5,552","7,961","8,987","10,078","10,749","13,755","9,468","8,497","8,058","7,600","9,007","9,703","9,441",,"8,764","8,331","9,347","8,927","8,393","7,993","6,851","7,283","7,343","6,015","7,281","7,815","7,347"
Sri Lanka,"6,212","6,288","7,334","6,666","6,376","5,889","6,596","6,411","6,092","6,429","6,666","6,174","6,802","6,809","6,132","5,956","5,366","6,542","6,925","7,157","8,413","7,499","8,939","8,998","8,562","9,249","8,510","8,718"
Sudan,"32,971","47,431",,,,"1,509","2,460",800,693,701,212,"16,423","19,503","37,516","23,178","14,320","20,230","20,894","22,318","26,875","24,807","23,997","24,554","25,105","26,567","27,562","28,937","29,270"
Suriname,78,81,56,78,76,50,60,77,77,70,82,47,58,45,53,,53,76,85,95,89,75,97,95,97,117,127,
Swaziland,,143,"3,059","1,955",,,,"1,098","1,352","1,394",,"1,531",,"1,458",,"2,050","2,364","3,022","3,653","4,167","5,877","6,118","6,748","7,749","8,071","8,062","8,278","8,888"
Sweden,926,875,784,832,754,702,640,545,536,595,557,521,610,616,537,564,497,456,446,479,417,394,375,386,416,539,489,460
Switzerland,"1,160","1,193","1,167","1,097",946,961,881,"1,018","1,201","1,104","1,278","1,134",987,930,924,830,765,747,750,756,544,539,591,554,528,508,461,425
Syrian Arab Republic,"1,689","1,908","1,838","1,867","2,111","2,163","3,942","4,290","4,952","5,504","6,018","5,651","5,437",,"5,127","4,404","5,200","4,972","5,417","5,447","5,090","4,997","4,766","4,820","4,588","4,310","3,931","4,087"
Tajikistan,"2,647","2,631","2,628","2,509","2,427","2,485","2,610","2,727","2,474","2,621","2,460","2,116","1,671",652,892,"2,029","1,647","2,143","2,448","2,553","2,779","3,508","4,052","4,260","4,529","5,460","5,362","6,297"
Thailand,"45,704","49,452","48,553","65,413","69,240","77,611","52,152","51,835","50,021","44,553","46,510","43,858","47,697","49,668","47,767","45,428","39,871","30,262","15,850","29,413","34,187","49,656","49,581","54,504","55,306","57,895","56,230","54,793"
"Macedonia, FYR",,,,,,,,,,,,,"1,602","1,712",728,786,724,693,620,557,641,648,686,653,644,598,561,526
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,"2,760","2,760","3,716","3,767","3,586","3,255"
Togo,208,126,204,174,343,745,596,"1,184","1,071",940,"1,324","1,243","1,223","1,005","1,137","1,520","1,654","1,623","1,250","1,249","1,409",,"1,645","1,815","2,212","2,537","2,819","2,436"
Tokelau,0,1,0,0,0,2,0,9,1,0,1,1,1,,0,2,0,,,0,0,0,,0,,0,0,0
Tonga,64,49,45,50,54,49,35,24,14,36,23,20,29,33,23,20,22,21,30,22,24,12,29,16,12,18,18,23
Trinidad and Tobago,80,82,62,112,108,112,119,122,108,124,120,141,142,112,129,166,204,260,199,159,198,206,133,147,178,166,232,218
Tunisia,"2,504","2,316","2,554","3,062","2,501","2,510","2,487","2,272","2,309","2,403","2,054","2,064","2,164","2,565","2,376","2,383","2,387",,"2,211","2,158","2,038","1,945","1,885","1,965","1,994","2,079","2,131","2,282"
Turkey,"36,716","39,992","26,457","28,634","27,589","30,960","31,029","30,531","27,884","26,669","24,468","25,166","25,455",,,"22,981","20,212","25,685","25,501","22,088","18,038","17,263","18,043","17,923","17,543","19,744","19,629","18,878"
Turkmenistan,"1,677","1,625","1,559","1,541","1,604","1,607","1,614","1,956","1,904","2,169","2,325","2,358","2,074","2,751",,"1,939","2,072","3,438","3,839","4,092","4,038","3,948","3,671","3,771","3,382","3,191","3,223","3,428"
Turks and Caicos Islands,2,0,2,5,0,4,2,12,,,0,0,0,0,,,,,,17,,3,3,6,,,7,
Tuvalu,33,18,12,23,9,32,27,22,24,26,23,30,30,28,19,36,,,18,14,16,16,13,30,,12,9,18
Uganda,"1,058","1,170",497,"2,029",,,"1,392","1,464","3,066","1,045","14,740","19,016","20,662","21,579","26,994","25,316","27,196","28,349","29,228","31,597","30,372","36,829","40,695","41,795","43,721","41,040","40,782","40,909"
Ukraine,"26,095","25,646","24,710","24,216","24,356","24,058","22,946","22,145","20,744","20,182","16,465","16,713","18,140","19,964","20,622","21,459","23,414","28,344","27,763","32,879","32,945","36,784","40,175","37,043","38,403","39,608","41,265","37,517"
United Arab Emirates,522,638,597,507,534,568,464,818,339,308,285,234,227,,426,,507,,773,66,115,74,90,117,92,103,90,97
United Kingdom,"10,488","9,290","8,436","7,814","7,026","6,666","6,841","5,732","5,793","6,059","5,908","6,088","6,411","6,481","6,196","6,176","6,238","6,355","6,176","6,183","6,220","6,027","6,889","6,400","7,039","8,173","8,157","7,851"
Tanzania,"11,483","12,122","11,748","11,753","12,092","13,698","15,452","16,920","18,206","19,262","22,249","25,210","28,462","31,460","34,799","39,847","44,416","46,433","51,231","52,437","54,442","61,603","60,306","61,579","62,512","61,022","59,282","59,371"
Virgin Islands (U.S.),0,1,1,2,3,1,1,2,6,4,4,4,,,10,4,8,,,,,,,,,,,
United States of America,"27,749","27,373","25,520","23,846","22,255","22,201","22,768","22,517","22,436","23,495","25,701","26,283","26,673","25,107","24,205","22,728","21,210","19,751","18,287","17,501","16,310","15,945","15,056","14,838","14,502","14,080","13,779","13,299"
Uruguay,"1,874","1,699","1,450","1,359","1,389","1,201","1,082","1,023",951,987,886,759,699,689,666,625,701,708,668,627,645,689,536,643,727,622,557,607
Uzbekistan,"9,163","9,682","8,697","8,817","8,544","8,717","9,427","9,794","10,134","10,632","9,414",,"9,370","9,774","14,890","9,866","11,919","13,352","14,558","15,080","15,750","17,391","20,588","20,700","20,289","21,513","23,900","19,779"
Vanuatu,178,92,173,196,188,124,131,90,118,144,140,230,193,114,152,79,126,184,178,120,152,175,101,104,115,76,126,122
Venezuela,"4,233","4,093","4,159","4,266","4,737","4,822","4,974","4,954","4,557","4,524","5,457","5,216","5,444","5,169","4,877","5,578","5,650","5,984","6,273","6,598","6,466","6,251","6,204","6,734","6,808","6,847","6,705","6,456"
Viet Nam,"43,062","43,506","51,206","43,185","43,875","46,941","47,557","55,505","52,463","52,270","50,203","59,784","56,594","52,994","51,763","55,739","74,711","77,838","87,468","88,879","89,792","90,728","95,044","92,741","98,173","94,916","97,363","97,400"
Wallis et Futuna,23,24,5,17,14,14,,34,1,30,,22,4,11,11,6,8,14,,,,1,19,15,,7,,2
West Bank and Gaza,191,139,136,136,123,113,63,82,85,145,64,89,97,,,77,40,,18,,82,67,,36,23,28,42,33
Yemen,,,,,,,,,"3,446","4,913","4,650","6,844","10,113","11,076","11,510","14,428","14,364","12,013","12,383","13,085","13,651","13,029","11,677","10,413","10,016","9,063","8,468","8,427"
Zambia,"5,321","6,162","6,525","6,860","7,272","8,246","8,716","10,025","12,876","14,266","16,863","23,373","25,448","30,496","35,222","35,958","40,417",,,"45,240","49,806","46,259","54,220","53,932","54,106","49,576","47,790","46,320"
Zimbabwe,"4,057","4,051","4,577","3,881","5,694","4,759","5,233","5,848","6,002","6,822","9,132","11,710","16,237","20,125","23,959","30,831","35,735","43,762","47,077","50,138","50,855","56,222","59,170","53,183","56,162","50,454","44,328","40,277"
