"Mobile cellular subscriptions, total number",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,7500,9000,10000,11000,11402,25000,25500,27503,28755,32013,34000,35000,35500,36970
Lithuania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,1242,4512,14795,50973,165337,267615,332000,524000,1017999,1645568,2102207,3051160,4353447,4718215,4912077,5022638,4961499,4890979,5004150
Luxembourg,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,40,292,375,542,665,824,1139,1120,5082,12895,26838,45000,67208,130500,209190,303274,409064,473000,539000,470000,510000,713000,684500,707000,720000,727000,764973
"Macao, China",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,2232,4847,10513,15135,21445,35881,44788,52845,82114,118101,141052,194475,276138,364031,432450,532758,636347,794323,932596,1037380,1122261,1353194
"Macedonia, FYR",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,12362,30087,48733,115748,223275,365346,776000,985600,1131006,1263841,1794433,1967531,1943216,2153425,2257118
Madagascar,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1300,2300,4100,12784,35752,63094,147500,163010,283666,333888,510269,1045888,2217612,4835239,6283799,7711721,8159599
Malawi,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,3700,7000,10500,22500,49000,55730,86047,135114,222135,421163,620163,1050852,1507684,2485646,3117364,3855760
Malaysia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,10817,17411,27302,39419,86620,130000,200573,340022,571720,1005066,1520320,2000000,2200000,2990000,5121748,7385000,9053000,11124000,14611000,19545000,19463722,23347000,27713000,30144000,33859000,36661261
Maldives,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1290,1606,2926,7638,18894,41899,66466,113246,203620,271053,313539,435627,457770,494351,530449
Mali,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,2842,4473,6387,10398,23997,45974,247223,406861,761986,1512948,2530891,3438568,4460543,7440383,10821930
Malta,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,3500,5300,7500,10791,12500,17691,22531,37541,114444,239416,276859,289992,306067,323980,346771,368530,385636,422083,455579,521748
Marshall Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,264,365,466,345,443,447,489,552,598,644,660,1000,1500,2000,3000,3800,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15300,110463,247238,350954,522400,745615,1060122,1413967,2091992,2182249,2744978,3283371
Mauritius,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2500,2912,4037,5706,11735,20843,42515,60448,102119,180000,272416,347532,462405,547745,656828,772395,928622,1033300,1086748,1190900,1294100
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,8500,63926,160898,312647,386132,569251,688513,1021900,1740814,3349475,7731635,14077880,21757559,25928266,30097700,38451135,47128746,55395461,66559462,75303469,83193574,91362753,94565305
"Micronesia, Fed. Sts.",0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5869,12782,14094,18616,27436,27500,27500,27518,
Moldova,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,920,2200,7000,18000,139000,225000,338225,475942,787000,1089800,1358152,1882830,2423416,2784832,3165052,3714965
Monaco,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,2559,3005,5400,7200,11474,13080,13927,14302,14874,15081,15750,17191,18307,20400,22000,23000,23414,30400
Mongolia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,2000,9032,34562,154600,195000,216000,319000,428695,557207,774900,1194583,1763178,2249023,2510470,2942313
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483766,543220,643681,703000,1158032,1294167,1170000,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,60,105,700,904,1500,3217,6725,13794,29511,42942,74472,116645,369174,2342000,4771739,6198670,7359870,9336878,12392805,16004731,20029300,22815694,25310761,31982279,36553943
Mozambique,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,6725,12243,51065,152652,254759,435757,708000,1503943,2339317,3079783,4405006,5970781,7224176,7855345
Myanmar,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,1920,2766,7260,8492,8516,11389,13397,22671,47982,66517,92452,128700,214214,247641,367388,502005,594000,1243619
Namibia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,6644,12500,19500,30000,82000,106600,150000,223671,286095,448857,608846,800270,1052000,1217000,1534528,2439281
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,10226,17286,21881,81867,116778,227316,1157102,3268895,4200000,5597880,9195562,13354477
Netherlands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,4800,15300,24200,33000,56000,79000,115000,166000,216000,321000,539000,1016000,1717000,3351000,6745460,10755000,12200000,12100000,13200000,14800000,15834000,17296000,19285000,20627000,20149000,19179000,19835000
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,2060,5198,13040,25450,49948,67917,80000,97113,116443,134265,155000,176350,196474,209595,220811,227310
New Zealand,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2400,10000,28900,54100,72300,100200,143800,239200,365000,492800,566200,790000,1395000,1542000,2288000,2449000,2599000,3027000,3530000,3802290,4251207,4620000,4700000,4710000,4820000
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,2183,4400,5100,7560,18310,44229,90294,164509,237248,466706,738624,1119379,1830220,2502281,3108002,3344563,3962247,4822221
Niger,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1349,2192,2056,2126,57541,82365,172421,323853,483000,900000,1897628,2599000,3805592,4339867
Nigeria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9049,12800,13000,14000,15000,20000,25000,30000,266461,1569050,3149473,9147209,18587000,32322202,40395611,62988492,74518264,87297789,95167308
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,732,765,1200,,,,2905,3000,13200,17137,18619,20474,,,,,,,
Norway,0,,,,,0,,,,,0,0,0,0,0,0,1670,11059,23473,39050,63075,87061,120029,152193,167651,196828,234423,282918,371403,588478,981305,1261445,1676763,2072000,2664000,3224000,3593000,3790000,4060829,4524750,4754453,4868916,5037650,5211207,5359640,5648673,5750000
Oman,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,52,747,1159,1711,2098,2730,3672,4721,5616,6751,8052,15000,53000,98000,121000,162000,323000,463000,594000,806280,1333225,1818024,2500000,3219349,3970563,4606133,4809248
Pakistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,8500,13500,16000,24662,40964,68038,135027,196096,265614,306493,742606,1698536,2404400,5022908,12771203,34506557,62856712,88019742,94342030,99185844,108894518
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458,3924,3924,6051,8346,10691,11667,12744,14512,15445
Panama,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,23474,85883,232888,410401,475141,525845,692406,1259948,1748740,2174451,3010635,3915246,6066683,6646348,7281074
Papua New Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,3857,5558,7059,8560,10700,15000,17500,48311,75000,100000,300000,874000,1417546,1909078,2400000
Paraguay,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,3390,7660,15807,32860,84240,231520,435611,820810,1150000,1667018,1770345,1749048,1887000,3232842,4694361,5790759,5618639,5920858,6529053
Peru,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,5700,21550,36300,52200,73543,200972,421814,742642,1013314,1273857,1793284,2306943,2930343,4092558,5583356,9120000,15417247,20951834,24700361,29115149,32461415
Philippines,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34600,56044,102400,171903,493862,959024,1343620,1733652,2849980,6454359,12159163,15383001,22509560,32935875,34778995,42868911,57344815,68117167,75586646,79895646,87256359
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2195,15699,38942,75000,216900,812200,1928042,3956500,6747000,10004661,13898471,17401222,23096065,29166391,36745454,41388774,43926365,44806632,46952111,49200000
Portugal,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2782,6500,12600,37262,101300,173508,340845,663651,1506958,3074633,4671458,6664951,7977537,8670000,10002705,10571100,11447313,12226439,13477414,14049187,11795080,12210377,12284594
Puerto Rico,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,3917,8700,11600,20369,33410,60000,95000,175000,287000,329000,367000,580000,813800,1318099,1628161,1646932,1709062,1847927,1993465,2198845,2431512,2543587,2712220,2933988,3108372
Qatar,0,,,,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,3811,4057,4233,4289,11533,18469,28772,43476,65756,84365,120856,177929,266703,376535,490333,716763,919773,1264206,1429486,1948770,2186415,2302290
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,2775,9068,17000,201000,643000,1355500,2499000,3845116,5110591,7039898,10215388,13354138,15991000,20400000,24470000,25100000,24400000,23400000
Russia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,6000,10000,27744,88526,223002,484883,747160,1370630,3263200,7750499,17608756,36135135,73722222,120000000,150674000,171200000,199522340,230499533,237689224,256116581
Rwanda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,11000,39000,65000,82391,130720,137271,222978,314201,635137,1322637,2429252,3548761,4446194
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,300,205,440,700,1200,2100,5000,22000,29000,51000,51000,64500,74500,75500,80000,
St. Lucia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,524,1000,1400,1600,1900,2300,2500,2700,14313,99000,101000,105656,105600,147000,175045,189738,198212,216530
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70,83,150,215,280,346,750,1420,2361,7492,9982,62911,72000,70620,87634,110491,130098,121114,131791,131809
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,1480,2432,2500,2500,2700,10500,16000,24000,45500,86000,124000,151000,167400,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,0,,900,1300,1900,2340,2279,2350,4980,9580,14503,15854,16759,16900,17085,17150,17390,17500,24402,29949,30587,35465
Sao Tome and Principe,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,4819,7745,11953,18424,30099,50451,64000,102730,115038
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,14851,15331,15828,15910,15959,16008,190736,332068,627321,836628,1375881,2528640,5007965,7238224,9175764,14164184,19700000,28400000,36000000,44864355,51564375,53705808
Senegal,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,122,1412,6942,27487,87879,250251,301811,553449,782423,1121314,1730106,2982623,3630804,5389133,6901492,8343717,9352868
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4729629,5510690,6643722,8452642,9618767,9912339,9915348,10182023
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1043,2247,5190,16316,25961,36683,44731,49229,54369,58806,70340,77278,93476,110668,117587,126594
Sierra Leone,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11940,26895,67000,113214,,,,776000,1008800,1160000,2000000,2137000
Singapore,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,,,10827,26295,51728,81906,120000,179000,235630,306000,431010,848600,1094700,1630800,2747400,2991600,3313000,3577000,3990700,4384600,4788600,5924100,6414800,6879800,7384600,7755200
Slovak Republic,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1537,3125,5946,12315,28658,200140,465364,664072,1243736,2147331,2923383,3678774,4275164,4540374,4893232,6068063,5520043,5497719,5925012,5983059
Slovenia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,3500,6500,16332,27301,41205,93611,161606,631411,1215601,1470085,1667234,1739146,1848637,1759232,1819572,1928412,2054899,2100435,2121950,2168548
Solomon Islands,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,230,337,658,702,1093,1151,967,999,1060,3000,6000,7000,10900,30000,50000,150000,274872
Somalia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,85000,100000,200000,500000,500000,550000,600000,627000,641000,648200,655000
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,5680,7100,12510,40000,340000,535000,953000,1836000,3337000,5188000,8339000,10787000,13702000,16860000,20839000,33959958,39662000,42300000,45000000,46436000,50372000,64000000
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,1700,4200,11628,29783,54700,108451,180296,257261,411930,944955,2997645,4337696,6437444,15003708,24265059,29655729,33530997,37219839,38622582,42694115,45695061,48422470,49623339,51083880,51601028,53066828
Sri Lanka,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,1800,2644,14687,29182,51316,71029,114888,174202,256655,430202,667662,931403,1393403,2211158,3361775,5412496,7983489,11082454,16305417,17359312,18319447
Sudan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,3800,8600,13000,23000,103846,190778,527233,1048558,1827940,4683127,8218092,11991469,15339895,18093231,25107343
Suriname,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,1382,1687,2416,2258,6007,17500,41048,87000,108363,168522,212819,232785,320000,380000,657106,763912,890000,947000
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,14000,33000,55000,68000,85000,145000,200000,250000,380000,531643,664432,725802,766540
Sweden,0,,,,,0,,,,,0,0,0,0,0,0,20362,27236,36294,57914,73000,112600,173000,243000,349000,461200,568200,656000,774500,1381000,2008000,2492000,3169000,4109000,5126000,6372300,7178000,7949000,8801000,8785000,9104000,9607000,10116852,10014000,10440000,10885406,11194000
Switzerland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,5475,30768,72735,125047,174557,215061,257703,332165,447167,662713,1044379,1698565,3057509,4638519,5275791,5736303,6189000,6274763,6834233,7436157,8208884,8896706,9322580,9644157,10017000
Syria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,30000,200000,400000,1185000,2346000,2950000,4675000,6234682,7056158,10021861,11799212,13117253
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,320,420,625,1160,1630,13200,47617,135000,265000,2150000,2132770,3673520,4900000,5940842,6324000
Tanzania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,3500,9038,20200,37940,50950,110518,275560,606859,1298000,1942000,2964000,5609000,8252000,13006793,17469486,20983853,25666455
Thailand,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,821,5882,17563,39936,63223,123551,250584,413557,737283,1297826,1844627,2203905,1976957,2339401,3056000,7550000,10171550,21828181,27378659,31136541,40723181,52973994,61837164,65952313,71624172,78667910
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,20058,25722,33072,49100,78215,125002,350891,600600,614151
Togo,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2995,7500,17000,50000,95000,165138,243613,332565,433635,708000,1190319,1549542,2187334,2452433,3104839
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,302,120,130,140,180,236,3354,11200,16400,29872,30051,46525,50472,53000,54300,55000
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,1277,1679,2599,6353,9534,17140,26307,38659,161860,256106,262772,336352,651189,924100,1518800,1509800,1806120,1846345,1894240,1825200
Tunisia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,224,401,636,953,1239,1974,2269,2709,3185,6500,7656,38998,55258,119165,389208,574334,1917530,3735695,5680726,7339047,7842619,8602164,9797026,11114206,12387656
Turkey,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,365,5101,9846,15606,31809,47828,61395,84187,174779,437130,806339,1609809,3506127,8121517,16133405,19572897,23323118,27887535,34707549,43608965,52662700,61975807,65824110,62779554,61769635,65321745
Turkmenistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,3000,4000,7500,8173,8173,9187,50100,105000,216868,381670,1135150,2132890,3197624,3511000
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1300,1600,1800,,1000,1600,2130
Uganda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,4000,5000,30000,56358,126913,283520,393310,776169,1165035,1315300,2008818,4195278,8554864,9383734,12828264,16696992
Ukraine,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5000,14000,30000,57200,115500,216567,818524,2224600,3692700,6498423,13735000,30013500,49076239,55240400,55681476,54942815,53919545,55566881
United Arab Emirates,,,,,,,,,,,,,,,,,,2330,3564,4936,7924,11191,13711,13823,24946,33578,43008,48919,70586,91488,128968,193834,309373,493278,832267,1428115,1909303,2428071,2972331,3683117,4534143,5519293,7731508,9357735,10671878,10926019,11727401
United Kingdom,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,50000,130000,290000,560000,975000,1114000,1260000,1507000,2268000,3940000,5735785,7248355,8841000,14878000,27185000,43452000,46283000,49228000,54256221,59687915,65471665,70077926,73836210,76735443,80255445,81115492,81612000
United States,0,,,,,0,,,,,0,0,0,0,0,0,,,,91600,340213,681825,1230855,2069441,3508944,5283055,7557148,11032753,16009461,24134421,33785661,44042992,55312293,69209321,86047003,109478031,128500000,141800000,160637000,184819000,203700000,229600000,249300000,261300000,274300000,278900000,331600000
Uruguay,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712,4969,6825,39904,78601,99235,151341,319131,410787,519991,513528,497530,599768,1154923,2330011,3004323,3507816,4111560,4437158,4757425
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,902,3731,9510,17232,26826,40389,53128,128012,186900,320815,544100,720000,2530365,5691458,12375274,16417914,20952000,25441789
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,121,154,207,220,300,365,350,4900,7800,10504,12692,15000,26000,36000,126452,285300,
Venezuela,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,3685,7422,16600,78560,182600,319000,403800,581700,1071900,2009757,3784735,5447172,6472584,6541894,7015121,8420980,12495721,18789466,23820133,27414377,28123570,27880132,28781999
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,,,,7076,175941,251602,264091,436628,567584,821800,1021481,1314406,1800000,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,4060,12500,23500,68910,160457,222700,328671,788559,1251195,1902388,2742000,4960000,9593200,18892480,45024048,74872310,98223980,111570201,127318045
Virgin Islands (U.S.),0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16000,25000,30000,35000,41000,45150,49300,64200,80300,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,5170,8191,8250,8810,12245,16146,27677,32042,147837,486667,675162,1476000,2277559,2977781,4349000,6445000,8313000,11085000,11668000
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,2721,4550,8260,28190,98853,121200,139092,241000,464354,949559,1663328,2639026,3539003,4406682,5446991,8164553
Zimbabwe,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5734,19000,174000,266441,314002,338779,363651,425745,647110,849146,1225654,1654721,3991000,7700000,9200000
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
