Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Portugal,4361999,4351064,4365289,4394481,4430646,4467993,4503025,4534445,4562878,4590397,4619116,4649690,4679998,4704580,4716235,4710713,4684753,4642285,4595078,4559382,4546733,4561085,4598589,4653293,4715756,4778639,4840549,4902445,4962001,5016933,5065473,5106619,5139967,5165307,5182819,5192972,5195347,5190672,5182070,5173683,5168622,5168226,5172180,5179882,5190027,5201688,5214642,5229420,5246642,5267175,5291444,5319677,5351080,5383793,5415323,5443793,5468502,5489662,5507453,5522407,5534944,5544975,5552342,5557368,5560484,5562046,5562211,5561040,5558667,5555212,5550782,5545489,5539434,5532703,5525366,5517486,5509119,5500310,5491079,5481435,5471380,5460929,5450084,5438821,5427102,5414892,5402184,5388964,5375175,5360748,5345631,5329800,5313255,5296012,5278093,5259515,5240291,5220424,5199910,5178734,5156876
Puerto Rico,1103800,1101177,1104521,1111347,1119870,1129000,1138382,1148360,1159861,1174216,1192601,1215448,1241923,1269708,1295627,1317500,1334337,1347055,1357725,1369401,1384300,1402883,1424430,1448528,1474385,1501299,1529415,1558651,1587771,1615186,1639792,1661035,1679292,1695566,1711366,1727810,1745101,1762940,1781340,1800192,1819368,1839009,1859054,1878900,1897739,1914998,1930443,1944255,1956789,1968602,1980115,1991419,2002425,2013160,2023616,2033791,2043720,2053446,2062978,2072312,2081443,2090376,2099102,2107576,2115735,2123530,2130939,2137955,2144561,2150746,2156496,2161797,2166635,2170995,2174868,2178243,2181119,2183492,2185346,2186659,2187424,2187639,2187323,2186511,2185250,2183579,2181518,2179081,2176298,2173200,2169816,2166166,2162266,2158128,2153760,2149172,2144375,2139379,2134197,2128842,2123329
Qatar,12329,13277,14065,14731,15315,15858,16401,16985,17652,18442,19390,20523,21855,23387,25109,27015,29128,31460,33978,36639,39420,42302,45321,48578,52205,56299,60885,65932,71405,77244,83395,89817,96489,103395,110522,117839,125393,133116,140725,147851,154258,159748,164455,168879,173721,179456,186610,195013,203645,211054,216387,218760,218966,219822,225196,237640,258409,286046,317062,346481,370704,388571,401125,409659,416355,422859,429370,435438,441328,447253,453376,459912,466941,474299,481698,488933,495981,502932,509815,516686,523583,530510,537453,544417,551407,558425,565473,572553,579668,586823,594020,601255,608521,615809,623105,630398,637674,644920,652123,659268,666342
"Korea, Rep.",9643075,9700027,9832532,10033991,10296259,10609647,10962771,11342700,11735420,12126588,12503821,12859130,13191054,13505573,13813520,14122965,14433793,14742945,15052295,15363888,15678925,15999300,16324281,16649225,16967617,17275110,17568724,17850610,18127691,18409819,18703496,19011119,19328690,19648459,19959404,20253282,20528841,20787825,21028811,21250881,21454256,21636254,21798840,21952638,22111995,22286743,22481489,22692117,22908976,23117826,23308291,23477534,23628597,23764075,23888643,24005854,24115872,24217667,24312322,24401032,24484677,24563916,24638774,24708667,24772617,24829920,24880439,24924486,24962332,24994389,25020934,25041988,25057365,25066880,25070267,25067293,25057853,25041869,25019153,24989501,24952730,24908759,24857490,24798714,24732198,24657780,24575435,24485221,24387183,24281407,24168017,24047176,23919084,23783981,23642145,23493895,23339589,23179625,23014443,22844521,22670379
Moldova,1247550,1269967,1297260,1328593,1363166,1400217,1439013,1478858,1519097,1559125,1598420,1636572,1673314,1708531,1742228,1774429,1804906,1833602,1860944,1887543,1913809,1940063,1966117,1991277,2014555,2035329,2053217,2068678,2082944,2097727,2114219,2132723,2152722,2173550,2194184,2213761,2232051,2248921,2263702,2275622,2284061,2288810,2289748,2286501,2278697,2266150,2248951,2227422,2201977,2173181,2141675,2107511,2071300,2034937,2000812,1970653,1945296,1924420,1907119,1891895,1877613,1864063,1851518,1839869,1829080,1819087,1809738,1800841,1792257,1783847,1775487,1767098,1758593,1749835,1740677,1731018,1720786,1709997,1698754,1687219,1675517,1663677,1651687,1639595,1627445,1615274,1603106,1590952,1578813,1566684,1554557,1542424,1530277,1518108,1505902,1493639,1481291,1468822,1456189,1443342,1430222
Reunion,129182,134937,139451,143257,146777,150323,154090,158164,162531,167103,171782,176528,181422,186693,192644,199429,207226,215809,224442,232125,238161,242293,244790,246136,247069,248159,249503,251027,252926,255398,258569,262587,267418,272772,278222,283466,288390,293096,297755,302634,307918,313653,319747,326086,332498,338859,345121,351313,357471,363660,369923,376267,382650,389006,395246,401304,407154,412813,418316,423719,429061,434351,439576,444735,449825,454842,459787,464663,469468,474199,478851,483423,487915,492323,496646,500883,505029,509082,513038,516894,520648,524297,527835,531253,534539,537684,540685,543542,546248,548799,551193,553430,555513,557449,559244,560908,562449,563875,565197,566425,567569
Romania,8443999,8585316,8702551,8805624,8901862,8996000,9090043,9183406,9273309,9355448,9426000,9483763,9532022,9579359,9637372,9713998,9812994,9930993,10060029,10188377,10307515,10414394,10511424,10602060,10691969,10784986,10882289,10981522,11078838,11168819,11247752,11313069,11366243,11412394,11458912,11510524,11570089,11634340,11694518,11738393,11757573,11748891,11716170,11666626,11610905,11556976,11507183,11459955,11414673,11369511,11323220,11276224,11229699,11183897,11139069,11095383,11052952,11011749,10971604,10932250,10893451,10855167,10817336,10779665,10741796,10703459,10664456,10624777,10584568,10544082,10503473,10462785,10421849,10380343,10337835,10294020,10248770,10202180,10154436,10105836,10056600,10006768,9956284,9905160,9853389,9800963,9747901,9694208,9639842,9584745,9528870,9472195,9414719,9356449,9297396,9237564,9176944,9115514,9053240,8990076,8925960
Russia,58624376,59315944,60087093,60904394,61740784,62575566,63394662,64190361,64960552,65707451,66433776,67138670,67814134,68443492,69005731,69488242,69882464,70198993,70468322,70732895,71023934,71353550,71715380,72099630,72488791,72870497,73242188,73610245,73981342,74365170,74767833,75187925,75619698,76059086,76500498,76937361,77370194,77792580,78182636,78512458,78762406,78923232,79000555,79008419,78968695,78898081,78802168,78678490,78526537,78343551,78128928,77883871,77614544,77331120,77046417,76770050,76506071,76253788,76011944,75777199,75546687,75320806,75099733,74879767,74656081,74424867,74184573,73934942,73675086,73404493,73122776,72829548,72524505,72207639,71879133,71539415,71188602,70827519,70458256,70083500,69705449,69325031,68942658,68559348,68176048,67793489,67412350,67032882,66654775,66277386,65900224,65523109,65146118,64769445,64393253,64017529,63642032,63266268,62889479,62510654,62128526
Rwanda,1093434,1125495,1155762,1186897,1220638,1257804,1298240,1340870,1383857,1424871,1461891,1494057,1522421,1550264,1582193,1621465,1669619,1725592,1786889,1849732,1911542,1971152,2029859,2090470,2157010,2232180,2317174,2410531,2509078,2608271,2704873,2793851,2875448,2957608,3051714,3163648,3305736,3470357,3620215,3704435,3691261,3557950,3327628,3070080,2882632,2832685,2948887,3203632,3539236,3870038,4134145,4313571,4428342,4500276,4565544,4650619,4759337,4882012,5015980,5155517,5296369,5438888,5585080,5734011,5884532,6035708,6187123,6338587,6489695,6640090,6789519,6937760,7084782,7230807,7376211,7521322,7666193,7810894,7955804,8101387,8248008,8395774,8544703,8694941,8846616,8999776,9154416,9310391,9467403,9625049,9782955,9940820,10098398,10255465,10411774,10567015,10720806,10872680,11022085,11168389,11310873
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,41989,42065,42224,42487,42863,43349,43935,44600,45314,46042,46752,47426,48067,48700,49366,50092,50892,51746,52609,53416,54124,54713,55205,55650,56117,56658,57293,58008,58781,59572,60358,61124,61886,62677,63547,64525,65629,66838,68094,69317,70451,71471,72396,73267,74147,75080,76081,77131,78197,79228,80192,81076,81896,82679,83468,84290,85156,86054,86974,87895,88802,89693,90572,91441,92303,93160,94012,94855,95690,96513,97323,98120,98902,99667,100412,101136,101837,102515,103169,103801,104410,104996,105560,106100,106619,107116,107592,108045,108477,108886,109272,109634,109973,110287,110576,110840,111077,111287,111469,111622,111744
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,35478,36022,36663,37382,38161,38982,39824,40667,41490,42273,42999,43657,44247,44775,45259,45711,46129,46514,46885,47266,47672,48113,48584,49067,49540,49983,50392,50770,51125,51465,51796,52119,52430,52724,52996,53240,53457,53647,53806,53929,54014,54062,54076,54059,54017,53953,53868,53767,53666,53588,53547,53551,53596,53668,53750,53826,53895,53959,54018,54069,54113,54148,54174,54199,54232,54280,54346,54428,54524,54630,54742,54861,54988,55121,55261,55405,55554,55708,55867,56034,56209,56391,56579,56777,56985,57207,57442,57688,57937,58178,58404,58612,58801,58975,59137,59288,59430,59562,59681,59782,59859
Samoa,39758,40871,42050,43306,44645,46068,47572,49149,50785,52465,54171,55890,57612,59334,61057,62775,64489,66180,67789,69244,70493,71512,72317,72952,73484,73963,74410,74813,75158,75415,75568,75620,75596,75533,75477,75468,75512,75615,75808,76125,76588,77207,77965,78827,79740,80658,81574,82480,83332,84082,84694,85151,85462,85651,85755,85806,85807,85761,85703,85673,85702,85807,85983,86211,86457,86698,86928,87155,87388,87642,87925,88240,88581,88939,89297,89647,89980,90297,90615,90952,91321,91728,92159,92586,92969,93279,93507,93659,93740,93763,93737,93667,93554,93398,93199,92960,92690,92402,92114,91847,91630
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,26680,26395,26132,25971,25965,26135,26475,26948,27494,28035,28505,28869,29152,29443,29872,30528,31451,32596,33866,35116,36248,37215,38056,38855,39735,40781,42029,43434,44908,46324,47591,48675,49614,50477,51369,52365,53488,54711,55997,57290,58549,59764,60951,62121,63294,64484,65694,66917,68152,69397,70647,71905,73173,74447,75723,76997,78271,79548,80837,82146,83484,84850,86248,87690,89194,90772,92430,94160,95942,97747,99553,101352,103147,104939,106737,108543,110356,112170,113982,115788,117585,119370,121142,122898,124633,126346,128034,129697,131333,132942,134525,136080,137608,139107,140577,142018,143430,144815,146172,147504,148812
Saudi Arabia,1576558,1611571,1649185,1688551,1729150,1770789,1813623,1858135,1905086,1955434,2010082,2069613,2134058,2202791,2274820,2349613,2427311,2508834,2595414,2688666,2789988,2900041,3019338,3148966,3290094,3443700,3609851,3788828,3981959,4190815,4416203,4656691,4910634,5177995,5458831,5751776,6059519,6378193,6692137,6980725,7230304,7433226,7596469,7739096,7888504,8064485,8273583,8509910,8765714,9028182,9287891,9543347,9797804,10052053,10307955,10566819,10828316,11091478,11356302,11622815,11890984,12160666,12431637,12703666,12976482,13249803,13523393,13796972,14070146,14342472,14613537,14883031,15150667,15416077,15678885,15938745,16195417,16448653,16698106,16943413,17184290,17420661,17652485,17879596,18101835,18319169,18531432,18738862,18942331,19143011,19341747,19538840,19734126,19927147,20117358,20304313,20487726,20667510,20843793,21016900,21187355
Senegal,1207487,1230932,1255681,1282212,1310854,1341785,1375025,1410443,1447784,1486709,1526927,1568326,1611094,1655771,1703103,1753619,1807461,1864438,1924325,1986753,2051412,2118345,2187528,2258508,2330704,2403742,2477431,2551983,2627938,2706070,2786970,2870785,2957438,3047025,3139595,3235166,3333837,3435591,3540176,3647229,3756487,3867879,3981466,4097271,4215359,4335792,4458638,4583927,4711654,4841802,4974412,5109341,5246738,5387277,5531850,5681028,5834990,5993337,6155325,6319899,6486201,6653949,6823060,6993112,7163677,7334414,7505078,7675552,7845811,8015909,8185902,8355729,8525365,8694967,8864752,9034896,9205408,9376284,9547668,9719727,9892560,10066157,10240411,10415172,10590237,10765400,10940537,11115483,11289926,11463499,11635878,11806817,11976139,12143704,12309377,12473003,12634390,12793310,12949489,13102617,13252344
Serbia,3462462,3513160,3560551,3605010,3646859,3686368,3723752,3759172,3792745,3824563,3854735,3883439,3910965,3937736,3964253,3990939,4018015,4045631,4074040,4103485,4134154,4166018,4199097,4233646,4269968,4308158,4348426,4390378,4432760,4473895,4512575,4548825,4583064,4615049,4644583,4671869,4695254,4715437,4737703,4769172,4814216,4875674,4950040,5027566,5094702,5141778,5165730,5169700,5157938,5137351,5113426,5086670,5056594,5026616,5000726,4981710,4971428,4969287,4972474,4976678,4978726,4977843,4974926,4970453,4965405,4960491,4955671,4950556,4945139,4939394,4933306,4926882,4920154,4913166,4905973,4898616,4891102,4883420,4875569,4867542,4859324,4850916,4842295,4833393,4824120,4814409,4804239,4793610,4782509,4770923,4758851,4746300,4733286,4719832,4705971,4691739,4677181,4662347,4647293,4632082,4616781
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,991900,1005877,1020363,1035327,1050747,1066615,1082933,1099713,1116979,1134759,1153083,1171974,1191441,1211476,1232063,1253199,1274925,1297287,1320304,1343997,1368404,1393500,1419359,1446244,1474492,1504332,1535940,1569229,1603841,1639263,1675151,1710524,1745392,1781497,1821282,1866002,1917498,1973954,2028621,2072327,2098999,2106344,2097824,2080314,2063702,2055615,2057335,2068012,2090463,2127483,2180535,2251695,2339435,2436991,2534960,2626456,2708985,2784093,2853895,2922167,2991707,3062703,3134100,3206070,3278664,3351926,3426066,3501230,3577299,3654056,3731346,3809153,3887558,3966608,4046378,4126916,4208221,4290259,4373006,4456426,4540480,4625145,4710390,4796162,4882402,4969051,5056069,5143417,5231038,5318873,5406869,5494980,5583169,5671404,5759654,5847889,5936076,6024182,6112168,6199996,6287626
Singapore,492797,512258,535407,561408,589521,619103,649607,680584,711672,742590,773099,802968,831942,859730,886040,910697,933480,954471,974183,993350,1012501,1032052,1051898,1071436,1089773,1106403,1121015,1134227,1147582,1163177,1182498,1206264,1234037,1264729,1296672,1328696,1360445,1392444,1425445,1460567,1498604,1539299,1582226,1627743,1676291,1727881,1783516,1842371,1900481,1952525,1995062,2025546,2045937,2062754,2085211,2119581,2168604,2229277,2295140,2356807,2407556,2445291,2472283,2491470,2507571,2524096,2541666,2559280,2576938,2594305,2611135,2627631,2644048,2660186,2675732,2690428,2704220,2717096,2728879,2739368,2748406,2755920,2761891,2766294,2769129,2770408,2770135,2768338,2765097,2760521,2754715,2747772,2739776,2730809,2720963,2710349,2699096,2687358,2675310,2663151,2651102
Slovak Republic,1782044,1809892,1841514,1875954,1912282,1949598,1987021,2023698,2058821,2091651,2121600,2148316,2171760,2192236,2210301,2226497,2240806,2253462,2265596,2278648,2293679,2311020,2330498,2352000,2375217,2399799,2425905,2453335,2480921,2507134,2530878,2551657,2569749,2585806,2600864,2615695,2630373,2644662,2658657,2672417,2685942,2699387,2712667,2725236,2736349,2745494,2752516,2757642,2761224,2763792,2765782,2767268,2768274,2769126,2770199,2771764,2773973,2776787,2780028,2783408,2786699,2789850,2792879,2795699,2798217,2800354,2802049,2803254,2803922,2804013,2803492,2802331,2800505,2797985,2794749,2790782,2786081,2780659,2774540,2767763,2760366,2752367,2743795,2734719,2725222,2715372,2705205,2694739,2684006,2673033,2661841,2650447,2638862,2627092,2615139,2602999,2590665,2578126,2565365,2552362,2539092
Slovenia,768894,774698,781184,787827,794243,800199,805613,810550,815199,819838,824729,829999,835542,840979,845774,849597,852271,854067,855650,857938,861596,866785,873302,880987,889544,898698,908482,918817,929164,938834,947333,954425,960229,965058,969410,973656,977856,981912,985857,989698,993435,997126,1000778,1004271,1007434,1010154,1012402,1014243,1015769,1017114,1018387,1019601,1020763,1021969,1023333,1024931,1026807,1028925,1031182,1033426,1035538,1037484,1039274,1040886,1042306,1043525,1044525,1045293,1045827,1046130,1046206,1046054,1045678,1045095,1044330,1043403,1042327,1041110,1039755,1038267,1036650,1034910,1033061,1031137,1029179,1027216,1025264,1023318,1021367,1019386,1017359,1015280,1013152,1010986,1008789,1006568,1004320,1002035,999697,997282,994759
Solomon Islands,40299,41449,42714,44053,45437,46851,48290,49763,51288,52891,54598,56421,58355,60371,62428,64500,66569,68658,70837,73201,75816,78714,81867,85204,88622,92047,95446,98843,102295,105886,109671,113677,117868,122164,126453,130659,134750,138761,142757,146836,151070,155478,160042,164746,169562,174469,179466,184562,189752,195034,200405,205859,211393,217008,222708,228492,234360,240303,246303,252336,258386,264444,270509,276581,282662,288754,294854,300958,307067,313186,319315,325453,331597,337745,343894,350041,356183,362315,368432,374529,380599,386638,392640,398598,404501,410341,416113,421812,427437,432983,438449,443832,449128,454334,459448,464466,469387,474211,478937,483565,488098
Somalia,1140238,1165728,1191575,1217931,1244928,1272670,1301236,1330679,1361033,1392317,1424554,1457795,1492134,1527717,1564722,1603288,1645833,1692903,1740799,1784325,1821150,1844198,1857687,1883726,1952347,2082261,2286002,2549663,2833258,3081031,3253790,3335692,3340867,3296798,3245301,3216756,3220679,3247601,3286488,3319186,3333494,3326092,3304879,3282060,3274766,3294997,3347196,3426755,3525519,3631098,3734290,3833207,3930220,4025470,4120147,4215357,4310128,4404291,4500873,4603994,4716532,4839726,4972539,5112774,5257099,5403069,5550026,5698657,5849450,6003332,6160962,6322276,6486886,6654758,6825830,7000011,7177223,7357325,7540074,7725171,7912340,8101419,8292241,8484517,8677926,8872193,9067146,9262666,9458618,9654890,9851389,10048040,10244785,10441589,10638436,10835330,11032300,11229396,11426690,11624277,11822276
South Africa,6867571,7017425,7179002,7348521,7523451,7702514,7885754,8074466,8270989,8478353,8699234,8934835,9183907,9442330,9704301,9965830,10225062,10483720,10745725,11016827,11301063,11600015,11912092,12234350,12562382,12893125,13225113,13559656,13899752,14249767,14612563,14990246,15381175,15780038,16179366,16574322,16960126,17339406,17723454,18128120,18563360,19034376,19533547,20042345,20534972,20992861,21408483,21786958,22137803,22476284,22813278,23150428,23482904,23807425,24118732,24412633,24689660,24950316,25190381,25404580,25589771,25744367,25871190,25977114,26071699,26162371,26251498,26338805,26425839,26513551,26602591,26694314,26789158,26885516,26980863,27073277,27162371,27248506,27331360,27410718,27486408,27558213,27626003,27689847,27749916,27806378,27859355,27908938,27955252,27998440,28038710,28076353,28111738,28145297,28177506,28208876,28239940,28271256,28303402,28336980,28372613
Spain,14482778,14584742,14695787,14811387,14928511,15045632,15162801,15281569,15404735,15535923,15678326,15833363,15999500,16171750,16343101,16508709,16666114,16817287,16967158,17122959,17289644,17467824,17654793,17848025,18043726,18238438,18431986,18623166,18806218,18973969,19121377,19246371,19350422,19436623,19509909,19574377,19631048,19680310,19725037,19768512,19813439,19863376,19919615,19979993,20040804,20100623,20156100,20211650,20282672,20389738,20546270,20758661,21018943,21308310,21599953,21873889,22123560,22352664,22563915,22763627,22956369,23141115,23315003,23478913,23634071,23781246,23921408,24054102,24177011,24286899,24381774,24460937,24526132,24580851,24629926,24677079,24723709,24769625,24815034,24859635,24903290,24946279,24989231,25032659,25077120,25122897,25170164,25218511,25266869,25313772,25358036,25398990,25436391,25470239,25500557,25527188,25549729,25567488,25579473,25584402,25580708
Sri Lanka,3741349,3819186,3902097,3990611,4084975,4185156,4290822,4401362,4515928,4633517,4753200,4874372,4996971,5121567,5249103,5380114,5514758,5652317,5791403,5930156,6067214,6201841,6334255,6465216,6595956,6727278,6859581,6992281,7124054,7253070,7378120,7498390,7614523,7728521,7843227,7960555,8080994,8203474,8326402,8447462,8564784,8678653,8789148,8894029,8990499,9076982,9152140,9217641,9278643,9342252,9413606,9494456,9583431,9678675,9777013,9875956,9975112,10074836,10174176,10272101,10367744,10460503,10549992,10635864,10717881,10795829,10869486,10938626,11003082,11062724,11117506,11167348,11212366,11252969,11289725,11323094,11353218,11380153,11404174,11425572,11444560,11461293,11475774,11487857,11497298,11503908,11507657,11508583,11506640,11501783,11493974,11483180,11469378,11452546,11432671,11409741,11383746,11354682,11322544,11287333,11249051
Sudan,4607595,4709735,4819159,4934626,5055115,5179822,5308166,5439784,5574520,5712397,5853563,5998210,6146523,6298647,6454766,6615315,6780273,6950549,7128652,7317807,7520380,7737470,7968732,8213261,8469456,8736120,9011780,9296535,9592438,9902446,10227849,10570974,10928894,11291382,11644679,11979552,12291272,12584303,12869932,13164489,13479765,13818794,14177820,14553510,14940047,15332672,15732261,16139228,16547719,16950275,17342120,17719683,18085711,18449531,18824360,19219471,19638215,20077017,20529747,20987086,21442140,21892842,22340927,22787780,23236055,23687464,24142180,24598622,25054723,25507713,25955629,26397487,26833859,27266250,27696968,28127631,28558558,28988993,29418190,29845003,30268522,30688475,31104872,31517395,31925743,32329638,32728822,33123070,33512193,33896028,34274425,34647234,35014311,35375524,35730755,36079910,36422918,36759734,37090337,37414733,37732951
Suriname,108000,111154,114171,117237,120487,124004,127817,131905,136199,140599,145000,149333,153590,157842,162199,166700,171441,176288,180785,184324,186498,187118,186394,184815,183086,181732,180940,180609,180637,180815,181009,181192,181480,182033,183068,184724,187072,190025,193374,196821,200147,203279,206268,209165,212071,215060,218114,221198,224350,227620,231030,234610,238320,242038,245593,248867,251810,254462,256903,259259,261621,264011,266405,268790,271141,273442,275693,277904,280077,282214,284314,286376,288397,290374,292301,294176,295995,297753,299440,301045,302559,303978,305299,306515,307619,308606,309474,310224,310861,311394,311828,312169,312420,312584,312664,312663,312589,312450,312258,312024,311764
Swaziland,140273,143567,147033,150669,154471,158431,162538,166777,171131,175582,180118,184736,189449,194287,199291,204495,209913,215554,221446,227619,234096,240900,248038,255503,263276,271351,279778,288588,297731,307134,316776,326462,336268,346752,358672,372478,388517,406373,424808,442113,457089,469139,478678,486753,494934,504302,515319,527485,539785,550744,559359,565255,568953,571431,574101,577990,583427,590120,597721,605638,613436,621039,628605,636195,643927,651874,660040,668338,676643,684788,692650,700179,707396,714342,721089,727694,734163,740482,746657,752694,758602,764388,770065,775652,781172,786644,792079,797482,802855,808194,813500,818776,824029,829270,834505,839744,844990,850246,855510,860778,866043
Sweden,3520999,3551451,3577575,3600800,3622302,3642997,3663538,3684321,3705511,3727092,3748998,3771262,3794140,3818170,3844013,3872000,3902520,3935071,3967993,3999027,4026566,4049881,4069441,4086303,4102110,4118031,4134643,4151529,4167715,4181763,4192802,4200419,4205460,4209843,4216194,4226406,4240829,4258876,4280286,4304482,4330787,4359785,4391018,4421498,4447288,4465781,4475515,4477820,4476342,4476315,4481515,4493142,4510046,4530791,4552995,4574873,4596208,4617514,4638574,4659255,4679475,4699004,4717802,4736239,4754859,4774050,4793886,4814207,4834876,4855674,4876410,4897054,4917575,4937772,4957402,4976281,4994339,5011579,5027987,5043578,5058382,5072389,5085640,5098284,5110522,5122517,5134337,5146009,5157606,5169193,5180824,5192541,5204371,5216331,5228429,5240662,5253025,5265503,5278075,5290716,5303392
Switzerland,2431245,2460770,2492638,2524731,2555750,2585212,2613501,2641819,2672032,2706418,2746901,2794244,2847332,2902873,2956255,3004093,3045105,3080015,3109883,3136597,3161495,3185130,3206898,3225692,3239921,3248698,3251571,3249686,3245714,3243278,3245038,3252064,3263857,3279578,3297704,3317121,3337399,3358923,3382280,3408356,3437566,3470466,3506224,3542218,3574923,3601949,3621976,3636052,3647058,3659186,3675391,3696718,3722034,3749479,3776222,3800229,3820991,3839244,3855678,3871429,3887345,3903559,3919825,3936171,3952557,3968959,3985429,4002032,4018754,4035558,4052409,4069299,4086212,4103096,4119884,4136517,4152970,4169216,4185185,4200797,4215993,4230745,4245053,4258926,4272385,4285452,4298136,4310448,4322422,4334103,4345532,4356745,4367773,4378646,4389396,4400060,4410682,4421313,4432010,4442838,4453871
Syria,1699470,1740746,1785165,1832916,1884111,1938778,1996859,2058216,2122646,2189907,2259797,2332242,2407368,2485533,2567235,2652851,2742643,2836588,2934450,3035850,3140590,3248730,3360648,3476876,3598103,3724921,3857152,3994888,4139263,4291713,4453051,4623685,4802691,4987862,5176175,5365288,5554385,5743552,5932459,6121025,6309194,6497502,6685932,6873389,7058427,7240577,7419461,7597134,7778602,7970488,8177824,8399682,8635082,8888462,9165214,9467404,9799326,10155163,10514498,10849826,11141902,11382648,11578846,11744566,11901266,12065004,12239237,12420227,12608298,12802100,13000434,13204778,13415859,13630507,13844235,14053734,14257788,14457090,14652559,14845875,15038211,15229611,15419367,15607050,15792040,15973867,16152306,16327402,16499273,16668146,16834135,16997162,17156984,17313260,17465617,17613721,17757301,17896158,18030174,18159305,18283581
Tajikistan,790325,815032,841017,867431,893783,919933,946117,972926,1001240,1032121,1066491,1104785,1146655,1190834,1235509,1279391,1321960,1363655,1405306,1448181,1493167,1540600,1590083,1640896,1691986,1742641,1792692,1842549,1892798,1944286,1997685,2052595,2108885,2167751,2230750,2298658,2372343,2450556,2529367,2603447,2669028,2724669,2771615,2812133,2849763,2887211,2925162,2963170,3001510,3040235,3079481,3119587,3161058,3204352,3249953,3298233,3349301,3403186,3460033,3519960,3582947,3649036,3717913,3788734,3860382,3931970,4003097,4073680,4143546,4212622,4280813,4347940,4413785,4478192,4541023,4602173,4661545,4719110,4774925,4829099,4881723,4932801,4982328,5030370,5077011,5122317,5166341,5209098,5250573,5290731,5329559,5367081,5403351,5438444,5472440,5505413,5537425,5568526,5598750,5628120,5656643
"Macedonia, FYR",613400,631283,645998,657574,666215,672298,676384,679210,681645,684629,688980,695186,703228,712497,722020,731099,739586,747767,755890,764346,773414,783039,793081,803623,814763,826499,839026,852148,865001,876430,885670,892275,896632,899831,903435,908551,915575,924104,933476,942672,950949,958116,964414,970054,975395,980690,985977,991128,996047,1000584,1004632,1008176,1011259,1013904,1016154,1018049,1019599,1020818,1021763,1022501,1023089,1023543,1023877,1024128,1024340,1024540,1024750,1024955,1025098,1025095,1024884,1024444,1023784,1022903,1021811,1020513,1019007,1017285,1015342,1013176,1010784,1008169,1005339,1002306,999088,995700,992151,988449,984609,980652,976591,972438,968201,963885,959492,955029,950500,945911,941272,936590,931877
Thailand,10270237,10565373,10871074,11187949,11516616,11857705,12211866,12579761,12962029,13359234,13771705,14199362,14641570,15097070,15564165,16041252,16527701,17022607,17523726,18028393,18534508,19041927,19550552,20058596,20564018,21065940,21559768,22046686,22538302,23050549,23592968,24172594,24780853,25392710,25973614,26499403,26958851,27360633,27724778,28081349,28451580,28844340,29251526,29657328,30038149,30378400,30670317,30923418,31160019,31411560,31699535,32033292,32402924,32787203,33155136,33484498,33768391,34014289,34231738,34436086,34638675,34841619,35041417,35237273,35427051,35609236,35784219,35953145,36116009,36272742,36423264,36567535,36705491,36836982,36961815,37079791,37190832,37294775,37391233,37479736,37559922,37631645,37694898,37749646,37795907,37833724,37863147,37884239,37897105,37901878,37898733,37887889,37869609,37844197,37811994,37773374,37728742,37678536,37623222,37563302,37499306
