Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Western Asia,(25858915),(26559776),(27267351),(27984058),(28712324),(29454593),(30213333),(30991020),(31790120),(32613029),(33461926),(34338608),(35244353),(36179857),(37145396),(38141352),(39169109),(40229728),(41322852),(42447673),(43604032),(44791591),(46011926),(47269040),(48568147),(49912905),(51303450),(52738228),(54216837),(55738335),(57300977),(58904596),(60546237),(62217782),(63908815),(65611307),(67322893),(69043743),(70771781),(72505551),(74244730),(75986522),(77732368),(79491541),(81276746),(83096831),(84956174),(86851560),(88775007),(90714604),(92662022),(94611911),(96567276),(98537810),(100537605),(102575224),(104654828),(106768443),(108897747),(111017553),(113109655),(115166958),(117194122),(119199177),(121195388),(123192538),(125190769),(127186449),(129181131),(131176196),(133171827),(135169317),(137166398),(139155140),(141124912),(143067845),(144980293),(146863374),(148719839),(150554595),(152370990),(154169094),(155946558),(157701510),(159431326),(161133946),(162808191),(164453908),(166071257),(167660794),(169222617),(170756025),(172259640),(173731671),(175170169),(176573330),(177939564),(179267562),(180556295),(181805020),(183013263)
Western Europe,(74369262),(74702567),(75106616),(75561872),(76053873),(76573236),(77115940),(77683043),(78279785),(78914110),(79592203),(80313744),(81067762),(81830826),(82572132),(83268306),(83909573),(84497406),(85033772),(85525149),(85976315),(86387903),(86757129),(87082169),(87360625),(87592412),(87779617),(87928393),(88048243),(88151248),(88248399),(88342097),(88437402),(88550914),(88702651),(88906465),(89167444),(89480974),(89838259),(90225356),(90629763),(91053289),(91492966),(91925729),(92322256),(92663014),(92934219),(93144309),(93323377),(93514879),(93749090),(94036741),(94365020),(94712056),(95045152),(95340407),(95591867),(95806602),(95989428),(96149437),(96293670),(96422183),(96533155),(96629868),(96716253),(96795280),(96868681),(96936493),(96997817),(97050838),(97094273),(97128138),(97153199),(97169752),(97178221),(97178901),(97171819),(97156812),(97133726),(97102329),(97062404),(97013890),(96956679),(96890441),(96814784),(96729393),(96634221),(96529258),(96414296),(96289121),(96153632),(96007916),(95852217),(95686889),(95512374),(95329127),(95137629),(94938366),(94731824),(94518496),(94298887)
World,(1263548017),(1286374186),(1309212530),(1332310963),(1355866549),(1380025519),(1404881076),(1430475576),(1456806883),(1483839005),(1511533959),(1539885733),(1568950119),(1598857334),(1629776040),(1661806982),(1694990092),(1729230582),(1764323222),(1799983751),(1835987904),(1872293054),(1908902057),(1945695840),(1982547355),(2019382396),(2056131009),(2092849056),(2129750733),(2167137557),(2205236137),(2244052788),(2283538315),(2323786906),(2364899208),(2406905299),(2449863115),(2493638882),(2537827880),(2581887935),(2625413103),(2668254044),(2710462143),(2752083589),(2793242228),(2834038154),(2874453062),(2914459881),(2954150981),(2993648188),(3033047696),(3072385015),(3111665557),(3150917293),(3190161267),(3229411719),(3268671420),(3307940242),(3347220281),(3386509865),(3425794487),(3465058439),(3504258622),(3543315027),(3582126748),(3620604716),(3658706660),(3696393895),(3733585488),(3770192431),(3806143436),(3841394114),(3875925658),(3909727749),(3942803719),(3975156832),(4006775166),(4037650484),(4067797858),(4097240855),(4126000019),(4154071978),(4181459864),(4208198251),(4234331097),(4259886782),(4284873289),(4309272489),(4333052563),(4356167666),(4378578338),(4400258512),(4421193005),(4441371822),(4460783617),(4479409536),(4497221205),(4514179489),(4530234055),(4545323838),(4559377022)
Afghanistan,3931611,3988547,4047906,4109917,4174773,4242634,4313619,4387813,4465271,4546029,4630138,4717693,4808868,4903923,5003176,5106887,5213722,5323434,5438497,5562300,5696409,5839977,5989212,6138802,6281813,6411835,6531986,6640153,6719018,6746258,6708667,6602718,6441718,6251035,6065687,5914649,5796978,5715203,5704742,5809025,6053853,6462727,7014790,7636543,8225599,8709440,9059261,9299308,9475113,9657061,9896389,10205067,10566141,10967632,11388313,11812594,12238843,12673209,13116590,13571234,14038473,14517711,15006921,15504370,16007904,16515753,17027394,17542479,18059701,18577645,19095436,19612074,20127987,20645530,21168051,21697901,22235805,22780824,23331603,23886057,24442575,25000743,25560746,26122263,26685059,27248916,27813506,28378564,28944040,29509967,30076328,30643014,31209836,31776563,32342968,32908866,33474125,34038680,34602529,35165736,35728428
Albania,603221,615931,630712,647343,665616,685333,706308,728364,751335,775069,799424,824276,849515,875049,900803,926709,952632,978505,1004411,1030492,1056812,1083537,1110530,1137200,1162750,1186687,1208759,1229355,1249412,1270237,1292800,1316785,1341866,1368907,1398982,1432467,1470453,1511690,1551388,1583097,1602436,1607453,1600129,1584896,1568256,1555047,1546609,1541884,1540419,1541016,1542764,1545921,1550949,1557292,1564196,1571107,1577761,1584259,1590857,1597981,1605918,1614685,1624077,1633886,1643824,1653658,1663293,1672706,1681816,1690554,1698854,1706664,1713920,1720545,1726457,1731598,1735938,1739484,1742270,1744356,1745795,1746599,1746792,1746458,1745703,1744611,1743216,1741527,1739568,1737356,1734902,1732205,1729258,1726045,1722543,1718720,1714538,1709949,1704901,1699331,1693171
Algeria,4287958,4404356,4502529,4594082,4687433,4787820,4897127,5014057,5134627,5253003,5364001,5465750,5562028,5663257,5783674,5933001,6115801,6327805,6559044,6794913,7024856,7246169,7462259,7676124,7892963,8116925,8347293,8583391,8829497,9091040,9371382,9672385,9991555,10322408,10655841,10984979,11306743,11621859,11931795,12239556,12546860,12854654,13160549,13459120,13743144,14007922,14251339,14476263,14689212,14899467,15114048,15335102,15561640,15793732,16030519,16271325,16516584,16766851,17021521,17279668,17540420,17803378,18068079,18333434,18598163,18861142,19121654,19379151,19632892,19882158,20126297,20364931,20597608,20823575,21042016,21252387,21454359,21648119,21834330,22013994,22187928,22356386,22519446,22677570,22831251,22980905,23126675,23268712,23407406,23543183,23676280,23806669,23934085,24058086,24178130,24293636,24404010,24508659,24606992,24698419,24782350
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,2113014,2146227,2182842,2222627,2265279,2310423,2357602,2406287,2455903,2505862,2555689,2605145,2654339,2703777,2754224,2806310,2860390,2916561,2974928,3035523,3098514,3164208,3233172,3306178,3384148,3467907,3557055,3651814,3754263,3867066,3991706,4130075,4280623,4437225,4591460,4737658,4872503,4998653,5123653,5258366,5410255,5582906,5773004,5972827,6171137,6360241,6536823,6704546,6871104,7047657,7242002,7457097,7689732,7934088,8181475,8425709,8664738,8900844,9137357,9379420,9630647,9891927,10161627,10437827,10717629,10998884,11280930,11564287,11849381,12137033,12427774,12721548,13017833,13316142,13615838,13916408,14217639,14519475,14821758,15124369,15427208,15730124,16033030,16335976,16639073,16942390,17245856,17549370,17852933,18156556,18460205,18763788,19067159,19370131,19672494,19974034,20274533,20573776,20871550,21167644,21461849
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,8323381,8522281,8720813,8917585,9111632,9302416,9489846,9674256,9856352,10037111,10217500,10398165,10579168,10759867,10939247,11116871,11292338,11466803,11643256,11825670,12016861,12217686,12427231,12644273,12866799,13093064,13323248,13557117,13791994,14024486,14252314,14473967,14690360,14904646,15121413,15343905,15573020,15807474,16045659,16285070,16523763,16760971,16996853,17231423,17464963,17697429,17929307,18159755,18385904,18603985,18811610,19007294,19192610,19372001,19551725,19736293,19927243,20123257,20322489,20521892,20719172,20913919,21106730,21297461,21486134,21672710,21856940,22038493,22217181,22392835,22565297,22734403,22900019,23062061,23220477,23375203,23526278,23673622,23816929,23955811,24090049,24219468,24344310,24465288,24583385,24699310,24813301,24925175,25034697,25141457,25245129,25345557,25442725,25536683,25627466,25715019,25799165,25879596,25955863,26027385,26093445
Armenia,711339,726217,744784,766367,790391,816387,843988,872929,903036,934204,966337,999288,1032798,1066478,1099872,1132656,1164563,1195633,1226241,1256957,1288165,1319963,1352119,1384285,1415962,1446775,1476657,1505677,1533765,1560878,1587014,1611438,1634075,1656314,1680074,1706350,1736520,1769162,1799122,1819394,1825296,1814772,1790266,1757177,1723300,1694435,1672266,1655598,1643864,1635566,1629542,1626074,1625651,1627445,1630346,1633510,1636553,1639528,1642567,1645985,1649979,1654488,1659269,1664137,1668861,1673255,1677245,1680803,1683853,1686328,1688186,1689381,1689918,1689876,1689373,1688504,1687292,1685737,1683894,1681818,1679555,1677127,1674539,1671781,1668837,1665687,1662332,1658766,1654956,1650858,1646438,1641675,1636560,1631094,1625276,1619102,1612564,1605646,1598324,1590568,1582341
Aruba,19663,20181,20734,21305,21881,22453,23015,23566,24104,24634,25158,25675,26182,26666,27114,27517,27870,28177,28451,28710,28966,29227,29491,29749,29989,30201,30376,30521,30667,30856,31116,31490,31963,32431,32753,32843,32630,32188,31756,31659,32119,33234,34904,36908,38924,40719,42215,43476,44576,45645,46774,47972,49192,50394,51523,52538,53432,54217,54889,55449,55900,56238,56471,56631,56764,56901,57056,57226,57406,57582,57747,57901,58049,58188,58315,58428,58525,58606,58668,58709,58727,58721,58692,58639,58563,58465,58345,58203,58042,57864,57669,57460,57239,57006,56763,56512,56255,55994,55731,55471,55215
Australia,4074999,4163870,4255616,4349648,4445668,4543664,4643936,4747070,4853876,4965271,5081951,5204032,5330741,5460279,5590205,5718540,5845163,5969978,6091150,6206503,6314778,6414709,6507390,6596855,6688719,6786973,6893451,7006939,7124682,7242444,7357296,7467887,7575573,7683313,7795379,7914548,8042214,8176577,8313361,8446557,8571941,8688012,8796356,8899632,9001911,9106248,9213121,9321798,9432679,9545977,9661709,9780381,9901766,10024196,10145374,10263653,10378379,10490024,10599459,10708073,10816884,10926077,11035310,11144468,11253297,11361606,11469369,11576651,11683436,11789716,11895454,12000609,12105073,12208661,12311137,12412309,12512090,12610430,12707212,12802321,12895671,12987208,13076923,13164844,13251030,13335539,13418384,13499590,13579243,13657454,13734315,13809894,13884233,13957363,14029314,14100124,14169847,14238551,14306320,14373257,14439477
Australia/New Zealand,5023998,5132193,5245811,5363104,5482913,5604666,5728419,5854813,5984971,6120301,6261952,6410211,6563988,6720594,6876370,7028540,7176275,7319875,7459132,7594168,7725205,7851897,7974378,8094011,8212667,8331764,8452084,8573562,8695768,8817885,8939479,9060164,9180636,9302799,9429194,9561474,9700452,9845135,9993129,10141028,10286309,10428382,10567815,10704692,10839429,10972488,11103302,11231999,11360602,11491827,11627462,11768511,11914003,12061323,12206732,12347562,12482879,12613561,12740964,12867224,12993907,13121318,13248938,13376552,13503717,13630100,13755666,13880531,14004664,14128047,14250629,14372355,14493094,14612627,14730676,14847018,14961549,15074216,15184901,15293492,15399909,15504095,15606041,15705782,15803391,15898936,15992435,16083918,16173485,16261263,16347358,16431845,16514770,16596165,16676060,16754494,16831523,16907217,16981667,17054982,17127284
Austria,3716483,3712786,3711669,3712428,3714605,3717993,3722646,3728867,3737158,3748140,3762318,3779818,3800171,3822211,3844352,3865381,3884748,3902516,3918830,3934078,3948480,3962143,3974718,3985462,3993395,3997910,3998778,3996479,3992004,3986746,3981805,3977658,3974350,3972040,3970761,3970623,3971382,3973329,3977678,3986006,3999211,4018250,4042217,4067880,4090792,4107906,4117675,4121389,4122294,4125141,4133265,4147721,4167138,4189479,4211659,4231389,4248183,4262651,4274909,4285367,4294372,4301788,4307552,4312222,4316545,4321078,4326034,4331333,4336865,4342396,4347749,4352924,4357981,4362856,4367470,4371756,4375685,4379227,4382310,4384853,4386795,4388107,4388794,4388876,4388393,4387383,4385854,4383817,4381311,4378386,4375085,4371440,4367476,4363209,4358659,4353848,4348803,4343558,4338155,4332641,4327070
Azerbaijan,1532522,1568670,1609570,1654046,1701232,1750572,1801834,1855097,1910694,1969123,2030779,2095666,2163144,2231826,2299879,2365921,2429451,2490606,2549454,2606300,2661421,2714746,2766259,2816396,2865740,2914768,2963624,3012375,3061319,3110775,3160963,3212160,3264356,3317116,3369803,3422005,3473190,3523575,3574362,3627230,3683168,3742887,3805422,3868059,3927071,3979840,4025504,4065043,4099992,4132728,4165135,4197476,4229624,4262627,4297662,4335540,4376745,4421071,4467717,4515456,4563307,4610997,4658534,4705529,4751591,4796384,4839679,4881284,4920961,4958489,4993714,5026520,5056913,5085034,5111117,5135368,5157828,5178549,5197771,5215783,5232813,5248948,5264208,5278664,5292365,5305331,5317599,5329127,5339749,5349231,5357386,5364105,5369347,5373111,5375395,5376170,5375365,5372861,5368493,5362045,5353256
Bahamas,42375,42890,43675,44690,45904,47300,48874,50632,52594,54780,57208,59874,62744,65746,68790,71800,74752,77641,80433,83099,85620,87982,90190,92270,94260,96194,98071,99899,101739,103666,105731,107970,110366,112847,115308,117676,119919,122070,124202,126417,128789,131340,134034,136813,139595,142315,144958,147536,150045,152487,154866,157174,159411,161596,163757,165913,168072,170230,172387,174539,176682,178818,180948,183071,185181,187277,189356,191416,193460,195488,197500,199495,201470,203418,205333,207208,209042,210833,212576,214264,215892,217457,218960,220408,221808,223169,224492,225774,227011,228196,229325,230396,231410,232370,233280,234142,234956,235723,236440,237104,237709
Bahrain,53496,54073,55715,57812,59940,61857,63513,65041,66729,68967,72105,76288,81325,86625,91368,94996,97250,98388,98998,99936,101814,104831,108779,113374,118168,122829,127319,131754,136147,140546,144999,149452,153920,158611,163803,169678,176331,183657,191394,199167,206703,213905,220839,227597,234336,241166,248109,255110,262123,269077,275926,282650,289279,295873,302518,309275,316163,323159,330229,337321,344393,351437,358458,365446,372392,379289,386131,392916,399641,406308,412919,419469,425959,432406,438831,445250,451665,458070,464452,470794,477082,483309,489472,495564,501574,507495,513320,519042,524654,530148,535517,540755,545857,550821,555643,560320,564850,569231,573459,577532,581448
