"TC female (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Tunisia,4.786174,4.778463,4.768167,4.758138,4.747183,4.736896,4.726267,4.71959,4.715469,4.712762,4.712714,4.714933,4.722912,4.731282,4.74317,4.754178,4.763636,4.774344,4.784627,4.795446,4.807393,4.819412,4.830195,4.838074,4.84523,4.852238,4.859021,4.865367,4.87157
Turkey,4.867945,4.871875,4.87478,4.875953,4.880841,4.883654,4.888856,4.895066,4.899383,4.90255,4.906925,4.909247,4.912488,4.91714,4.917766,4.917528,4.916986,4.916825,4.913482,4.90518,4.89272,4.874231,4.855077,4.841705,4.831856,4.822131,4.81555,4.809465,4.804042
Turkmenistan,5.268978,5.25265,5.234689,5.217318,5.2006,5.180289,5.162037,5.142193,5.119954,5.094715,5.066792,5.033417,4.995385,4.95784,4.913976,4.870415,4.826786,4.782095,4.743974,4.714942,4.692764,4.675107,4.662016,4.654056,4.651289,4.6491,4.645863,4.641034,4.635527
Uganda,4.519729,4.495024,4.472307,4.448936,4.428266,4.408057,4.388701,4.37026,4.353598,4.339136,4.327331,4.316835,4.309175,4.303616,4.299893,4.297374,4.297513,4.297673,4.295834,4.295104,4.29437,4.291732,4.288926,4.285887,4.284132,4.282233,4.281918,4.282619,4.283853
Ukraine,5.547342,5.536461,5.525391,5.515353,5.503888,5.489415,5.477162,5.462344,5.445955,5.428291,5.406633,5.379928,5.348276,5.3092,5.263434,5.218642,5.170697,5.125657,5.08286,5.043058,5.007464,4.975511,4.949708,4.929202,4.915169,4.903634,4.894982,4.889229,4.882629
United Arab Emirates,5.66203,5.665427,5.662785,5.650184,5.635218,5.612164,5.575707,5.546701,5.516103,5.488141,5.46767,5.452114,5.436502,5.423093,5.414657,5.407609,5.410375,5.407672,5.398607,5.38947,5.378842,5.36266,5.349833,5.342545,5.328503,5.312662,5.301769,5.290207,5.281456
United Kingdom,6.193212,6.162872,6.132614,6.101321,6.06851,6.03578,6.002052,5.967797,5.930492,5.892653,5.852008,5.810082,5.768741,5.727289,5.690119,5.653957,5.620436,5.586248,5.555336,5.526926,5.499918,5.474924,5.45187,5.433029,5.415367,5.399381,5.387626,5.376182,5.365143
United States,5.728238,5.710429,5.689657,5.672323,5.655881,5.640577,5.623813,5.605032,5.586185,5.566359,5.545233,5.523099,5.502283,5.481856,5.462679,5.441872,5.420122,5.397719,5.377285,5.356707,5.334064,5.310004,5.286608,5.263924,5.240827,5.218913,5.19721,5.173368,5.149762
Uruguay,5.280857,5.278061,5.271922,5.256364,5.239721,5.222713,5.207442,5.197732,5.187767,5.17606,5.161148,5.151502,5.14498,5.140017,5.138238,5.130499,5.123914,5.113484,5.10321,5.090545,5.069625,5.041293,5.001928,4.960535,4.922997,4.889108,4.855037,4.82291,4.79499
Uzbekistan,5.180341,5.160916,5.137836,5.116266,5.092218,5.071126,5.047939,5.022703,4.99711,4.966436,4.931242,4.89201,4.84411,4.800683,4.75951,4.717886,4.673796,4.63998,4.610272,4.581656,4.555774,4.532072,4.509519,4.48863,4.471099,4.456106,4.441374,4.427201,4.414015
Vanuatu,4.77032,4.756871,4.744019,4.736103,4.729146,4.721699,4.714518,4.706876,4.698161,4.690094,4.68724,4.687439,4.688778,4.690228,4.694614,4.699543,4.705111,4.710166,4.716773,4.721982,4.727796,4.728429,4.725305,4.724747,4.723951,4.724818,4.72824,4.734924,4.741816
Venezuela,5.257369,5.228271,5.198651,5.163537,5.127543,5.092072,5.060114,5.028649,5.000564,4.969863,4.941041,4.916784,4.897151,4.880793,4.862783,4.846298,4.832348,4.8232,4.816241,4.808829,4.804634,4.803546,4.802348,4.796228,4.798528,4.804093,4.81586,4.827959,4.841067
Vietnam,4.484098,4.475724,4.469477,4.464522,4.461065,4.458383,4.454817,4.45287,4.451279,4.451446,4.450988,4.451299,4.454549,4.458205,4.464587,4.472691,4.482601,4.494399,4.505715,4.517657,4.532465,4.548348,4.565701,4.583491,4.601876,4.620143,4.639273,4.658402,4.67733
West Bank and Gaza,4.820875,4.821388,4.822,4.821256,4.820451,4.818942,4.819209,4.818305,4.816766,4.815391,4.815858,4.816121,4.819214,4.82369,4.829781,4.83485,4.828604,4.826005,4.825128,4.82546,4.821314,4.808185,4.787444,4.764441,4.73966,4.717337,4.694195,4.672748,4.652875
"Yemen, Rep.",4.687829,4.694153,4.697597,4.700813,4.70341,4.702974,4.699171,4.694582,4.689281,4.682257,4.676765,4.671896,4.665788,4.660301,4.656028,4.653063,4.650513,4.649968,4.647203,4.644019,4.640518,4.63572,4.629845,4.62472,4.618387,4.611324,4.602932,4.592202,4.581277
Zambia,4.769215,4.752243,4.734734,4.715637,4.695463,4.675613,4.654394,4.63511,4.617918,4.602322,4.587836,4.574726,4.561107,4.550317,4.535413,4.518526,4.503759,4.493097,4.482165,4.472587,4.465406,4.459494,4.455595,4.45344,4.453328,4.453698,4.45527,4.45761,4.46094
Zimbabwe,4.770004,4.750299,4.729438,4.709846,4.685163,4.662204,4.63909,4.614301,4.591647,4.572668,4.553655,4.536996,4.516003,4.495306,4.477943,4.4613,4.448462,4.438697,4.432243,4.426096,4.421011,4.415891,4.40654,4.394706,4.38243,4.369063,4.355581,4.341924,4.33018
