Market capitalization of listed companies (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.53905457,91.44531747,67.16686042,72.19862568,77.69474311,111.3168123,105.1331688,137.2479503,131.9448636,217.4500117,252.794209,258.4253887,317.0300242,245.4277037,198.3159443,223.6493324,227.5125673,252.3592335,312.138529,298.7311754,175.3558711,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.820146004,2.090867665,2.565461853,4.216421794,7.249025935,6.406562045,5.898784169,4.156866696,3.77594076,,6.311811902,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.28635095,35.43215955,28.00457828,36.44332764,52.30916274,104.7910379,90.77801604,84.22105407,54.86633652,15.59929345,31.20249213,47.59453685,24.02829943,31.4614771,36.39157136,84.99212896,72.32866369,70.80397164,68.08603579,79.33514942,37.65909436,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.959785077,9.50720854,13.73303725,12.51206592,9.218893372,10.57878808,13.40150385,21.11005427,24.39431838,54.32441777,64.89391223,64.14127386,53.09666874,57.05203816,72.21761182,94.38053808,132.3345032,111.8080033,84.56179209,71.85760898,50.35138946,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.061630834,6.315667108,4.336658746,5.437948923,5.252532504,6.543935075,16.37617777,21.77930717,21.76407693,12.28236834,11.44721396,13.01088881,14.54343307,11.52238742,10.12642321,9.859900893,9.389047196,9.928731718,14.36066793,15.29153148,15.81225213,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.261525437,6.322960792,12.68279064,10.41489309,6.23935438,20.8893921,16.63372818,12.2398283,16.5401408,32.21665271,12.50741153,45.27452912,26.0691143,24.05167239,14.5902343,22.4492688,25.00995214,33.37605054,30.64519325,44.23457479,16.0480986,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601693638,0.785493011,0.746806668,1.130497326,1.148982509,1.172584192,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.312005515,1.360926184,3.54875371,6.015764931,3.591037981,7.358284741,8.582937405,18.15322808,28.9934582,39.7850848,78.30546896,13.50538805,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.69938596,13.92733986,8.113328822,8.4069022,27.06567812,34.2781768,90.51713784,169.600138,84.83449344,113.0762567,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.58456176,96.22833375,83.84552988,93.57436143,84.9094301,117.383411,114.11096,121.6588437,142.6967615,146.886284,163.0739138,195.2192909,174.4061846,147.1703988,115.6449781,132.2039452,128.1081367,134.1199916,155.7783875,137.6335431,69.25632897,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0958728,64.50190004,53.15083888,68.77532913,71.41947908,77.77052718,72.20542898,93.39882598,109.3030803,137.061157,154.7092678,180.498622,154.6784061,137.5025178,106.5322294,130.787181,140.3479206,137.2591984,148.1024267,145.1598345,83.28523003,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.673094127,0.972841777,0.948301352,1.296582793,0.884448223,0.823290755,0.699403283,0.705087418,,,0.334970488,0.618317447,0.551241994,0.624627093,0.655567214,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.917635594,3.15369614,,0.696783892,0.231897759,0.244356997,0.322200628,0.138698609,0.035743903,0.25781146,4.199976862,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.114923326,3.488181399,17.77682953,21.64905364,12.998039,13.78478208,7.270488396,4.880573359,14.73074695,16.98677082,8.306460547,7.625481859,6.938297489,5.057182834,4.264783738,4.573822235,5.439566956,3.448065201,4.471625681,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397161938,0.546229833,0.873659254,15.19596553,28.47624598,10.57905078,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12764618,15.07921357,20.35273058,18.60977414,21.69143204,20.33861985,20.68661286,30.40100782,111.0897181,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546347195,5.962748897,18.03405242,9.310167771,8.942642693,7.282241234,6.971949024,6.272418129,17.12562523,8.372056374,13.81798854,11.10510152,20.55979249,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.904303876,12.91284482,27.32297385,16.08520406,9.301674808,21.78611615,26.55763101,28.65873422,42.49897606,23.36228126,21.59464041,42.15845548,32.87344644,77.72932065,71.38913925,67.26104372,41.19908393,70.26402185,,,,
