"Agriculture, value added (% of GDP)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ethiopia,,,,,,,,,,,,,,,,,,,,,60.65298909,58.82622908,60.01026186,53.44880879,57.8183814,56.30852684,54.25150789,53.8576667,53.47955503,54.34119304,64.06587599,68.87998054,65.12491305,58.12323578,57.4758912,56.70743769,57.63023561,52.56247122,49.50382218,49.87712172,47.66885526,43.51039357,41.90124362,44.18568921,46.6908836,47.91673542,46.23862365,43.88776475,50.79075891,47.74127993,41.87429313
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,41.42705005,36.84738956,33.81088825,31.98529412,29.58226769,29.70679012,27.61565836,28.53759621,24.7428262,24.98915401,25.18295936,25.57856273,25.61117102,25.76236986,23.32839148,21.94401244,21.55504234,22.14206123,19.89095304,20.27005442,18.40649382,15.98843764,18.31476359,20.89684597,23.0332252,19.53016529,22.15628193,20.4114306,20.65041502,20.14180988,19.78215039,20.88487685,20.05493498,20.05119454,17.33348841,16.76672232,19.06401389,17.06107252,14.85260021,15.3173612,14.76314364,14.52800095,14.06289715,14.49801474,13.90617849,14.44141113,12.73477529,12.11408146,
Finland,,,,,16.5045801,14.7340263,13.85102182,14.09254301,13.61438096,12.50187927,12.5504026,11.20863868,10.8275266,10.36014403,10.82931003,10.30649687,9.709221271,9.301588739,9.128711332,9.648295378,8.678748729,8.859546374,8.59863491,8.349472778,7.947913772,7.59803014,6.149792481,6.16962598,6.18944284,6.335443856,5.668750169,5.032850054,5.140896102,4.963802901,4.483663248,4.10704761,4.114671527,3.472291019,3.47192699,3.497147224,3.262749727,3.17887974,3.064166125,2.869615701,2.770101329,2.419685768,3.00667159,2.855560683,2.686964922,2.894153567,
France,,,,,,,,,,8.084507687,7.618817553,8.130157307,8.297013538,6.925171377,6.178328559,5.898606936,5.707106804,5.612730706,5.589544865,4.905641804,4.810170612,5.465804211,4.884818723,4.588786609,4.572598347,4.411574166,4.225210556,3.900155524,4.223296128,4.207353534,3.543418252,3.486207734,3.105640227,3.26314779,3.320626275,3.2819729,3.203396235,3.21334371,3.040294296,2.840117248,2.853804998,2.715389294,2.488343462,2.457619458,2.2932226,2.109436544,2.217736921,2.05973449,1.764061972,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.193186346,1.3198918,1.233007171,2.222444634,3.349083089,2.65372123,3.929324826,3.872644898,4.057685339,4.494117604,4.705882321,,,,,,,,,,,
Gabon,35.21184391,35.88546584,44.08357346,30.18042886,26.30630631,25.16556708,24.10181138,18.38133926,18.6215506,18.54749306,13.7963844,13.0875576,11.60769708,8.205542104,6.401386246,5.006257822,5.462184874,6.509643917,7.446478436,6.757355674,6.117198666,6.1233081,6.500037143,6.104613803,6.751082972,9.244930856,10.9925986,10.07617545,8.685885436,7.324447735,7.623666432,8.25138827,8.48423088,9.086015128,8.031674208,7.09283164,7.217522756,7.020793951,7.293625914,6.213624522,6.37103077,6.086349354,6.069733739,5.63539991,4.88744011,4.940398678,4.846147892,4.060003422,5.360189411,4.078233423,3.714770399
Gambia,,,,,,35.17622668,35.6314433,35.67741935,35.68904594,34.14507772,34.06862745,35.61771562,35.63714903,35.16483516,34.74752733,36.32716737,35.4524131,32.13025345,30.96085409,30.84755091,34.408462,43.77731844,37.11981552,31.17610912,31.22979795,34.5232537,35.01687811,31.14774923,30.81422592,28.99127736,16.14112397,15.47938485,15.5971125,17.92425823,20.59951018,17.35385196,19.86793319,18.59966029,23.20318753,23.84961638,24.6762167,23.46491809,26.05026187,28.68071186,28.40069653,22.13394046,21.01758889,24.83276287,26.79061274,28.45947084,29.90754284
Georgia,,,,,,,,,,,,,,,,,,,,24.33460076,25.19616391,23.0388109,23.77850163,25.70556827,25.49467275,26.796875,24.24242424,24.41348974,23.30827068,31.5455187,28.74015748,52.89295393,58.57762866,65.8647977,52.15358327,34.13638087,29.23739693,27.56313487,26.2358994,21.9334932,22.42663565,20.61035115,20.55453112,17.91729041,16.68902136,12.81950091,10.69548298,9.390961268,9.35848497,8.405663776,7.229210194
Germany,,,,,,,,,,3.668832328,3.439940699,3.417857968,3.246021392,2.964511113,3.129602049,3.159512008,3.056776911,2.920102223,2.617052543,2.400772925,2.386802065,2.521035722,2.190768988,2.164792817,1.924452623,1.921277726,1.70234268,1.770836284,1.866188408,1.493835676,1.375053825,1.284126326,1.222013164,1.244146657,1.27216723,1.316487324,1.308831001,1.243385348,1.235878847,1.273975281,1.370058362,1.152683787,0.9868421053,1.104086633,0.8732231504,0.8503173112,0.9618785571,0.900315742,0.8175854072,0.8787401717,
Ghana,39.67679691,42.24079512,40.22812914,39.35873187,49.90223042,47.9072503,45.04504397,47.15101808,52.26342129,53.89190675,50.19324257,52.27082686,53.2532092,56.17868873,53.1052992,56.36860853,60.9395825,65.04714516,63.39004451,60.05584499,55.26591169,59.35742733,,51.90365206,48.43166396,48.02698522,50.7037751,49.71706333,49.41911172,45.06751919,45.55956599,44.96375866,41.36654228,41.97789065,42.70310968,43.8782099,40.05234564,40.23304031,39.92778978,39.41371832,39.32504243,39.21139752,40.238459,41.5473174,40.93535116,30.40485353,29.04994198,30.96203581,31.80559157,29.9279868,27.2674568
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,17.79847381,17.16559154,16.3507999,14.11902749,13.59619542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,27.14250228,24.24643046,26.23963397,24.70735786,25.42701092,21.60321015,20.36732334,19.94140863,17.07863667,16.80866252,18.71174027,17.90163606,15.44929174,13.39500573,13.14197111,11.23938485,10.62155862,10.1143626,10.12533714,8.625263793,8.371190403,7.860500143,8.012501486,5.967200744,6.150451117,7.237586869,6.841894566,5.815605738,3.396236107,4.488587096,4.065571012,4.285534573,5.198974206,5.330160971,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08682551,15.17491383,14.3938945,13.96625524,13.38352932,12.18525324,12.40599497,11.97229227,35.32211011,38.69430566,40.50847284
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,23.92811788,24.65335374,23.46497427,24.06949632,23.77756121,18.84587373,17.07420142,17.99168415,20.8734761,19.25385433,17.78125474,20.9400109,21.95722989,22.48318179,20.25901483,22.02408501,22.49000286,22.28161199,25.05070994,24.1582987,23.84469206,25.34559765,24.91259614,16.89994261,12.97016298,
Guinea-Bissau,,,,,,,,,,47.45551601,44.85066754,45.78120928,42.88256622,41.3797499,47.77204139,48.08963154,46.15433779,51.61291255,51.58868583,44.28716498,53.27753331,46.76550829,42.45,41.31736374,46.48737923,45.26131832,57.56832473,58.13395346,50.17133454,60.80318713,54.11244929,49.36667293,55.22548051,55.59375551,55.05516338,57.6006141,54.60478466,62.38272748,58.69346754,56.43836848,51.41025872,57.28217131,,,,,,,,,
Guyana,26.39805488,25.68807339,26.98645185,24.4170553,24.05413719,21.68956445,21.36569752,19.69397828,20.41562,19.17021277,20.40529695,19.63444507,18.44205413,30.36330191,31.1070606,22.72946092,20.67883068,22.59399553,22.34755261,23.35329341,22.22222222,23.36,24.25,24.71509972,26.83374083,26.67392581,29.94670348,26,39.91624619,38.08179636,38.37665877,40.75412754,36.15238622,36.98946761,41.23121515,38.8934805,35.44860886,34.60667108,34.6400871,31.08820789,30.30351675,30.82318464,31.43654452,31.30532156,34.6028932,27.04846318,24.40702576,26.348952,23.97447914,21.03301889,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,38.80135928,38.76023722,37.59989345,37.85731444,40.03239741,39.58208955,38.63221329,37.95323619,35.87134887,32.44070231,31.31159818,30.92783369,30.87613174,29.41176471,27.33103022,28.54771936,30.62755798,27.17739688,25.580235,23.66645133,22.39190642,21.64022149,21.14863785,20.82210243,21.85461379,20.57008503,20.90748645,21.19737245,21.07822183,22.43635782,22.74060731,20.37071557,20.58989484,24.34393581,21.53497211,22.32264334,23.0092828,19.13331558,15.93910325,15.87896035,14.58877978,13.45205414,12.75923344,13.36181075,13.65229098,12.98343477,13.00735474,13.11057173,11.87570653,12.51791048,12.39794365
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09161704077,0.09626389651,0.09660939724,0.09249397388,0.09077148672,0.08387008965,0.07454555091,0.06417120422,0.0517296473,0.05364796489,,
Hungary,18.45598184,18.9963209,19.07374285,20.18437605,18.96810393,20.93075576,20.31901264,21.10774067,21.77484953,18.96775244,19.66962095,18.69697675,19.44152934,18.19110774,17.24060617,17.63039427,17.74086617,16.86692209,16.06104891,19.13392633,19.44738234,19.57833033,19.0635931,18.98411059,17.893366,18.30781403,17.04182236,16.61029108,15.62504347,14.54136175,9.748945173,8.232743558,7.470962166,7.712571916,8.040250855,8.007971764,7.077386786,6.674754086,5.883030553,5.53758639,5.308697711,4.638699107,4.304107964,4.851492448,4.184305244,4.00822798,4.024421334,4.283256405,3.371862836,3.526911278,
Iceland,,,,,,,,,,,,,12.34989811,12.82483712,11.30117348,11.1047503,12.99403997,13.65379128,13.38473584,12.74153365,12.0596792,9.89176543,9.802148001,10.27456371,11.89524653,12.48703756,12.41384305,12.10780925,11.41100651,11.74921734,12.26113464,11.89230363,11.83635076,11.11702893,11.55240087,11.37827124,10.29990196,10.27222771,9.757796028,9.05351546,9.291595726,9.3973452,7.941069537,6.835339278,6.310787592,6.380431931,5.694911984,6.292736277,7.19766981,,
India,41.77398404,39.88881143,41.0757986,42.95914159,40.91358482,41.81414474,44.5262137,43.52205815,43.28512516,41.95455541,40.28153147,40.27730403,43.30958708,40.30985229,37.61799643,35.75332429,37.09043864,35.4678526,33.62536133,35.3894299,34.06881066,32.87934847,33.54486189,32.21044372,30.8926277,29.73840589,29.18244932,30.19922351,28.97086027,29.02334372,29.38953424,28.73565895,28.67698109,28.27200389,26.25641336,27.1274311,25.88701704,25.7909895,24.64727832,23.12309768,23.00177534,20.74587449,20.77124924,19.02853274,18.81054227,18.28822475,18.25627018,17.7843327,17.71924252,17.74227891,17.21639637
Indonesia,45.76612903,56.28104783,55.13880288,52.77630096,55.99120621,50.80905551,51.41096979,48.6083745,46.96003777,44.94242101,42.72434465,38.3629095,38.24901082,31.12686401,30.17749216,29.65284961,29.57554087,28.09998861,27.29387661,23.97190952,23.36288294,23.94467361,22.88592986,22.71755877,23.20694946,24.22026645,23.33017392,22.48330201,21.65809706,19.41040263,18.2566921,18.67809847,17.87982746,17.28626174,17.13835388,16.67238699,16.09212141,18.08286038,19.61266996,15.60197123,15.29026521,15.45645173,15.18534852,14.33577983,13.12661836,12.97380272,13.7166831,14.48174026,15.2909436,15.30612418,16.87744808
Iran,,,,,27.49121388,26.17617015,24.86736203,23.99935712,22.12202373,19.9911087,19.51795283,18.45834669,14.98575758,10.15980558,10.0092548,9.852014455,8.75940036,11.42551149,12.50036611,16.47578273,19.98357156,18.72909441,16.84435492,18.80633137,19.44386566,23.09539057,24.53608424,23.17144622,23.49608727,19.10222093,18.53608597,18.65598378,15.31186538,15.54325359,18.37269451,15.6114971,14.79329344,17.27458606,15.06054264,13.72451564,12.82507212,12.03584186,11.97238428,11.22681015,10.18908055,10.36458415,10.21669258,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.846694844,11.42364026,7.547154927,5.362924958,8.054695623,8.996950926,8.572217787,,,,,,,,
Ireland,,,,,,,,,,16.342076,15.81203449,17.55448801,17.77845423,14.9080648,17.03110186,17.0487674,18.24641351,17.04778144,14.08658508,11.44049288,11.09147492,11.52339448,11.85425899,12.26422325,10.54297132,9.61172513,10.54345412,10.80858167,10.43913837,8.798753684,8.094238894,8.601610728,8.10599396,7.776621749,7.00135656,6.333118051,5.134705095,4.46679726,3.615165304,3.131251635,2.76085127,2.323336392,2.192292773,2.143818901,1.582319713,1.295114514,1.426170897,1.300041615,0.980503764,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,8.751435763,8.342954212,7.602185646,8.085232914,7.233817829,7.476171644,7.008133833,6.744084498,6.641074905,6.33657979,6.019830404,5.617465606,5.384046033,5.471357221,4.968386141,4.668922839,4.47985795,4.297736512,3.880939784,3.771589594,3.491312214,3.57715062,3.440025805,3.305643274,3.290125668,3.292789738,3.27863099,3.181841821,3.071523898,2.999814598,2.778708808,2.657158805,2.551685936,2.518780739,2.5100145,2.188977443,2.106755124,2.046093966,2.011788495,1.891429181,1.894669911,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.026135629,8.754833713,9.023200879,8.385567352,7.929728246,8.068464026,7.546452267,7.039907281,6.946457404,6.264331744,5.954913499,5.718663646,5.991646902,5.758902681,5.31713658,5.387437643,6.184878163,6.286820482,5.870917783
Japan,,,,,,,,,,5.125395246,4.431803672,4.571887074,4.96450119,4.67322731,4.582215067,4.448341098,4.230690941,3.855961038,3.628473146,3.081120531,2.946445526,2.860105008,2.834896741,2.794157193,2.668702474,2.508354229,2.379055843,2.226659495,2.154811754,2.091776893,1.959216885,1.874295071,1.715884085,1.779056477,1.605626065,1.632902262,1.509574557,1.599210932,1.583201343,1.502915658,1.44258103,1.458508014,1.384225524,1.316515033,1.216689303,1.181368596,1.146307523,1.14294343,1.159490533,1.158797657,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,15.43555782,11.01774043,16.92894611,10.57220708,13.60662887,11.64221486,13.34519573,13.29501916,8.778089888,16.46043165,7.901622187,8.818011257,9.051724138,11.30549838,6.973310619,7.894236256,6.08051333,6.067150992,6.826660035,5.520915996,5.520336606,6.277460457,7.337593184,6.909483201,6.626848692,8.079156808,8.520913155,7.894083582,5.975246684,5.2261214,4.323055538,3.826867314,3.332510924,3.065368669,2.382291684,2.345836007,2.272840343,2.546152034,2.83011978,2.808625123,3.080631812,2.946032318,2.842237843,2.696642934,3.052131507,3.416266213,3.326081951
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.70777989,17.50765625,15.45252279,12.89298086,12.7881388,11.95654068,9.110731112,10.47616455,8.687818554,9.372502038,8.616010247,8.434682439,7.579146721,6.787898416,5.879093585,6.09658892,5.716511381,6.443248242,4.826025783,5.261493922
Kenya,36.81541183,40.59767788,41.54437479,39.80007177,35.28155468,37.87619875,36.50970115,34.59922843,33.78540088,33.29286623,31.37739887,35.19446864,35.46295757,35.36322965,34.15437003,37.90314138,41.95099653,36.92241142,34.59571119,32.59223737,32.49981199,33.36459631,34.21953403,33.97064135,32.59379147,33.04248714,31.54722807,29.89012658,30.1853349,29.5185789,28.14057919,28.73904781,31.52343009,33.32094939,31.13312868,30.7391782,30.9053427,31.23148551,32.38384385,32.36397421,31.33007599,29.13061411,29.0290549,28.04234626,27.19868287,26.75702888,25.01120041,25.83325443,27.17659542,25.17906763,23.13197823
Kiribati,,,,,,,,,,,,,,,,,,19.62365591,18.50244617,20.74352298,26.93750247,26.21501706,26.48339856,44.34960737,35.37646049,26.75795986,27.89032908,33.73497491,28.08364544,18.60236543,28.33042269,30.75685315,30.34755375,30.24335994,29.53413426,27.36994431,25.57773718,25.49670205,25.63388084,22.49248699,22.58380654,24.43065963,26.08309684,27.33698214,25.58607539,26.00525776,27.25994233,27.64240418,28.61821618,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,39.35964409,36.5282584,32.36792334,30.68471549,29.95047216,29.25202477,29.60242695,28.74472169,26.74208952,26.6302286,27.13260471,25.74170282,24.38954708,22.40377879,20.93435358,16.16748237,16.97885797,15.94804974,14.5859909,13.68418217,13.54074468,11.99316017,10.76119448,10.72003983,9.937105929,8.942880499,7.943034585,7.730699456,6.930529055,6.736835032,6.348838639,5.957157888,5.448353807,5.096545377,5.248547729,4.630806148,4.362570192,3.980101763,3.709556748,3.731437846,3.332032461,3.16088575,2.881724005,2.684171154,2.775761444,2.556139865,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12
Kuwait,,,,,0.4005340454,0.4683840749,0.5733944954,0.5257623554,0.5055611729,0.282568441,0.2315820052,0.2595628415,0.2929991954,0.154733808,0.252365926,0.2682501259,0.1900624446,0.2345050753,0.1725196692,0.1808551822,0.3435540574,0.4587673008,0.3004878755,0.4294450931,0.6105483182,0.769391946,0.4668451563,0.4832675227,0.6411961327,0.6161441061,0.2779730391,0.2557281345,0.2932105104,0.4214092287,0.419028839,0.3945149747,0.3942866453,0.4464342137,0.4275228698,0.3552290406,0.4457527334,0.516824849,0.4612041775,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.83183183,33.60655738,33.53643909,36.97773245,39.04802199,41.00977262,40.88144549,43.90206406,49.74640259,44.61260364,39.53307842,37.6788422,36.74896846,37.29128665,37.68295945,37.06427879,33.27358723,31.94579994,32.76990224,31.07579524,27.03691275,21.08163228,20.72166659,19.82200097
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.55222067,61.2282566,58.23068705,61.8095185,57.54010593,57.57631638,55.67544165,53.34752249,52.80481927,53.30301757,53.71351225,45.16643428,43.95812359,42.69267344,41.03005854,39.02911562,36.18082162,35.26320765,36.06026429,34.86810947,35.0416864,32.74641392,30.80275908
Latvia,,,,,,,,,,,,,,,,,,,,11.84834123,13.79310345,15.73878318,18.63498719,20.80071572,21.62908422,20.27629234,18.02197802,21.71643349,19.93544712,21.89732514,23.14545389,17.6106767,11.77546964,9.466193863,9.075096752,7.422650637,5.114396887,3.996207768,3.937173879,4.604133844,4.504274595,4.602308863,4.129122561,4.420594416,3.965427056,3.507630367,3.580362536,3.04583012,3.295015211,4.137770783,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.108425503,7.597525238,6.891110654,7.484464902,6.910622043,7.165218925,7.110312801,6.682659356,6.666938509,6.580041992,6.368378915,6.247451033,7.169589022,7.119005151,6.938325991,5.893801662,6.389376196,6.241861568
Lesotho,94.21763636,94.84623022,89.65142038,88.38475802,83.10224599,57.92902842,48.56426115,48.88578556,45.76456011,47.9102027,30.38839563,46.92874737,56.90248087,45.62580339,41.45671047,34.60752673,43.72284014,37.90440539,38.83404548,24.61089817,26.81044962,22.3734208,24.38262316,24.83471061,22.75167248,22.64867498,25.84016724,27.4212559,25.11531186,24.94687068,18.02850259,18.952151,19.4700043,18.69874435,19.04153319,19.07528661,17.99743958,18.07936632,18.49381105,12.3352634,13.1857827,10.34029809,10.22463615,9.615511285,9.011156914,7.885576547,7.662720872,8.014980664,7.739472995,8.625456536,7.761670654
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.204908544,4.335741028,2.991959356,2.339328254,1.986005185,2.082672812,1.865156382,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.08018154,16.72301691,14.31887796,14.9516205,11.08281905,10.92710416,12.02282209,10.70960911,8.671555857,7.206686386,6.349457413,5.532900198,5.424610378,4.997775655,4.658943558,4.81515504,4.300785246,3.940478062,3.717042809,3.360269469,3.50621021,
Luxembourg,,,,,,,,,,2.874459877,2.858603955,3.029603196,2.933522281,2.256895502,2.551892304,2.077227673,2.224711051,2.318007064,2.202827882,1.965040322,2.073674363,2.565057076,2.154483804,2.016044487,2.048072826,1.88842496,1.749353978,1.630975329,1.597468264,1.422533884,1.045901212,1.097794527,1.054298902,0.982047489,1.028146046,0.9125284293,0.8284336305,0.8801611923,0.8055061619,0.6843870073,0.6733093277,0.6665985832,0.6089871876,0.5851367905,0.4450863209,0.3867282204,0.3990274261,0.3377166431,0.2836774537,0.2934805203,0.3034494148
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.511907421,13.63873213,17.06034555,11.82088202,13.26364719,13.2125954,13.24514152,12.7756773,13.24111032,12.89501233,12.04489599,11.75895098,12.36596879,12.91342295,12.76379689,12.32481746,12.13445086,10.56182571,11.56563907,11.18899978,11.27022469,11.12495105
Madagascar,,,,,,25.01687948,25.15580855,24.28238833,23.92077377,24.4302794,24.30771479,24.99351595,26.77856578,34.22234966,34.04305551,33.31761545,32.79653783,32.22944414,29.76746822,30.05120859,33.07584521,34.22740195,35.78422677,35.29011342,35.14432993,36.7881207,36.17469659,33.4861221,32.93550002,28.57762837,29.67744331,29.10189471,28.70655944,23.8141109,26.68614373,27.19903115,31.54900669,30.57605585,30.02559888,29.20998685,27.89273834,31.67835872,29.20142869,28.7998927,28.29332681,27.48351862,25.68786084,24.80647001,29.11048411,,
Malawi,50.29045643,50.3164557,50.9491268,49.77678571,49.9364676,47.31301939,46.4362851,44.66219701,44.27407762,43.97163121,44.33026223,45.63138806,41.5786385,41.17239788,37.23468769,39.20110452,41.78973339,39.71717343,55.20397503,43.73324224,39.82519037,41.05597334,42.2974667,42.04303338,42.89850597,43.12020997,49.02506784,50.02371452,47.69029428,45.00001516,43.72187604,38.81648458,48.90420111,25.07651195,30.39802867,34.69009898,32.58981621,35.58186035,37.84101417,39.53955418,38.78214101,36.73926541,35.73722875,34.63306716,32.63406398,31.16984805,30.30488491,30.11037881,30.52667918,,
Malaysia,35.62508181,33.80784784,32.55103811,30.68801807,28.75482136,29.22405834,28.65992851,28.46002649,29.97751792,29.43784029,26.72607058,26.57079887,27.20505064,30.52147761,28.87971287,27.64213269,26.52691642,25.91431144,24.42738587,22.61264453,21.42812785,21.12125466,20.00177675,19.97937856,19.91629497,19.82106462,19.96053574,20.07145052,18.08178143,15.21653273,14.35580948,14.57241185,13.78743556,13.66110679,12.94949547,11.68038834,11.10168758,13.31224426,10.84238819,8.599021888,8.010970591,8.985081404,9.306085216,9.271002093,8.393974895,8.779978976,10.11542733,10.18368734,9.51910026,10.62706161,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46382002,10.73674271,9.851297502,9.54817464,9.195231491,8.760953161,9.519529584,10.12469969,9.583788983,8.927841005,9.944876824,8.776891544,4.339465721,3.770732709,3.764191746,3.14233281,
Mali,,,,,,,69.06075999,64.95682885,64.45978363,66.02326945,65.40418373,61.79271622,57.45007503,51.22670259,63.27756868,61.22686285,61.25712027,58.186503,61.42391114,48.31213763,45.69767522,44.08833787,41.44263899,44.16019015,40.29497986,42.4444383,45.19127572,44.98480005,47.7986407,45.51645641,45.1203679,46.14419707,44.45405055,46.44539665,49.53778194,51.84897817,44.5004988,46.46933791,46.51347091,41.56936179,37.79660066,35.03253796,38.79123094,36.36816387,36.57742402,36.91370176,36.54104686,,,,
Malta,,,,,,,,,,7.17880386,7.272574838,7.617195191,7.442646687,7.134537571,6.056452715,6.0600782,5.787665771,4.404067105,3.759212599,3.659566753,3.750189666,3.877268174,4.311026241,4.454057572,4.35152048,4.387319685,4.31194393,3.905769825,3.759993896,3.466784741,3.299991863,3.049869538,3.008192909,2.802076325,2.864315874,2.940964723,2.824916864,2.869168487,2.684812867,2.346099291,2.764588543,2.778892188,2.888263686,2.725880551,2.634428004,2.677284273,2.387441634,1.831565525,2.048431761,1.918756675,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,43.36775445,43.01870933,43.84029862,34.95492508,32.20351586,31.7260612,32.16508355,31.47843902,27.81287449,29.27266655,28.03079624,27.86525112,38.59167441,35.61809993,29.59454245,28.47888862,29.2300156,30.83085734,28.44708172,30.38384769,31.88270572,33.11553685,33.79657104,28.57487308,22.51692409,26.63100453,32.31236107,32.69341233,31.91295836,29.61771695,37.51582317,37.46795156,38.0004307,36.94554456,37.42555442,36.23662907,33.378742,33.60203649,36.07324288,36.6765304,35.78586065,35.13362996,37.06887975,35.52540458,30.51723945,22.93542254,25.57429647,18.88178609,20.16304507,17.14623689,16.26127771
Mauritius,,,,,,,,,,,,,,,,23.90970354,20.87313263,18.87957733,19.86964135,13.13248422,15.22543522,16.21100978,14.65499987,15.29498419,16.23853653,16.19922277,15.35002486,13.85486612,13.08411817,12.85051624,11.70207518,11.62642012,10.64608244,9.937810565,10.37815282,10.18870875,9.426325417,9.257111144,6.098653426,6.965765276,7.31351658,6.288286798,6.281948603,6.449006474,6.037072189,5.565796773,4.480466392,4.089391678,3.899591639,3.645972436,3.521567375
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,13.74193375,12.59673315,12.28835938,11.45043415,10.9484122,12.73343415,12.61159475,11.5212545,12.14554706,12.03830462,11.81404082,11.21007044,11.16101531,10.91314932,9.848518191,8.995623433,8.964725772,8.142580827,8.450746696,9.392467013,10.07199469,10.30092129,9.678874801,7.899508337,7.753825485,7.847876909,7.524527922,6.683986175,6.293906593,5.969042529,5.665699065,6.261904063,5.698636836,5.266972276,4.737478658,4.168293097,4.153427911,3.944896448,3.98939796,3.854046366,3.72232432,3.666523289,3.642019206,3.648037988,3.950308303,3.91112412,3.733993644
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,44.54365079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.49641345,36.13818996,42.73504274,50.93273036,32.53618752,29.21449793,33.02171015,31.39659271,30.20600975,31.76186036,27.87354754,29.0293824,25.96192571,24.08240094,21.51933201,20.47193218,19.53082382,17.3782666,12.0098031,10.70820139,10.10450904,14.32840805,13.46283301
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
