Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
34243,shot by the police,authorities related death,Del grande,2009-07-30T00:00:00Z,3Q2009,2009 -- 7,2009,1,0,1,"Egyptian police opened fire on a group of migrants at the border with Israel. A dead. It is the seventh victim since last May (Jul 31, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jul 30, 2009",,Reuters,http://fortresseurope.blogspot.com/2009/08/egypt-police-kill-african-migrant-at.html
34246,drowned,drowning or exhaustion related death,United,2009-07-26T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"reportedly drowned, parts of a body found along la Fontanilla beach of Marbella Island (E) (Jul 26, 2009). From Del Grande's data set (translated): Found human remains in an advanced state of decomposition along the beach of La Fontanilla Marbella, where a week before had been recovered a corpse (Jul 27, 2009)",marbella,36.510071,-4.882447,"36.510071, -4.882447",2,"Event at Marbella on Jul 26, 2009",Western Mediteranean route,FE/SUR,http://www.diariosur.es/20090727/marbella/hallan-restos-humanos-playa-20090727.html
34245,police violence,authorities related death,United,2009-07-26T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"murdered, beaten by border guards in his attempt to embark to reach I, died in GR hospital (Jul 26, 2009)",greece,39.074208,21.824312,"39.074208, 21.824312",20,"Event at Greece on Jul 26, 2009",,AFP,
34244,police violence,authorities related death,Del grande,2009-07-26T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Beaten by the police in the Greek port of Igoumenitsa, while trying to get on a truck ready to embark for Italy, a young Kurdish died at the hospital in Thessaloniki after four months in a coma (Jul 27, 2009)",igoumenitsa,39.50615,20.265534,"39.50615, 20.265534",7,"Event at Igoumenitsa on Jul 26, 2009",,Reuters,http://fortresseurope.blogspot.com/2006/01/pestato-sangue-dalla-polizia-greca-come.html
34247,heart failure,drowning or exhaustion related death,United,2009-07-24T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"died of heart attack in Tenerife (E), employer did not call for assistance as Luis was illegal (Jul 24, 2009)",tenerife,28.291564,-16.62913,"28.291564, -16.62913",1120,"Event at Tenerife on Jul 24, 2009",Western African route,Can7/VDG/ElDia/Publico,
34248,unknown,unknown - supposedly exhaustion related death,Del grande,2009-07-23T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Missing a man fell into the sea during a rescue operation off the coast of Manilva, Malaga (Jul 24, 2009)",malaga,36.721261,-4.421266,"36.721261, -4.421266",17,"Event at Malaga on Jul 23, 2009",Western Mediteranean route,Sur,http://www.diariosur.es/20090724/malaga/buscan-naufrago-patera-20090724.html
34249,car accident,"violent accidental death (transport, blown in minefield...)",Del grande,2009-07-22T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,3,"Traffic accident with a truck load of emigrants to Kulp, in the province of Diyarbakr. Three people die, 18 injured (Jul 23, 2009)",Diyarbakr,37.91441,40.230629,"37.91441, 40.230629",3,"Event at Diyarbakr on Jul 22, 2009",,France Presse,http://www.hurriyetdailynews.com/n.php?n=three-immigrants-killed-in-road-accident-2009-07-23
34250,unknown,unknown - supposedly exhaustion related death,Del grande,2009-07-21T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Found on the beach of La Fontanilla Marbella a corpse in an advanced state of decomposition (Jul 22, 2009)",marbella,36.510071,-4.882447,"36.510071, -4.882447",2,"Event at Marbella on Jul 21, 2009",Western Mediteranean route,Sur,http://www.diariosur.es/20090722/marbella/aparece-playa-cadaver-decapitado-20090722.html
34251,unknown,unknown - supposedly exhaustion related death,Del grande,2009-07-16T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Found a dead body in the waters of Cadiz, in front of the beach of Barbate. It would be the tenth victim of the sinking of the past June 29 (Jul 17, 2009)",barbate,36.19002,-5.92248,"36.19002, -5.92248",74,"Event at Barbate on Jul 16, 2009",Western Mediteranean route,Sur,http://www.diariosur.es/20090717/andalucia/aparece-cadaver-mujer-seria-20090717.html
34252,died from dehydration,drowning or exhaustion related death,Del grande,2009-07-14T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"Landing Canarian island of El Hierro. A dead man on board, a second man dies of dehydration after hospitalization (Jul 15, 2009)",hierro,27.725499,-18.024301,"27.725499, -18.024301",41,"Event at Hierro on Jul 14, 2009",Western African route,Diario de Navarra,http://www.diariodenavarra.es/20090714/nacional/mueren-dos-inmigrantes-llegaron-cayuco-hierro.html?not=2009071401405957&idnot=2009071401405957&dia=20090714&seccion=nacional&seccion2=sucesos&chnl=30%E2%80%9D%3E15/07/09%3C/a%3E%3C/td%3E%3Ctd%3E%3Cp
34253,unknown,unknown - supposedly exhaustion related death,United,2009-07-13T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"died at the hospital of El Hierro, Canary Islands (E),  after boat arrived in La Estaca harbour (Jul 13, 2009). From Del Grande's data set (translated): He died at the hospital in El Hierro third passenger boat arrived last Sunday in the Canary Islands (Jul 15, 2009)",hierro,27.725499,-18.024301,"27.725499, -18.024301",41,"Event at Hierro on Jul 13, 2009",Western African route,Verdad/Diario de Navarra,http://www.diariodenavarra.es/20090714/nacional/muere-hospital-otro-inmigrantes-llego-domingo-cayuco-hierro.html?not=2009071413060109&idnot=2009071413060109&dia=20090714&seccion=nacional&seccion2=sucesos&chnl=30
34254,murdered,malicious intent related death / manslaughter,United,2009-07-13T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"manslaughter, beaten by neonazis whilst returning to Möhlau asylum centre (D) at night (Jul 13, 2009)","mühlau, germany",50.900875,12.765471,"50.900875, 12.765471",1,"Event at MüHlau, Germany on Jul 13, 2009",,taz,
34255,suicide - other,suicide,United,2009-07-04T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,1,"suicide in the detention centre of Ponte Gallera, in Roma (I) (Jul 4, 2009)",roma,41.892916,12.48252,"41.892916, 12.48252",2,"Event at Roma on Jul 04, 2009",,IlMess/IRR,
34256,shot by the police,authorities related death,Del grande,2009-07-02T00:00:00Z,3Q2009,2009 -- 7,2009,0,0,2,"Egyptian police opened fire on a group of migrants at the border with Israel. Killed two Somalis (Jul 3, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jul 02, 2009",,Reuters,http://fortresseurope.blogspot.com/2009/08/egypt-police-kill-two-somalis-at-israel.html
34257,unknown,unknown - supposedly exhaustion related death,United,2009-06-30T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"stabbed in fight between migrants attempting to get aboard the lorry to UK in Calais (F)  (Jun 30, 2009)",calais,50.95129,1.858686,"50.95129, 1.858686",28,"Event at Calais on Jun 30, 2009",,Telegraph/Mail Online/Evening Standard/PICUM/Congoo/Haaba,
34258,drowned,drowning or exhaustion related death,United,2009-06-28T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,9,"drowned, wooden boat collided with rocks off Barbate (E), traffickers imprisoned for murder (Jun 28, 2009). From Del Grande's data set (translated): Spills on the rocks in front of the beaches of Barbate, near Cadiz, a boat load of emigrants. Found the lifeless bodies of 8 people drowned, including two women (Jun 30, 2009)",barbate,36.19002,-5.92248,"36.19002, -5.92248",74,"Event at Barbate on Jun 28, 2009",Western Mediteranean route,PICUM/SUR/Publico/EP/ELM/Verdad/DiarioVasco/MNS/NOB/AdnE,http://www.elmundo.es/elmundo/2009/06/29/andalucia/1246262310.html
34259,unknown,unknown - supposedly exhaustion related death,Del grande,2009-06-27T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"Egyptian police opened fire on a group of migrants at the border with Israel. A murdered. Wounded in the back a 15 year old boy (Jun 28, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jun 27, 2009",,Reuters,http://af.reuters.com/article/eritreaNews/idAFLS33140420090628
34260,unknown,unknown - supposedly exhaustion related death,Del grande,2009-06-23T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"Egyptian police shooting at a group of migrants at the border with Israel in the wilderness of Sinai. He died in his twenties. It is the third victim of 2009 (Jun 24, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jun 23, 2009",,Reuters,http://af.reuters.com/article/eritreaNews/idAFLO9248220090624
34261,car accident,"violent accidental death (transport, blown in minefield...)",United,2009-06-22T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"stowaway,fell from the truck he was hidden, died in hospital 3h later in Ancona (I) (Jun 22, 2009). From Del Grande's data set (translated): Amir Rohol, nineteen year-old Afghan, died after falling from a truck unloaded in the port of Ancona and headed north along the junction between the 76 Freeway and the A14 (Jun 23, 2009)",ancona,43.61583,13.518915,"43.61583, 13.518915",16,"Event at Ancona on Jun 22, 2009",,PICUM/LR/MP/NOB,http://www.aduc.it/dyn/immigrazione/noti.php?id=263715
34262,suicide - hanged,suicide,United,2009-06-18T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"suicide in a cell in Barcelona (E) hanging himself with his own shirt, arrested because illegal  (Jun 18, 2009)",barcelona,41.385064,2.173403,"41.385064, 2.173403",4,"Event at Barcelona on Jun 18, 2009",Western Mediteranean route,EP/AVUI/MUGAK,
34264,drowned,drowning or exhaustion related death,United,2009-06-16T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,2,"1drowned, 1missing after shipwreck due to storm waters 30 miles south Cartagena (E) (Jun 16, 2009)",Cartagena,37.625683,-0.996584,"37.625683, -0.996584",8,"Event at Cartagena on Jun 16, 2009",Western Mediteranean route,LV/Verdad/PICUM/NOB,
34263,unknown,unknown - supposedly exhaustion related death,Del grande,2009-06-16T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,2,"Norwegian tanker rescued a small boat with 10 passengers off the coast of Murcia. One dead and one missing (Jun 17, 2009)",murcia,37.992331,-1.130458,"37.992331, -1.130458",14,"Event at Murcia on Jun 16, 2009",Western Mediteranean route,Ansa,http://www.unita.it/newsansa/37689/spagna_un_immigrato_morto_dopo_soccorsi
54537,drowned,drowning or exhaustion related death,,2009-06-12T05:00:00Z,2Q2009,2009 -- 6,2009,1,0,1,"A man died because he wanted to take a shower. As there was no shower in Calais, migrants washed in a canal. One of them slipped and died.","Calais, France",50.95129,1.858686,"50.95129, 1.858686",28,"A man died while washing in Calais, on June 13, 2009",,Libération,http://lille.blogs.liberation.fr/saberan/2009/06/interviewcelinedallery.html
34265,drowned,drowning or exhaustion related death,United,2009-06-10T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,6,"drowned, 5 died, 1 missing, overloaded boat sank off the coast of Bodrum (TR) (Jun 10, 2009)",Bodrum,37.035339,27.43029,"37.035339, 27.43029",57,"Event at Bodrum on Jun 10, 2009",Eastern Mediteranean route Sea,FE/Ansa/Le Monde/NOB,
34266,suicide - jumped in water,suicide,United,2009-06-10T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"suicide, jumped in Bilbao s river (E) escaping from policemen who took him for a thief (Jun 10, 2009)",bilbao,43.263013,-2.934985,"43.263013, -2.934985",1,"Event at Bilbao on Jun 10, 2009",,EP,
34267,drowned,drowning or exhaustion related death,United,2009-06-09T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,7,"drowned, 4 died, 3 missing, trying to swim from a dinghy to the coast of Gela (I)  (Jun 9, 2009)",gela,37.074153,14.240354,"37.074153, 14.240354",59,"Event at Gela on Jun 09, 2009",Central Mediteranean route,Picum/EveryOne Group/NOB,
34268,lack of medical care,drowning or exhaustion related death,United,2009-06-09T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"medical neglect, died in Busmantsi detention centre (BG) where he had been held for 3 years (Jun 9, 2009)",busmantsi,42.675931,23.433222,"42.675931, 23.433222",2,"Event at Busmantsi on Jun 09, 2009",Eastern Mediteranean route Land,IRR,http://www.ipsnews.net/2009/10/bulgaria-migrants-denied-even-medicine/
34269,suicide - jumped in water,suicide,United,2009-06-07T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"suicide, threw herself in the Brembo River in Bergamo (I) in fear of deportation (Jun 7, 2009)",bergamo,45.698264,9.67727,"45.698264, 9.67727",1,"Event at Bergamo on Jun 07, 2009",,LR/IRR,
34270,drowned,drowning or exhaustion related death,Del grande,2009-06-03T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,18,"18 km boat capsizes off the coast of Tarifa (Cdiz). Rescued 22 passengers. At least 18 missing in sea (Jun 4, 2009)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Jun 03, 2009",Western Mediteranean route,El Pais,http://www.elpais.com/articulo/espana/Desaparecidos/ocupantes/patera/cerca/Tarifa/elpepuesp/20090604elpepunac_1/Tes
34272,bled to death due to barbed wire,other,United,2009-06-02T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"tangled in razor wire trying to jump a border fence from Morocco to Ceuta (E) (Jun 2, 2009)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",213,"Event at Ceuta on Jun 02, 2009",Western Mediteranean route,REU/NOB,
34271,unknown,unknown - supposedly exhaustion related death,Del grande,2009-06-02T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"Sighted by a merchant ship off the coast of Cabo de Gata, Andalucia, the corpse of a man abandoned by days at sea (Jun 3, 2009)",gata,38.77474,0.08519,"38.77474, 0.08519",52,"Event at Gata on Jun 02, 2009",Western Mediteranean route,La Verdad de Murcia,http://www.laverdad.es/murcia/20090604/espana/encuentran-cadaver-subsahariano-aguas-20090604.html
34273,shot by the police,authorities related death,Del grande,2009-06-01T00:00:00Z,2Q2009,2009 -- 6,2009,0,0,1,"The Egyptian border police opened fire on a group of migrants along the Sinai border with Israel. One dead and one seriously injured (Jun 2, 2009)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Jun 01, 2009",,Reuters,http://af.reuters.com/article/eritreaNews/idAFL2100269020090602
34274,suicide - other,suicide,United,2009-05-26T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"suicide after 67 days in detention centre in Gavle (S) in fear of being deported (May 26, 2009)","gavle, sweden",60.67488,17.141273,"60.67488, 17.141273",1,"Event at Gavle, Sweden on May 26, 2009",,IRR/UPP/NewsD,
34275,drowned,drowning or exhaustion related death,Del grande,2009-05-21T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"Found the lifeless body of an immigrant drowned off the island of Man, on the southeastern coast of Sardinia (May 22, 2009)",sardinia,40.120875,9.012893,"40.120875, 9.012893",81,"Event at Sardinia on May 21, 2009",Central Mediteranean route,Ansa,http://www.ansa.it/
34276,suicide - other,suicide,United,2009-05-18T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"reported suicide using tshirt but guards reportedly beat him in Barcelona detention centre(E) (May 18, 2009)",barcelona,41.385064,2.173403,"41.385064, 2.173403",4,"Event at Barcelona on May 18, 2009",Western Mediteranean route,SetDirecta/FAIV,
34277,car accident,"violent accidental death (transport, blown in minefield...)",United,2009-05-18T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"road accident, tried to jump onto moving truck on motorway in Teteghem (F) towards B (May 18, 2009)","Teteghem, france",51.01792,2.440483,"51.01792, 2.440483",1,"Event at Teteghem, France on May 18, 2009",,VoixDuNord,
34278,murdered,malicious intent related death / manslaughter,United,2009-05-03T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"stabbed after a brawl in Villemin square, Paris (F), where he lived as asylum seeker (May 3, 2009)",paris,48.856614,2.352222,"48.856614, 2.352222",30,"Event at Paris on May 03, 2009",,Reu/Ya.F/MSF/MRAP/CSE10/AFP,
34279,illness,drowning or exhaustion related death,Del grande,2009-05-01T00:00:00Z,2Q2009,2009 -- 5,2009,0,0,1,"He died at the hospital in Caltanissetta, suffering from meningitis, one of the castaways rescued two weeks ago by the merchant turkish Pinar (May 2, 2009)",Caltanissetta,37.490112,14.062893,"37.490112, 14.062893",3,"Event at Caltanissetta on May 01, 2009",Central Mediteranean route,Ansa,http://www.rainews24.it/Notizia.asp?NewsId=116976
34280,unknown,unknown - supposedly exhaustion related death,United,2009-04-29T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,1,"died in the hospital in Tarifa (E) after Spanish authorities blocked a boat from Tanger (MA)  (Apr 29, 2009). From Del Grande's data set (translated): One of the passengers of a boat intercepted the day before to 14 miles from Tarifa (Cdiz) died in the hospital on Isla de las Palomas (Apr 30, 2009)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Apr 29, 2009",Western Mediteranean route,EFE/NOB,http://www.elmundo.es/papel/2009/05/01/espana/2638476.html
34283,drowned,drowning or exhaustion related death,United,2009-04-22T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,20,"missing after shipwreck, 250 km east of Aden (Yemen), coming from Somalia, 165 survivors (Apr 22, 2009)",aden,12.8,45.033333,"12.8, 45.033333",55,"Event at Aden on Apr 22, 2009",,MUGAK/Can7/EFE/UNHCR/LR/GARA,
34282,drowned,drowning or exhaustion related death,United,2009-04-22T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,35,"drowned, bodies found after shipwreck 250 km east of Aden (Yemen) on way from Somalia (Apr 22, 2009)",aden,12.8,45.033333,"12.8, 45.033333",55,"Event at Aden on Apr 22, 2009",,MUGAK/Can7/EFE/UNHCR/LR/GARA,
34284,frozen,drowning or exhaustion related death,United,2009-04-22T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,2,"reportedly died of hypothermia, found by Spanish authorities in the Strait of Gibraltar (E) (Apr 22, 2009)",gibraltar,36.140751,-5.353585,"36.140751, -5.353585",107,"Event at Gibraltar on Apr 22, 2009",Western Mediteranean route,MUGAK/EFE/Diario de Navarra/PICUM/EHAR/NOB,
34281,unknown,unknown - supposedly exhaustion related death,Del grande,2009-04-22T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,2,"Fished by the Spanish coastguard two dead bodies from the waters of the Strait of Gibraltar (Apr 23, 2009)",gibraltar,36.140751,-5.353585,"36.140751, -5.353585",107,"Event at Gibraltar on Apr 22, 2009",Western Mediteranean route,Diario de Navarra,http://www.diariodenavarra.es/20090424/nacional/encontrados-estrecho-cuerpos-dos-inmigrantes.html?not=2009042402575945&idnot=2009042402575945&dia=20090424&seccion=nacional&seccion2=sucesos&chnl=30
34285,drowned,drowning or exhaustion related death,United,2009-04-17T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,1,"body found by Mauritanian guards on a boat near Nuadibu on way to Canary Islands (E) (Apr 17, 2009). From Del Grande's data set (translated): Rescued 27 miles from Nouadibou game boat from Senegal and direct the archipelago of the Canary Islands. A drowned (Apr 20, 2009)",nuadibu,20.942518,-17.036227,"20.942518, -17.036227",83,"Event at Nuadibu on Apr 17, 2009",Western African route,MUGAK/EFE/ElDia/Diario de Navarra,http://www.eldia.es/2009-04-20/CANARIAS/1-inmigrante-muere-costas-mauritanas-cuando-viajaba-Archipielago.htm
34286,drowned,drowning or exhaustion related death,United,2009-04-15T00:00:00Z,2Q2009,2009 -- 4,2009,1,0,1,"died during rescue operation, boat waited 4 days before to be allowed to reach Italian coasts  (Apr 15, 2009). From Del Grande's data set (translated): Relief from merchant turkish Pinar 140 emigrants wrecked in the Channel of Sicily. Operations in a Nigerian girl dies drowned 18-year old pregnant (Apr 16, 2009)",sicily,37.599994,14.015356,"37.599994, 14.015356",363,"Event at Sicily on Apr 15, 2009",Central Mediteranean route,MUGAK/TimesM/Diario de Navarra/Verdad/LR/PUN/VDG/LR/SIR/Deia/Nouvel Obs/Tisc/IlMess/LS/CDS/MOP/AFP/Migreurop/NOB,http://www.repubblica.it/2009/04/sezioni/cronaca/immigrati-5/reportage-21apr/reportage-21apr.html
34287,unknown,unknown - supposedly exhaustion related death,Del grande,2009-04-07T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,3,"Relief from the fishing vessel Cesare Rustico Mazara, a boat full of migrants capsizes at sea. 3 missing, including a woman (Apr 8, 2009)",mazara,23.14632,58.825119,"23.14632, 58.825119",5,"Event at Mazara on Apr 07, 2009",,Ansa,http://www.lasiciliaweb.it/index.php?id=19875&template=lasiciliaweb
36504,unknown,unknown - supposedly exhaustion related death,,2009-04-07T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,1,"Afghan dies in fight in Parisian squat. Moved to Paris after the shut down of Sangatte (Apr 7, 2009)",paris,48.856614,2.352222,"48.856614, 2.352222",30,"Event at Paris on Apr 07, 2009",Western Mediteranean route,Le Monde,http://abonnes.lemonde.fr/les-articles-du-monde/090407.html
34288,unknown,unknown - supposedly exhaustion related death,United,2009-04-05T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,25,"missing after their boat sank 10 miles off Tarifa, Cadiz (E) on the way from Tanger (MA) (Apr 5, 2009)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Apr 05, 2009",Western Mediteranean route,ABC/MUGAK/EP/ELM/LV/EFE/Diario de Navarra /GARA/DNG/Verdad/ElDia/EPress/APDHA/ELC/MNS/NOB,
34289,fall,"violent accidental death (transport, blown in minefield...)",Del grande,2009-04-04T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,1,"Found a corpse in the Channel Tunnel. The man died falling off the wagon of the train in which he was hiding to reach England (Apr 5, 2009)",england,52.355518,-1.17432,"52.355518, -1.17432",6,"Event at England on Apr 04, 2009",,Le Monde,http://www.lemonde.fr/web/depeches/0
34290,unknown,unknown - supposedly exhaustion related death,Del grande,2009-04-02T00:00:00Z,2Q2009,2009 -- 4,2009,0,0,2,"Boat with 76 passengers intercepted 60 miles south of Lampedusa, on board 2 corpses (Apr 3, 2009)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Apr 02, 2009",Central Mediteranean route,Apcom,http://www.apcom.net/newscronaca/20090403_140600_4d41667_59520.shtml
34293,drowned,drowning or exhaustion related death,United,2009-03-28T00:00:00Z,1Q2009,2009 -- 3,2009,0,0,500,"missing after 3 boats sank due to stormy waters 30 km off LY on way from Tripoli (LY) to I  (Mar 28, 2009)",tripoli,32.876174,13.187507,"32.876174, 13.187507",1281,"Event at Tripoli on Mar 28, 2009",Central Mediteranean route,ABC/MUGAK/Deia/DiariodeNavarra/DNG/APDHA/Berria/LV/PerCat/AVU/DNA/DiarioVasco/Verdad/Raz/GARA/Can7/ELC/VDG/ELM/EP/Publico/DM/SP/AN/VK/CGIL/FE/LR/CDS/Unité/Euronews/ANSA/Migreurop/RF/FTCR/AEDH/NYtimes/IANS/UNHCR/GuardianUn./MNS/TW/Stuff/Mediapart/SBS/CF/Reu/Ya.N/Boston/PICUM/NOB,
34292,drowned,drowning or exhaustion related death,United,2009-03-28T00:00:00Z,1Q2009,2009 -- 3,2009,0,0,300,"drowned, 21 bodies found, 3 boats sank due to stormy waters 30 km off LY on way to I  (Mar 28, 2009). From Del Grande's data set (translated): Fishing boat overloaded with migrants sinks off Biilal Janzur Said, a suburb of Tripoli, where he started three hours earlier. 20 bodies recovered, 210 missing at sea. In the same hour boat with 350 passengers rescued from the Italian tugboat Ace 22 (Mar 29, 2009)",tripoli,32.876174,13.187507,"32.876174, 13.187507",1281,"Event at Tripoli on Mar 28, 2009",Central Mediteranean route,ABC/MUGAK/Deia/DiariodeNavarra/DNG/APDHA/Berria/LV/PerCat/AVU/DNA/DiarioVasco/Verdad/Raz/GARA/Can7/ELC/VDG/ELM/EP/Publico/DM/SP/AN/VK/CGIL/FE/LR/CDS/Unité/Euronews/ANSA/Migreurop/RF/FTCR/AEDH/NYtimes/IANS/UNHCR/GuardianUn./MNS/TW/Stuff/Mediapart/SBS/CF/Reu/Ya.N/Boston/PICUM/PANOR/AP/AFP/NOB/BBC,http://www.rainews24.it/Notizia.asp?NewsId=112841
34291,car accident,"violent accidental death (transport, blown in minefield...)",Del grande,2009-03-28T00:00:00Z,1Q2009,2009 -- 3,2009,0,0,1,"Iraqi hiding under a truck embarked on a greek ferry from Patras, dies crushed between the axles of the articulated (Mar 29, 2009)",patras,38.24664,21.734574,"38.24664, 21.734574",7,"Event at Patras on Mar 28, 2009",,Ansa,http://www.corriereadriatico.it/articolo.aspx?varget=C6D7C83123BAF5598766164BAC3D7082
34294,car accident,"violent accidental death (transport, blown in minefield...)",United,2009-03-28T00:00:00Z,1Q2009,2009 -- 3,2009,0,0,1,"stowaway, dead under a Bulgarian lorry he hang on to pass the border in Ancona harbour (I) (Mar 28, 2009)",ancona,43.61583,13.518915,"43.61583, 13.518915",16,"Event at Ancona on Mar 28, 2009",,CDS/NOB,
34295,unknown,unknown - supposedly exhaustion related death,Del grande,2009-03-25T00:00:00Z,1Q2009,2009 -- 3,2009,14,0,14,"14 Nigerians die in the Algerian desert during the crossing of the Sahara. The news has spread by the Ambassador of Nigeria to Algiers (Mar 26, 2009)",algiers,36.752887,3.042048,"36.752887, 3.042048",39,"Event at Algiers on Mar 25, 2009",Western Mediteranean route,Nigerian Tribune,http://www.tribune.com.ng/26032009/news/news7.html
34296,car accident,"violent accidental death (transport, blown in minefield...)",United,2009-03-25T00:00:00Z,1Q2009,2009 -- 3,2009,0,0,1,"asylum seeker was run over by a lorry in Venice harbor (I) reportedly trying to skip ID control (Mar 25, 2009). From Del Grande's data set (translated): Found dead in the port of Venice, migrants hidden in a trailer on the ferry Hellenic Master, who started from Greece, and was crushed by a bale of waste paper (Mar 26, 2009)",venice,45.440847,12.315515,"45.440847, 12.315515",13,"Event at Venice on Mar 25, 2009",,CDS/ANSA/AdnK/NOB,http://www.gazzettino.it/articolo.php?id=52225&sez=NORDEST
34297,unknown,unknown - supposedly exhaustion related death,United,2009-03-22T00:00:00Z,1Q2009,2009 -- 3,2009,0,0,1,"found in Votanikos stream near Aliens Bureau in Athens (GR), stayed in coma for 3 months (Mar 22, 2009)",votanikos,37.982394,23.696198,"37.982394, 23.696198",2,"Event at Votanikos on Mar 22, 2009",Eastern Mediteranean route Sea,NR/IRR,
34299,unknown,unknown - supposedly exhaustion related death,United,2009-03-21T00:00:00Z,1Q2009,2009 -- 3,2009,0,0,2,"missing when Spanish patrol transfered the passengers from their boat off Cabo de Gata (E) (Mar 21, 2009)",gata,38.77474,0.08519,"38.77474, 0.08519",52,"Event at Gata on Mar 21, 2009",Western Mediteranean route,MUGAK/EFE/PUB/NOB,
34298,unknown,unknown - supposedly exhaustion related death,Del grande,2009-03-21T00:00:00Z,1Q2009,2009 -- 3,2009,0,2,2,"Fall into the sea during a rescue operation in Cabo de Gata, Almeria. Two missing (Mar 22, 2009)",gata,38.77474,0.08519,"38.77474, 0.08519",52,"Event at Gata on Mar 21, 2009",Western Mediteranean route,Publico,http://www.publico.es/211773/buscan/ocupantes/patera/desaparecidos/caer/mar/rescate
34300,drowned,drowning or exhaustion related death,United,2009-03-18T00:00:00Z,1Q2009,2009 -- 3,2009,0,0,67,"17 deaths, 50 missing, after shipwreck near to Sfax (TN) on the way from Libya to Italy (Mar 18, 2009). From Del Grande's data set (translated): Shipwreck on the route to Lampedusa off the coast of Sfax, not far from the island of Kerkennah. Recovered 17 corpses, at least 50 missing (Mar 20, 2009)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Mar 18, 2009",Central Mediteranean route,LS/FE/ANSA/Ach/AFP/LSW/NOB,http://www.lasiciliaweb.it/index.php?id=18895&template=lasiciliaweb
