"Country Name","Country Code","Region","IncomeGroup","SpecialNotes",
"Small states","SST","","","Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",
"São Tomé and Principe","STP","Sub-Saharan Africa","Lower middle income","Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.",
"Suriname","SUR","Latin America & Caribbean","Upper middle income","",
"Slovak Republic","SVK","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
"Slovenia","SVN","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",
"Sweden","SWE","Europe & Central Asia","High income: OECD","Fiscal year end: June 30; reporting period for national accounts data: CY.",
"Swaziland","SWZ","Sub-Saharan Africa","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2011, the Central Statistical Office revised national accounts data for 1990 onward.",
"Sint Maarten (Dutch part)","SXM","Latin America & Caribbean","High income: nonOECD","",
"Seychelles","SYC","Sub-Saharan Africa","High income: nonOECD","April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.",
"Syrian Arab Republic","SYR","Middle East & North Africa","Lower middle income","April 2013 database update: Based on data from the Central Bureau of Statistics, national accounts data were revised for 2003 onward.",
"Turks and Caicos Islands","TCA","Latin America & Caribbean","High income: nonOECD","",
"Chad","TCD","Sub-Saharan Africa","Low income","Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005.",
"Togo","TGO","Sub-Saharan Africa","Low income","April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.",
"Thailand","THA","East Asia & Pacific","Upper middle income","Fiscal year end: September 30; reporting period for national accounts data: CY.",
"Tajikistan","TJK","Europe & Central Asia","Lower middle income","",
"Turkmenistan","TKM","Europe & Central Asia","Upper middle income","On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).",
"Timor-Leste","TLS","East Asia & Pacific","Lower middle income","Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.",
"Tonga","TON","East Asia & Pacific","Upper middle income","2013 national accounts estimates are based on IMF reports. Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11.",
"Trinidad and Tobago","TTO","Latin America & Caribbean","High income: nonOECD","",
"Tunisia","TUN","Middle East & North Africa","Upper middle income","National accounts data from 2005 onward have been revised based on data published by the Tunisian authorities. April 2012 database update: Based on data from the Central Bank and its Statistical Bulletin, national accounts data were revised for 1997 onward.",
"Turkey","TUR","Europe & Central Asia","Upper middle income","",
"Tuvalu","TUV","East Asia & Pacific","Upper middle income","2013 national accounts estimates are based on IMF reports. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.",
"Taiwan, China","TWN","East Asia & Pacific","High income: nonOECD","",
"Tanzania","TZA","Sub-Saharan Africa","Low income","The new base year is 2007. Tanzania reports using a blend of SNA 1993 and SNA 2008.",
"Uganda","UGA","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2009/10. Uganda reports using SNA 2008. Price valuation is in producer prices.",
"Ukraine","UKR","Europe & Central Asia","Lower middle income","",
"Upper middle income","UMC","","","Upper middle income group aggregate. Upper-middle-income economies are those in which 2014 GNI per capita was between $4,126 and $12,735.",
"Uruguay","URY","Latin America & Caribbean","High income: nonOECD","In 2011, the Central Bank revised national accounts data for 2006 onward.",
"United States","USA","North America","High income: OECD","Fiscal year end: September 30; reporting period for national accounts data: CY.",
"Uzbekistan","UZB","Europe & Central Asia","Lower middle income","",
"St. Vincent and the Grenadines","VCT","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",
"Venezuela, RB","VEN","Latin America & Caribbean","High income: nonOECD","",
"Virgin Islands (U.S.)","VIR","Latin America & Caribbean","High income: nonOECD","",
"Vietnam","VNM","East Asia & Pacific","Lower middle income","Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.",
"Vanuatu","VUT","East Asia & Pacific","Lower middle income","2013 national accounts estimates are based on IMF reports. Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.",
"World","WLD","","","World aggregate.",
"Samoa","WSM","East Asia & Pacific","Lower middle income","Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The new base year is 2008/09. Other methodological changes include increased reliance on summary data from the country’s Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.",
"Yemen, Rep.","YEM","Middle East & North Africa","Lower middle income","Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The new base year is 2007.",
"South Africa","ZAF","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010. South Africa reports using SNA 2008.",
"Zambia","ZMB","Sub-Saharan Africa","Lower middle income","The new base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008.",
"Zimbabwe","ZWE","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",
