Year,Interest Group ,Total Amount ,Dem %,GOP %,Democrats,Republicans
2014,Crop Production,"13,621,887",33.00%,67.00%,4495222.71,9126664.29
2014,Business Services,"13,224,818",57.00%,43.00%,7538146.26,5686671.74
2014,Misc Finance,"13,061,221",42.00%,58.00%,5485712.82,7575508.18
2014,Hospitals,"11,850,526",47.00%,53.00%,5569747.22,6280778.78
2014,Retail Sales,"11,492,214",38.00%,62.00%,4367041.32,7125172.68
2014,Public Sector Unions,"11,403,606",91.00%,9.00%,10377281.46,1026324.54
2014,Defense Aerospace,"11,322,433",40.00%,60.00%,4528973.2,6793459.8
2014,Education,"11,198,291",69.00%,31.00%,7726820.79,3471470.21
2014,Bldg Trade Unions,"11,080,563",84.00%,16.00%,9307672.92,1772890.08
2014,Electronics,"10,939,573",53.00%,47.00%,5797973.69,5141599.31
2014,Automotive,"10,593,016",26.00%,74.00%,2754184.16,7838831.84
2014,Telecom Svcs,"10,531,121",51.00%,49.00%,5370871.71,5160249.29
2014,Transport Unions,"10,520,590",75.00%,25.00%,7890442.5,2630147.5
2014,Accountants,"10,296,150",40.00%,60.00%,4118460,6177690
2014,General Contractors,"10,247,448",28.00%,72.00%,2869285.44,7378162.56
2014,Air Transport,"10,038,104",37.00%,63.00%,3714098.48,6324005.52
2014,Entertainment,"10,000,659",67.00%,33.00%,6700441.53,3300217.47
2014,Pro-Israel,"9,796,491",62.00%,38.00%,6073824.42,3722666.58
2014,Health Services,"9,771,633",44.00%,56.00%,4299518.52,5472114.48
2014,Big Food ,"9,161,862",33.00%,67.00%,3023414.46,6138447.54
2014,Alcohol,"8,817,963",44.00%,56.00%,3879903.72,4938059.28
2014,Construction Svcs,"7,864,443",47.00%,53.00%,3696288.21,4168154.79
2014,Republican,"7,540,201",1.00%,99.00%,75402.01,7464798.99
2014,Railroads,"7,176,500",36.00%,64.00%,2583540,4592960
2014,Telephone Utilities,"7,072,098",43.00%,57.00%,3041002.14,4031095.86
2014,Agricultural Svcs,"7,068,300",26.00%,74.00%,1837758,5230542
2014,Candidate Cmtes,"6,684,067",61.00%,39.00%,4077280.87,2606786.13
2014,Industrial Unions,"6,585,481",96.00%,3.00%,6322061.76,197564.43
2014,Food Process,"6,563,151",32.00%,68.00%,2100208.32,4462942.68
2014,Building Materials,"6,291,074",20.00%,80.00%,1258214.8,5032859.2
2014,Gambling,"6,123,632",53.00%,47.00%,3245524.96,2878107.04
2014,Mining,"6,018,588",8.00%,92.00%,481487.04,5537100.96
2014,Defense Electronics,"5,904,353",40.00%,60.00%,2361741.2,3542611.8
2014,Chemicals,"5,876,805",29.00%,71.00%,1704273.45,4172531.55
2014,Finance,"5,607,921",33.00%,67.00%,1850613.93,3757307.07
2014,Misc Energy,"5,479,905",37.00%,63.00%,2027564.85,3452340.15
2014,Environment,"5,261,376",92.00%,7.00%,4840465.92,368296.32
2016,Retired,"27,020,646",30.00%,70.00%,8106193.8,18914452.2
2016,Legal  Firms,"18,460,113",55.00%,45.00%,10153062.15,8307050.85
2016,Securities,"18,345,375",35.00%,65.00%,6420881.25,11924493.75
2016,Real Estate,"15,068,315",37.00%,63.00%,5575276.55,9493038.45
2016,Health Professionals,"13,327,672",33.00%,67.00%,4398131.76,8929540.24
2016,Insurance,"13,104,191",31.00%,69.00%,4062299.21,9041891.79
2016,Leadership PACs,"10,803,707",29.00%,71.00%,3133075.03,7670631.97
2016,Oil,"8,545,011",10.00%,90.00%,854501.1,7690509.9
2016,Lobbyists,"8,095,814",36.00%,64.00%,2914493.04,5181320.96
2016,Pharmaceutical,"7,548,206",35.00%,65.00%,2641872.1,4906333.9
2016,Commercial Banks,"7,269,871",25.00%,75.00%,1817467.75,5452403.25
2016,Electric Utilities,"5,843,582",28.00%,72.00%,1636202.96,4207379.04
2016,Misc Finance,"5,780,652",32.00%,68.00%,1849808.64,3930843.36
2016,Misc Distrib,"5,369,670",25.00%,75.00%,1342417.5,4027252.5
2016,Business Services,"4,914,871",42.00%,58.00%,2064245.82,2850625.18
2016,Retail Sales,"4,736,908",26.00%,74.00%,1231596.08,3505311.92
2016,Defense Aerospace,"4,720,102",37.00%,63.00%,1746437.74,2973664.26
2016,Crop Production,"4,415,562",28.00%,72.00%,1236357.36,3179204.64
2016,Accountants,"4,281,119",35.00%,65.00%,1498391.65,2782727.35
2016,Air Transport,"4,094,923",29.00%,71.00%,1187527.67,2907395.33
2016,Electronics,"4,030,071",46.00%,54.00%,1853832.66,2176238.34
2016,Automotive,"3,924,250",20.00%,80.00%,784850,3139400
2016,Hospitals,"3,793,525",40.00%,60.00%,1517410,2276115
2016,Republican,"3,622,251",0.00%,100.00%,0,3622251
2016,Telecom Svcs,"3,594,375",39.00%,61.00%,1401806.25,2192568.75
2016,Education,"3,474,693",58.00%,42.00%,2015321.94,1459371.06
2016,Entertainment,"3,467,568",55.00%,45.00%,1907162.4,1560405.6
2016,Misc Business,"3,400,993",28.00%,72.00%,952278.04,2448714.96
2016,Alcohol,"3,276,141",39.00%,61.00%,1277694.99,1998446.01
2016,Health Services,"3,256,365",39.00%,61.00%,1269982.35,1986382.65
2016,General Contractors,"3,155,813",23.00%,77.00%,725836.99,2429976.01
2016,Transport Unions,"3,149,960",65.00%,35.00%,2047474,1102486
2016,Railroads,"3,010,088",32.00%,68.00%,963228.16,2046859.84
2016,Bldg Trade Unions,"2,971,299",67.00%,33.00%,1990770.33,980528.67
2016,Big Food ,"2,767,582",26.00%,74.00%,719571.32,2048010.68
2016,Agricultural Svcs,"2,640,266",22.00%,78.00%,580858.52,2059407.48
2016,Pro-Israel,"2,567,639",50.00%,50.00%,1283819.5,1283819.5
2016,Construction Svcs,"2,367,963",34.00%,66.00%,805107.42,1562855.58
2016,Finance,"2,323,424",28.00%,72.00%,650558.72,1672865.28
2016,Building Materials,"2,273,974",13.00%,87.00%,295616.62,1978357.38
2016,Gambling,"2,234,108",41.00%,59.00%,915984.28,1318123.72
2016,Telephone Utilities,"2,217,302",35.00%,65.00%,776055.7,1441246.3
2016,Industrial Unions,"2,153,843",96.00%,4.00%,2067689.28,86153.72
2016,Defense Electronics,"2,132,798",27.00%,73.00%,575855.46,1556942.54
2016,Candidate Cmtes,"2,106,984",36.00%,64.00%,758514.24,1348469.76
2016,Chemicals,"2,098,374",24.00%,76.00%,503609.76,1594764.24
2016,Food Process,"2,032,587",26.00%,74.00%,528472.62,1504114.38
2016,Public Sector Unions,"1,862,909",82.00%,18.00%,1527585.38,335323.62
2016,Internet,"1,692,245",55.00%,45.00%,930734.75,761510.25
2016,Misc Defense,"1,608,788",30.00%,70.00%,482636.4,1126151.6
