country,religion,population
Malaysia,Unaffiliated,190000
Malaysia,Hindu,1720000
Malaysia,Buddhist,5010000
Malaysia,Folk Religions,650000
Malaysia,Other Religions,60000
Malaysia,Jewish,0
Maldives,Christian,0
Maldives,Muslim,310000
Maldives,Unaffiliated,0
Maldives,Hindu,0
Maldives,Buddhist,0
Maldives,Folk Religions,0
Maldives,Other Religions,0
Maldives,Jewish,0
Mali,Christian,490000
Mali,Muslim,14200000
Mali,Unaffiliated,420000
Mali,Hindu,0
Mali,Buddhist,0
Mali,Folk Religions,250000
Mali,Other Religions,0
Mali,Jewish,0
Malta,Christian,400000
Malta,Muslim,0
Malta,Unaffiliated,10000
Malta,Hindu,0
Malta,Buddhist,0
Malta,Folk Religions,0
Malta,Other Religions,0
Malta,Jewish,0
Marshall Islands,Christian,50000
Marshall Islands,Muslim,0
Marshall Islands,Unaffiliated,0
Marshall Islands,Hindu,0
Marshall Islands,Buddhist,0
Marshall Islands,Folk Religions,0
Marshall Islands,Other Religions,0
Marshall Islands,Jewish,0
Martinique,Christian,390000
Martinique,Muslim,0
Martinique,Unaffiliated,0
Martinique,Hindu,0
Martinique,Buddhist,0
Martinique,Folk Religions,0
Martinique,Other Religions,0
Martinique,Jewish,0
Mauritania,Christian,0
Mauritania,Muslim,3430000
Mauritania,Unaffiliated,0
Mauritania,Hindu,0
Mauritania,Buddhist,0
Mauritania,Folk Religions,20000
Mauritania,Other Religions,0
Mauritania,Jewish,0
Mauritius,Christian,330000
Mauritius,Muslim,220000
Mauritius,Unaffiliated,0
Mauritius,Hindu,730000
Mauritius,Buddhist,0
Mauritius,Folk Religions,0
Mauritius,Other Religions,0
Mauritius,Jewish,0
Mayotte,Christian,0
Mayotte,Muslim,200000
Mayotte,Unaffiliated,0
Mayotte,Hindu,0
Mayotte,Buddhist,0
Mayotte,Folk Religions,0
Mayotte,Other Religions,0
Mayotte,Jewish,0
Mexico,Christian,107910000
Mexico,Muslim,0
Mexico,Unaffiliated,5330000
Mexico,Hindu,0
Mexico,Buddhist,0
Mexico,Folk Religions,70000
Mexico,Other Religions,20000
Mexico,Jewish,70000
Moldova,Christian,3480000
Moldova,Muslim,20000
Moldova,Unaffiliated,50000
Moldova,Hindu,0
Moldova,Buddhist,0
Moldova,Folk Religions,0
Moldova,Other Religions,0
Moldova,Jewish,20000
Monaco,Christian,30000
Monaco,Muslim,0
Monaco,Unaffiliated,0
Monaco,Hindu,0
Monaco,Buddhist,0
Monaco,Folk Religions,0
Monaco,Other Religions,0
Monaco,Jewish,0
Mongolia,Christian,60000
Mongolia,Muslim,90000
Mongolia,Unaffiliated,990000
Mongolia,Hindu,0
Mongolia,Buddhist,1520000
Mongolia,Folk Religions,100000
Mongolia,Other Religions,0
Mongolia,Jewish,0
Montenegro,Christian,490000
Montenegro,Muslim,120000
Montenegro,Unaffiliated,20000
Montenegro,Hindu,0
Montenegro,Buddhist,0
Montenegro,Folk Religions,0
Montenegro,Other Religions,0
Montenegro,Jewish,0
Montserrat,Christian,0
Montserrat,Muslim,0
Montserrat,Unaffiliated,0
Montserrat,Hindu,0
Montserrat,Buddhist,0
Montserrat,Folk Religions,0
Montserrat,Other Religions,0
Montserrat,Jewish,0
Morocco,Christian,20000
Morocco,Muslim,31940000
Morocco,Unaffiliated,0
Morocco,Hindu,0
Morocco,Buddhist,0
Morocco,Folk Religions,0
Morocco,Other Religions,0
Morocco,Jewish,0
Mozambique,Christian,13260000
Mozambique,Muslim,4200000
Mozambique,Unaffiliated,4200000
Mozambique,Hindu,0
Mozambique,Buddhist,0
Mozambique,Folk Religions,1720000
Mozambique,Other Religions,0
Mozambique,Jewish,0
Namibia,Christian,2230000
Namibia,Muslim,0
Namibia,Unaffiliated,40000
Namibia,Hindu,0
Namibia,Buddhist,0
Namibia,Folk Religions,0
Namibia,Other Religions,0
Namibia,Jewish,0
Nauru,Christian,0
Nauru,Muslim,0
Nauru,Unaffiliated,0
Nauru,Hindu,0
Nauru,Buddhist,0
Nauru,Folk Religions,0
Nauru,Other Religions,0
Nauru,Jewish,0
Nepal,Christian,140000
Nepal,Muslim,1370000
Nepal,Unaffiliated,80000
Nepal,Hindu,24170000
Nepal,Buddhist,3080000
Nepal,Folk Religions,1100000
Nepal,Other Religions,20000
Nepal,Jewish,0
Netherlands,Christian,8410000
Netherlands,Muslim,1000000
Netherlands,Unaffiliated,6990000
Netherlands,Hindu,80000
Netherlands,Buddhist,40000
Netherlands,Folk Religions,30000
Netherlands,Other Religions,30000
Netherlands,Jewish,30000
Netherlands Antilles,Christian,190000
Netherlands Antilles,Muslim,0
Netherlands Antilles,Unaffiliated,0
Netherlands Antilles,Hindu,0
Netherlands Antilles,Buddhist,0
Netherlands Antilles,Folk Religions,0
Netherlands Antilles,Other Religions,0
Netherlands Antilles,Jewish,0
New Caledonia,Christian,210000
New Caledonia,Muslim,0
New Caledonia,Unaffiliated,30000
New Caledonia,Hindu,0
New Caledonia,Buddhist,0
New Caledonia,Folk Religions,0
New Caledonia,Other Religions,0
New Caledonia,Jewish,0
New Zealand,Christian,2490000
New Zealand,Muslim,50000
New Zealand,Unaffiliated,1600000
New Zealand,Hindu,90000
New Zealand,Buddhist,70000
New Zealand,Folk Religions,20000
New Zealand,Other Religions,30000
New Zealand,Jewish,0
Nicaragua,Christian,4970000
Nicaragua,Muslim,0
Nicaragua,Unaffiliated,730000
Nicaragua,Hindu,0
Nicaragua,Buddhist,0
Nicaragua,Folk Religions,80000
Nicaragua,Other Religions,0
Nicaragua,Jewish,0
Niger,Christian,120000
Niger,Muslim,15270000
Niger,Unaffiliated,110000
Niger,Hindu,0
Niger,Buddhist,0
Niger,Folk Religions,0
Niger,Other Religions,0
Niger,Jewish,0
Nigeria,Christian,78050000
Nigeria,Muslim,77300000
Nigeria,Unaffiliated,680000
Nigeria,Hindu,0
Nigeria,Buddhist,10000
Nigeria,Folk Religions,2290000
Nigeria,Other Religions,90000
Nigeria,Jewish,0
Niue,Christian,0
Niue,Muslim,0
Niue,Unaffiliated,0
Niue,Hindu,0
Niue,Buddhist,0
Niue,Folk Religions,0
Niue,Other Religions,0
Niue,Jewish,0
North Korea,Christian,480000
North Korea,Muslim,0
North Korea,Unaffiliated,17350000
North Korea,Hindu,0
North Korea,Buddhist,370000
North Korea,Folk Religions,3010000
North Korea,Other Religions,3130000
North Korea,Jewish,0
Northern Mariana Islands,Christian,50000
Northern Mariana Islands,Muslim,0
Northern Mariana Islands,Unaffiliated,0
Northern Mariana Islands,Hindu,0
Northern Mariana Islands,Buddhist,0
Northern Mariana Islands,Folk Religions,0
Northern Mariana Islands,Other Religions,0
Northern Mariana Islands,Jewish,0
Norway,Christian,4140000
Norway,Muslim,180000
Norway,Unaffiliated,490000
Norway,Hindu,20000
Norway,Buddhist,30000
Norway,Folk Religions,0
Norway,Other Religions,10000
Norway,Jewish,0
Oman,Christian,180000
Oman,Muslim,2390000
Oman,Unaffiliated,0
Oman,Hindu,150000
Oman,Buddhist,20000
Oman,Folk Religions,0
Oman,Other Religions,30000
Oman,Jewish,0
Pakistan,Christian,2750000
Pakistan,Muslim,167410000
Pakistan,Unaffiliated,20000
Pakistan,Hindu,3330000
Pakistan,Buddhist,20000
Pakistan,Folk Religions,30000
Pakistan,Other Religions,20000
Pakistan,Jewish,0
Palau,Christian,20000
Palau,Muslim,0
Palau,Unaffiliated,0
Palau,Hindu,0
Palau,Buddhist,0
Palau,Folk Religions,0
Palau,Other Religions,0
Palau,Jewish,0
Palestinian territories,Christian,100000
Palestinian territories,Muslim,3940000
Palestinian territories,Unaffiliated,0
Palestinian territories,Hindu,0
Palestinian territories,Buddhist,0
Palestinian territories,Folk Religions,0
Palestinian territories,Other Religions,0
Palestinian territories,Jewish,0
Panama,Christian,3270000
Panama,Muslim,30000
Panama,Unaffiliated,170000
Panama,Hindu,0
Panama,Buddhist,0
Panama,Folk Religions,20000
Panama,Other Religions,20000
Panama,Jewish,10000
Papua New Guinea,Christian,6800000
Papua New Guinea,Muslim,0
Papua New Guinea,Unaffiliated,0
Papua New Guinea,Hindu,0
Papua New Guinea,Buddhist,0
Papua New Guinea,Folk Religions,30000
Papua New Guinea,Other Religions,20000
Papua New Guinea,Jewish,0
Paraguay,Christian,6250000
Paraguay,Muslim,0
Paraguay,Unaffiliated,70000
Paraguay,Hindu,0
Paraguay,Buddhist,0
Paraguay,Folk Religions,110000
Paraguay,Other Religions,10000
Paraguay,Jewish,0
Peru,Christian,27780000
Peru,Muslim,0
Peru,Unaffiliated,860000
Peru,Hindu,0
Peru,Buddhist,50000
Peru,Folk Religions,290000
Peru,Other Religions,90000
Peru,Jewish,0
Philippines,Christian,86370000
Philippines,Muslim,5150000
Philippines,Unaffiliated,90000
Philippines,Hindu,0
Philippines,Buddhist,80000
Philippines,Folk Religions,1430000
Philippines,Other Religions,130000
Philippines,Jewish,0
Poland,Christian,36100000
Poland,Muslim,0
Poland,Unaffiliated,2150000
Poland,Hindu,0
Poland,Buddhist,0
Poland,Folk Religions,0
Poland,Other Religions,0
Poland,Jewish,10000
Portugal,Christian,10010000
Portugal,Muslim,60000
Portugal,Unaffiliated,470000
Portugal,Hindu,10000
Portugal,Buddhist,60000
Portugal,Folk Religions,50000
Portugal,Other Religions,0
Portugal,Jewish,0
Puerto Rico,Christian,3630000
Puerto Rico,Muslim,0
Puerto Rico,Unaffiliated,70000
Puerto Rico,Hindu,0
Puerto Rico,Buddhist,10000
Puerto Rico,Folk Religions,30000
Puerto Rico,Other Religions,0
Puerto Rico,Jewish,0
Qatar,Christian,240000
Qatar,Muslim,1190000
Qatar,Unaffiliated,20000
Qatar,Hindu,240000
Qatar,Buddhist,50000
Qatar,Folk Religions,0
Qatar,Other Religions,10000
Qatar,Jewish,0
Republic of Macedonia,Christian,1220000
Republic of Macedonia,Muslim,810000
Republic of Macedonia,Unaffiliated,30000
Republic of Macedonia,Hindu,0
Republic of Macedonia,Buddhist,0
Republic of Macedonia,Folk Religions,0
Republic of Macedonia,Other Religions,0
Republic of Macedonia,Jewish,0
Republic of the Congo,Christian,3470000
Republic of the Congo,Muslim,50000
Republic of the Congo,Unaffiliated,360000
Republic of the Congo,Hindu,0
Republic of the Congo,Buddhist,0
Republic of the Congo,Folk Religions,110000
Republic of the Congo,Other Religions,40000
Republic of the Congo,Jewish,0
Reunion,Christian,740000
Reunion,Muslim,40000
Reunion,Unaffiliated,20000
Reunion,Hindu,40000
Reunion,Buddhist,0
Reunion,Folk Religions,0
Reunion,Other Religions,0
Reunion,Jewish,0
Romania,Christian,21380000
Romania,Muslim,70000
Romania,Unaffiliated,20000
Romania,Hindu,0
Romania,Buddhist,0
Romania,Folk Religions,0
Romania,Other Religions,0
Romania,Jewish,0
Russia,Christian,104750000
Russia,Muslim,14290000
Russia,Unaffiliated,23180000
Russia,Hindu,30000
Russia,Buddhist,170000
Russia,Folk Religions,310000
Russia,Other Religions,0
Russia,Jewish,230000
Rwanda,Christian,9920000
Rwanda,Muslim,190000
Rwanda,Unaffiliated,380000
Rwanda,Hindu,0
Rwanda,Buddhist,0
Rwanda,Folk Religions,100000
Rwanda,Other Religions,20000
Rwanda,Jewish,0
Samoa,Christian,180000
Samoa,Muslim,0
Samoa,Unaffiliated,0
Samoa,Hindu,0
Samoa,Buddhist,0
Samoa,Folk Religions,0
Samoa,Other Religions,0
Samoa,Jewish,0
San Marino,Christian,30000
San Marino,Muslim,0
San Marino,Unaffiliated,0
San Marino,Hindu,0
San Marino,Buddhist,0
San Marino,Folk Religions,0
San Marino,Other Religions,0
San Marino,Jewish,0
Sao Tome and Principe,Christian,140000
Sao Tome and Principe,Muslim,0
Sao Tome and Principe,Unaffiliated,20000
Sao Tome and Principe,Hindu,0
Sao Tome and Principe,Buddhist,0
Sao Tome and Principe,Folk Religions,0
Sao Tome and Principe,Other Religions,0
Sao Tome and Principe,Jewish,0
Saudi Arabia,Christian,1200000
Saudi Arabia,Muslim,25520000
Saudi Arabia,Unaffiliated,180000
Saudi Arabia,Hindu,310000
Saudi Arabia,Buddhist,90000
Saudi Arabia,Folk Religions,70000
Saudi Arabia,Other Religions,70000
Saudi Arabia,Jewish,0
Senegal,Christian,450000
Senegal,Muslim,11980000
Senegal,Unaffiliated,0
Senegal,Hindu,0
Senegal,Buddhist,0
Senegal,Folk Religions,0
Senegal,Other Religions,0
Senegal,Jewish,0
Serbia,Christian,7190000
Serbia,Muslim,330000
Serbia,Unaffiliated,250000
Serbia,Hindu,0
Serbia,Buddhist,0
Serbia,Folk Religions,0
Serbia,Other Religions,0
Serbia,Jewish,0
Seychelles,Christian,80000
Seychelles,Muslim,0
Seychelles,Unaffiliated,0
Seychelles,Hindu,0
Seychelles,Buddhist,0
Seychelles,Folk Religions,0
Seychelles,Other Religions,0
Seychelles,Jewish,0
Sierra Leone,Christian,1230000
Sierra Leone,Muslim,4580000
Sierra Leone,Unaffiliated,0
Sierra Leone,Hindu,0
Sierra Leone,Buddhist,0
Sierra Leone,Folk Religions,50000
Sierra Leone,Other Religions,0
Sierra Leone,Jewish,0
Singapore,Christian,920000
Singapore,Muslim,730000
Singapore,Unaffiliated,830000
Singapore,Hindu,260000
Singapore,Buddhist,1730000
Singapore,Folk Religions,120000
Singapore,Other Religions,490000
Singapore,Jewish,0
Slovakia,Christian,4660000
Slovakia,Muslim,0
Slovakia,Unaffiliated,780000
Slovakia,Hindu,0
Slovakia,Buddhist,0
Slovakia,Folk Religions,0
Slovakia,Other Religions,0
Slovakia,Jewish,0
Slovenia,Christian,1590000
Slovenia,Muslim,70000
Slovenia,Unaffiliated,370000
Slovenia,Hindu,0
Slovenia,Buddhist,0
Slovenia,Folk Religions,0
Slovenia,Other Religions,0
Slovenia,Jewish,0
Solomon Islands,Christian,520000
Solomon Islands,Muslim,0
Solomon Islands,Unaffiliated,0
Solomon Islands,Hindu,0
Solomon Islands,Buddhist,0
Solomon Islands,Folk Religions,0
Solomon Islands,Other Religions,0
Solomon Islands,Jewish,0
Somalia,Christian,0
Somalia,Muslim,9310000
Somalia,Unaffiliated,0
Somalia,Hindu,0
Somalia,Buddhist,0
Somalia,Folk Religions,0
Somalia,Other Religions,0
Somalia,Jewish,0
South Africa,Christian,40710000
South Africa,Muslim,860000
South Africa,Unaffiliated,7450000
South Africa,Hindu,570000
South Africa,Buddhist,100000
South Africa,Folk Religions,210000
South Africa,Other Religions,170000
South Africa,Jewish,70000
South Korea,Christian,14170000
South Korea,Muslim,100000
South Korea,Unaffiliated,22350000
South Korea,Hindu,0
South Korea,Buddhist,11050000
South Korea,Folk Religions,400000
South Korea,Other Religions,110000
South Korea,Jewish,0
South Sudan,Christian,6010000
South Sudan,Muslim,610000
South Sudan,Unaffiliated,50000
South Sudan,Hindu,0
South Sudan,Buddhist,0
South Sudan,Folk Religions,3270000
South Sudan,Other Religions,0
South Sudan,Jewish,0
Spain,Christian,36240000
Spain,Muslim,980000
Spain,Unaffiliated,8740000
Spain,Hindu,20000
Spain,Buddhist,0
Spain,Folk Religions,20000
Spain,Other Religions,10000
Spain,Jewish,60000
Sri Lanka,Christian,1530000
Sri Lanka,Muslim,2040000
Sri Lanka,Unaffiliated,0
Sri Lanka,Hindu,2830000
Sri Lanka,Buddhist,14450000
Sri Lanka,Folk Religions,0
Sri Lanka,Other Religions,0
Sri Lanka,Jewish,0
St. Helena,Christian,0
St. Helena,Muslim,0
St. Helena,Unaffiliated,0
St. Helena,Hindu,0
St. Helena,Buddhist,0
St. Helena,Folk Religions,0
St. Helena,Other Religions,0
St. Helena,Jewish,0
St. Kitts and Nevis,Christian,50000
St. Kitts and Nevis,Muslim,0
St. Kitts and Nevis,Unaffiliated,0
St. Kitts and Nevis,Hindu,0
St. Kitts and Nevis,Buddhist,0
St. Kitts and Nevis,Folk Religions,0
St. Kitts and Nevis,Other Religions,0
St. Kitts and Nevis,Jewish,0
St. Lucia,Christian,160000
St. Lucia,Muslim,0
St. Lucia,Unaffiliated,10000
St. Lucia,Hindu,0
St. Lucia,Buddhist,0
St. Lucia,Folk Religions,0
St. Lucia,Other Religions,0
St. Lucia,Jewish,0
St. Pierre and Miquelon,Christian,0
St. Pierre and Miquelon,Muslim,0
St. Pierre and Miquelon,Unaffiliated,0
St. Pierre and Miquelon,Hindu,0
St. Pierre and Miquelon,Buddhist,0
St. Pierre and Miquelon,Folk Religions,0
St. Pierre and Miquelon,Other Religions,0
St. Pierre and Miquelon,Jewish,0
St. Vincent and the Grenadines,Christian,100000
St. Vincent and the Grenadines,Muslim,0
St. Vincent and the Grenadines,Unaffiliated,0
St. Vincent and the Grenadines,Hindu,0
St. Vincent and the Grenadines,Buddhist,0
St. Vincent and the Grenadines,Folk Religions,0
St. Vincent and the Grenadines,Other Religions,0
St. Vincent and the Grenadines,Jewish,0
Sudan,Christian,1810000
Sudan,Muslim,30490000
Sudan,Unaffiliated,350000
Sudan,Hindu,0
Sudan,Buddhist,0
Sudan,Folk Religions,950000
Sudan,Other Religions,0
Sudan,Jewish,0
Suriname,Christian,270000
Suriname,Muslim,80000
Suriname,Unaffiliated,30000
Suriname,Hindu,100000
Suriname,Buddhist,0
Suriname,Folk Religions,30000
Suriname,Other Religions,0
Suriname,Jewish,0
Swaziland,Christian,1040000
Swaziland,Muslim,0
Swaziland,Unaffiliated,120000
Swaziland,Hindu,0
Swaziland,Buddhist,0
Swaziland,Folk Religions,10000
Swaziland,Other Religions,0
Swaziland,Jewish,0
Sweden,Christian,6310000
Sweden,Muslim,430000
Sweden,Unaffiliated,2540000
Sweden,Hindu,20000
Sweden,Buddhist,40000
Sweden,Folk Religions,20000
Sweden,Other Religions,20000
Sweden,Jewish,10000
Switzerland,Christian,6230000
Switzerland,Muslim,420000
Switzerland,Unaffiliated,910000
Switzerland,Hindu,30000
Switzerland,Buddhist,30000
Switzerland,Folk Religions,0
Switzerland,Other Religions,0
Switzerland,Jewish,20000
Syria,Christian,1060000
Syria,Muslim,18930000
Syria,Unaffiliated,420000
Syria,Hindu,0
Syria,Buddhist,0
Syria,Folk Religions,0
Syria,Other Religions,0
Syria,Jewish,0
Taiwan,Christian,1280000
Taiwan,Muslim,10000
Taiwan,Unaffiliated,2950000
Taiwan,Hindu,0
Taiwan,Buddhist,4950000
Taiwan,Folk Religions,10260000
Taiwan,Other Religions,3760000
Taiwan,Jewish,0
Tajikistan,Christian,110000
Tajikistan,Muslim,6650000
Tajikistan,Unaffiliated,100000
Tajikistan,Hindu,0
Tajikistan,Buddhist,0
Tajikistan,Folk Religions,0
Tajikistan,Other Religions,0
Tajikistan,Jewish,0
Tanzania,Christian,27540000
Tanzania,Muslim,15770000
Tanzania,Unaffiliated,650000
Tanzania,Hindu,50000
Tanzania,Buddhist,0
Tanzania,Folk Religions,800000
Tanzania,Other Religions,30000
Tanzania,Jewish,0
Thailand,Christian,600000
Thailand,Muslim,3770000
Thailand,Unaffiliated,190000
Thailand,Hindu,70000
Thailand,Buddhist,64420000
Thailand,Folk Religions,60000
Thailand,Other Religions,0
Thailand,Jewish,0
Timor-Leste,Christian,1120000
Timor-Leste,Muslim,0
Timor-Leste,Unaffiliated,0
Timor-Leste,Hindu,0
Timor-Leste,Buddhist,0
Timor-Leste,Folk Religions,0
Timor-Leste,Other Religions,0
Timor-Leste,Jewish,0
Togo,Christian,2640000
Togo,Muslim,840000
Togo,Unaffiliated,370000
Togo,Hindu,0
Togo,Buddhist,0
Togo,Folk Religions,2150000
Togo,Other Religions,30000
Togo,Jewish,0
Tokelau,Christian,0
Tokelau,Muslim,0
Tokelau,Unaffiliated,0
Tokelau,Hindu,0
Tokelau,Buddhist,0
Tokelau,Folk Religions,0
Tokelau,Other Religions,0
Tokelau,Jewish,0
Tonga,Christian,100000
Tonga,Muslim,0
Tonga,Unaffiliated,0
Tonga,Hindu,0
Tonga,Buddhist,0
Tonga,Folk Religions,0
Tonga,Other Religions,0
Tonga,Jewish,0
Trinidad and Tobago,Christian,880000
Trinidad and Tobago,Muslim,80000
Trinidad and Tobago,Unaffiliated,30000
Trinidad and Tobago,Hindu,300000
Trinidad and Tobago,Buddhist,0
Trinidad and Tobago,Folk Religions,30000
Trinidad and Tobago,Other Religions,20000
Trinidad and Tobago,Jewish,0
Tunisia,Christian,20000
Tunisia,Muslim,10430000
Tunisia,Unaffiliated,20000
Tunisia,Hindu,0
Tunisia,Buddhist,0
Tunisia,Folk Religions,0
Tunisia,Other Religions,0
Tunisia,Jewish,0
Turkey,Christian,320000
Turkey,Muslim,71330000
Turkey,Unaffiliated,860000
Turkey,Hindu,0
Turkey,Buddhist,40000
Turkey,Folk Religions,20000
Turkey,Other Religions,150000
Turkey,Jewish,20000
Turkmenistan,Christian,320000
Turkmenistan,Muslim,4690000
Turkmenistan,Unaffiliated,30000
Turkmenistan,Hindu,0
Turkmenistan,Buddhist,0
Turkmenistan,Folk Religions,0
Turkmenistan,Other Religions,0
Turkmenistan,Jewish,0
Turks and Caicos Islands,Christian,40000
Turks and Caicos Islands,Muslim,0
Turks and Caicos Islands,Unaffiliated,0
Turks and Caicos Islands,Hindu,0
Turks and Caicos Islands,Buddhist,0
Turks and Caicos Islands,Folk Religions,0
Turks and Caicos Islands,Other Religions,0
Turks and Caicos Islands,Jewish,0
Tuvalu,Christian,0
Tuvalu,Muslim,0
Tuvalu,Unaffiliated,0
Tuvalu,Hindu,0
Tuvalu,Buddhist,0
Tuvalu,Folk Religions,0
Tuvalu,Other Religions,0
Tuvalu,Jewish,0
Uganda,Christian,28980000
Uganda,Muslim,3840000
Uganda,Unaffiliated,170000
Uganda,Hindu,100000
Uganda,Buddhist,0
Uganda,Folk Religions,290000
Uganda,Other Religions,40000
Uganda,Jewish,0
Ukraine,Christian,38100000
Ukraine,Muslim,560000
Ukraine,Unaffiliated,6690000
Ukraine,Hindu,10000
Ukraine,Buddhist,20000
Ukraine,Folk Religions,0
Ukraine,Other Religions,0
Ukraine,Jewish,50000
United Arab Emirates,Christian,940000
United Arab Emirates,Muslim,5780000
United Arab Emirates,Unaffiliated,90000
United Arab Emirates,Hindu,490000
United Arab Emirates,Buddhist,150000
United Arab Emirates,Folk Religions,0
United Arab Emirates,Other Religions,60000
United Arab Emirates,Jewish,0
United Kingdom,Christian,44100000
United Kingdom,Muslim,2740000
United Kingdom,Unaffiliated,13220000
United Kingdom,Hindu,800000
United Kingdom,Buddhist,240000
United Kingdom,Folk Religions,160000
United Kingdom,Other Religions,500000
United Kingdom,Jewish,280000
United States,Christian,243060000
United States,Muslim,2770000
United States,Unaffiliated,50980000
United States,Hindu,1790000
United States,Buddhist,3570000
United States,Folk Religions,630000
United States,Other Religions,1900000
United States,Jewish,5690000
Uruguay,Christian,1950000
Uruguay,Muslim,0
Uruguay,Unaffiliated,1370000
Uruguay,Hindu,0
Uruguay,Buddhist,0
Uruguay,Folk Religions,30000
Uruguay,Other Religions,0
Uruguay,Jewish,0
U.S. Virgin Islands,Christian,100000
U.S. Virgin Islands,Muslim,0
U.S. Virgin Islands,Unaffiliated,0
U.S. Virgin Islands,Hindu,0
U.S. Virgin Islands,Buddhist,0
U.S. Virgin Islands,Folk Religions,0
U.S. Virgin Islands,Other Religions,0
U.S. Virgin Islands,Jewish,0
Uzbekistan,Christian,630000
Uzbekistan,Muslim,26550000
Uzbekistan,Unaffiliated,220000
Uzbekistan,Hindu,0
Uzbekistan,Buddhist,10000
Uzbekistan,Folk Religions,10000
Uzbekistan,Other Religions,0
Uzbekistan,Jewish,10000
Vanuatu,Christian,220000
Vanuatu,Muslim,0
Vanuatu,Unaffiliated,0
Vanuatu,Hindu,0
Vanuatu,Buddhist,0
Vanuatu,Folk Religions,0
Vanuatu,Other Religions,0
Vanuatu,Jewish,0
Vatican City,Christian,0
Vatican City,Muslim,0
Vatican City,Unaffiliated,0
Vatican City,Hindu,0
Vatican City,Buddhist,0
Vatican City,Folk Religions,0
Vatican City,Other Religions,0
Vatican City,Jewish,0
Venezuela,Christian,25890000
Venezuela,Muslim,90000
Venezuela,Unaffiliated,2900000
Venezuela,Hindu,0
Venezuela,Buddhist,0
Venezuela,Folk Religions,60000
Venezuela,Other Religions,20000
Venezuela,Jewish,0
Vietnam,Christian,7170000
Vietnam,Muslim,160000
Vietnam,Unaffiliated,26040000
Vietnam,Hindu,0
Vietnam,Buddhist,14380000
Vietnam,Folk Religions,39750000
Vietnam,Other Religions,350000
Vietnam,Jewish,0
Wallis and Futuna,Christian,10000
Wallis and Futuna,Muslim,0
Wallis and Futuna,Unaffiliated,0
Wallis and Futuna,Hindu,0
Wallis and Futuna,Buddhist,0
Wallis and Futuna,Folk Religions,0
Wallis and Futuna,Other Religions,0
Wallis and Futuna,Jewish,0
Western Sahara,Christian,0
Western Sahara,Muslim,530000
Western Sahara,Unaffiliated,0
Western Sahara,Hindu,0
Western Sahara,Buddhist,0
Western Sahara,Folk Religions,0
Western Sahara,Other Religions,0
Western Sahara,Jewish,0
Yemen,Christian,40000
Yemen,Muslim,23830000
Yemen,Unaffiliated,20000
Yemen,Hindu,150000
Yemen,Buddhist,0
Yemen,Folk Religions,0
Yemen,Other Religions,0
Yemen,Jewish,0
Zambia,Christian,12770000
Zambia,Muslim,70000
Zambia,Unaffiliated,70000
Zambia,Hindu,10000
Zambia,Buddhist,0
Zambia,Folk Religions,40000
Zambia,Other Religions,120000
Zambia,Jewish,0
Zimbabwe,Christian,10930000
Zimbabwe,Muslim,110000
Zimbabwe,Unaffiliated,990000
Zimbabwe,Hindu,0
Zimbabwe,Buddhist,0
Zimbabwe,Folk Religions,480000
Zimbabwe,Other Religions,40000
Zimbabwe,Jewish,10000
