Status,Province,Date,Actors,count
Non-Civilian,Tartous,2017-03,Armed opposition groups,1
Non-Civilian,Idlib,2017-03,International coalition forces,4
Non-Civilian,Daraa,2017-03,Al-Nusra Front,1
Civilian,Daraa,2017-03,Russian troops,1
Civilian,Other Nationalities,2017-03,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Lattakia,2017-03,Syrian government and affiliated militias,2
Non-Civilian,Homs,2017-03,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Homs,2017-03,Armed opposition groups,1
Civilian,Damascus Suburbs,2017-03,Armed opposition groups,1
Non-Civilian,Idlib,2017-03,Russian troops,6
Non-Civilian,Homs,2017-03,Self administration forces,1
Civilian,Damascus,2017-03,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Damascus Suburbs,2017-03,Not identified,2
Non-Civilian,Aleppo,2017-03,Self administration forces,3
Non-Civilian,Deir Ezzor,2017-03,Self administration forces,2
Non-Civilian,Other Nationalities,2017-03,Armed opposition groups,1
Non-Civilian,Aleppo,2017-03,Not identified,5
Civilian,Idlib,2017-03,Armed opposition groups,1
Non-Civilian,Idlib,2017-03,Armed opposition groups,1
Non-Civilian,Aleppo,2017-03,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Non-Civilian,Daraa,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,94
Civilian,Daraa,2017-02,Not identified,21
Civilian,Aleppo,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,131
Civilian,Damascus Suburbs,2017-02,Syrian government and affiliated militias,61
Non-Civilian,Damascus,2017-02,Syrian government and affiliated militias,4
Civilian,Daraa,2017-02,Syrian government and affiliated militias,45
Non-Civilian,Daraa,2017-02,Not identified,20
Civilian,Deir Ezzor,2017-02,Russian troops,8
Non-Civilian,Deir Ezzor,2017-02,Syrian government and affiliated militias,7
Civilian,Other Nationalities,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Homs,2017-02,Syrian government and affiliated militias,58
Non-Civilian,Homs,2017-02,Syrian government and affiliated militias,21
Civilian,Aleppo,2017-02,Syrian government and affiliated militias,78
Civilian,Idlib,2017-02,Syrian government and affiliated militias,70
Civilian,Idlib,2017-02,Armed opposition groups,6
Non-Civilian,Damascus Suburbs,2017-02,Syrian government and affiliated militias,49
Civilian,Damascus,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Aleppo,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,22
Non-Civilian,Hama,2017-02,Not identified,1
Non-Civilian,Other Nationalities,2017-02,International coalition forces,2
Civilian,Aleppo,2017-02,Not identified,131
Civilian,Aleppo,2017-02,Russian troops,26
Non-Civilian,Daraa,2017-02,Syrian government and affiliated militias,56
Non-Civilian,Idlib,2017-02,Syrian government and affiliated militias,17
Non-Civilian,Idlib,2017-02,Not identified,2
Non-Civilian,Idlib,2017-02,International coalition forces,4
Civilian,Idlib,2017-02,International coalition forces,2
Civilian,Idlib,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Aleppo,2017-02,International coalition forces,2
Non-Civilian,Aleppo,2017-02,Syrian government and affiliated militias,24
Civilian,Deir Ezzor,2017-02,International coalition forces,2
Civilian,Damascus Suburbs,2017-02,Not identified,1
Civilian,Idlib,2017-02,Not identified,10
Civilian,Hama,2017-02,Syrian government and affiliated militias,31
Civilian,Deir Ezzor,2017-02,Syrian government and affiliated militias,5
Non-Civilian,Homs,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Non-Civilian,Homs,2017-02,Armed opposition groups,14
Non-Civilian,Other Nationalities,2017-02,Armed opposition groups,2
Civilian,Damascus Suburbs,2017-02,Armed opposition groups,3
Non-Civilian,Hama,2017-02,Armed opposition groups,116
Civilian,Deir Ezzor,2017-02,Not identified,8
Non-Civilian,Unknown,2017-02,Armed opposition groups,2
Non-Civilian,Lattakia,2017-02,Armed opposition groups,5
Non-Civilian,Sweida,2017-02,Armed opposition groups,1
Non-Civilian,Tartous,2017-02,Armed opposition groups,6
Civilian,Daraa,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,26
Non-Civilian,Idlib,2017-02,Armed opposition groups,29
Non-Civilian,Damascus Suburbs,2017-02,Not identified,4
Non-Civilian,Idlib,2017-02,Al-Nusra Front,2
Non-Civilian,Other Nationalities,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,6
Non-Civilian,Deir Ezzor,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Civilian,Raqqa,2017-02,Not identified,2
Civilian,Deir Ezzor,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,10
Civilian,Hama,2017-02,Not identified,5
Non-Civilian,Aleppo,2017-02,Not identified,1
Civilian,Other Nationalities,2017-02,Armed opposition groups,1
Non-Civilian,Daraa,2017-02,Armed opposition groups,3
Civilian,Homs,2017-02,International coalition forces,4
Civilian,Homs,2017-02,Russian troops,2
Civilian,Raqqa,2017-02,International coalition forces,11
Non-Civilian,Hama,2017-02,Syrian government and affiliated militias,4
Civilian,Lattakia,2017-02,Syrian government and affiliated militias,2
Non-Civilian,Sweida,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,8
Civilian,Aleppo,2017-02,Self administration forces,4
Non-Civilian,Damascus Suburbs,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Raqqa,2017-02,Armed opposition groups,1
Non-Civilian,Raqqa,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,11
Civilian,Raqqa,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,5
Non-Civilian,Homs,2017-02,Al-Nusra Front,5
Civilian,Hasakeh,2017-02,Self administration forces,1
Civilian,Daraa,2017-02,Armed opposition groups,6
Non-Civilian,Lattakia,2017-02,Syrian government and affiliated militias,1
Civilian,Damascus,2017-02,Syrian government and affiliated militias,13
Civilian,Homs,2017-02,Not identified,1
Civilian,Damascus,2017-02,Not identified,2
Civilian,Daraa,2017-02,Russian troops,15
Non-Civilian,Idlib,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,22
Civilian,Quneitra,2017-02,Syrian government and affiliated militias,1
Civilian,Aleppo,2017-02,Armed opposition groups,2
Non-Civilian,Aleppo,2017-02,Armed opposition groups,1
Non-Civilian,Other Nationalities,2017-02,Syrian government and affiliated militias,3
Non-Civilian,Aleppo,2017-02,Self administration forces,1
Non-Civilian,Damascus Suburbs,2017-02,Armed opposition groups,2
Non-Civilian,Hama,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Hama,2017-02,Armed opposition groups,2
Non-Civilian,Other Nationalities,2017-02,Al-Nusra Front,1
Non-Civilian,Idlib,2017-02,Russian troops,2
Non-Civilian,Other Nationalities,2017-02,Not identified,2
Civilian,Homs,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Civilian,Idlib,2017-02,Russian troops,22
Non-Civilian,Lattakia,2017-02,Not identified,1
Non-Civilian,Deir Ezzor,2017-02,Not identified,1
Non-Civilian,Lattakia,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Tartous,2017-02,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Tartous,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,5
Non-Civilian,Damascus Suburbs,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Non-Civilian,Tartous,2017-01,Armed opposition groups,4
Non-Civilian,Lattakia,2017-01,Armed opposition groups,1
Non-Civilian,Idlib,2017-01,Armed opposition groups,1
Non-Civilian,Hama,2017-01,Armed opposition groups,1
Non-Civilian,Daraa,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,18
Non-Civilian,Daraa,2017-01,International coalition forces,4
Non-Civilian,Daraa,2017-01,Not identified,7
Non-Civilian,Quneitra,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Damascus Suburbs,2017-01,Not identified,9
Civilian,Aleppo,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,27
Civilian,Aleppo,2017-01,Syrian government and affiliated militias,66
Civilian,Homs,2017-01,Syrian government and affiliated militias,32
Non-Civilian,Unknown,2017-01,Armed opposition groups,1
Non-Civilian,Damascus Suburbs,2017-01,Syrian government and affiliated militias,70
Non-Civilian,Damascus,2017-01,Syrian government and affiliated militias,4
Civilian,Damascus Suburbs,2017-01,Syrian government and affiliated militias,77
Civilian,Deir Ezzor,2017-01,Not identified,4
Non-Civilian,Deir Ezzor,2017-01,Not identified,1
Civilian,Idlib,2017-01,Syrian government and affiliated militias,23
Non-Civilian,Homs,2017-01,Syrian government and affiliated militias,14
Non-Civilian,Daraa,2017-01,Armed opposition groups,2
Civilian,Daraa,2017-01,Armed opposition groups,1
Non-Civilian,Aleppo,2017-01,Not identified,1
Non-Civilian,Aleppo,2017-01,Syrian government and affiliated militias,8
Civilian,Deir Ezzor,2017-01,Russian troops,27
Non-Civilian,Idlib,2017-01,Syrian government and affiliated militias,4
Non-Civilian,Hama,2017-01,Russian troops,1
Civilian,Daraa,2017-01,Syrian government and affiliated militias,11
Civilian,Idlib,2017-01,Armed opposition groups,3
Non-Civilian,Idlib,2017-01,Not identified,4
Civilian,Aleppo,2017-01,Not identified,94
Civilian,Aleppo,2017-01,Russian troops,37
Non-Civilian,Other Nationalities,2017-01,Armed opposition groups,2
Civilian,Idlib,2017-01,Not identified,5
Non-Civilian,Daraa,2017-01,Syrian government and affiliated militias,13
Non-Civilian,Aleppo,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Civilian,Homs,2017-01,Not identified,2
Civilian,Deir Ezzor,2017-01,Syrian government and affiliated militias,44
Civilian,Deir Ezzor,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,35
Civilian,Hama,2017-01,Syrian government and affiliated militias,7
Non-Civilian,Idlib,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Aleppo,2017-01,Armed opposition groups,1
Non-Civilian,Aleppo,2017-01,Self administration forces,1
Civilian,Aleppo,2017-01,International coalition forces,3
Civilian,Homs,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Civilian,Raqqa,2017-01,Not identified,1
Non-Civilian,Aleppo,2017-01,International coalition forces,1
Non-Civilian,Idlib,2017-01,International coalition forces,16
Non-Civilian,Homs,2017-01,Russian troops,2
Civilian,Daraa,2017-01,Not identified,4
Civilian,Daraa,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,5
Non-Civilian,Deir Ezzor,2017-01,Syrian government and affiliated militias,3
Civilian,Homs,2017-01,Russian troops,2
Civilian,Hama,2017-01,Russian troops,6
Civilian,Raqqa,2017-01,Syrian government and affiliated militias,2
Civilian,Damascus,2017-01,Syrian government and affiliated militias,8
Civilian,Deir Ezzor,2017-01,International coalition forces,2
Non-Civilian,Damascus Suburbs,2017-01,International coalition forces,4
Non-Civilian,Homs,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Damascus,2017-01,Not identified,1
Civilian,Hama,2017-01,Not identified,1
Non-Civilian,Homs,2017-01,Not identified,1
Non-Civilian,Deir Ezzor,2017-01,International coalition forces,3
Non-Civilian,Deir Ezzor,2017-01,Russian troops,1
Civilian,Idlib,2017-01,International coalition forces,4
Non-Civilian,Quneitra,2017-01,Not identified,1
Non-Civilian,Deir Ezzor,2017-01,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Damascus Suburbs,2016-12,Syrian government and affiliated militias,58
Non-Civilian,Daraa,2016-12,Syrian government and affiliated militias,7
Civilian,Aleppo,2016-12,Not identified,119
Civilian,Aleppo,2016-12,Syrian government and affiliated militias,160
Non-Civilian,Damascus,2016-12,Syrian government and affiliated militias,2
Civilian,Damascus Suburbs,2016-12,Syrian government and affiliated militias,62
Civilian,Deir Ezzor,2016-12,Not identified,14
Civilian,Deir Ezzor,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,6
Civilian,Daraa,2016-12,Not identified,8
Civilian,Idlib,2016-12,Syrian government and affiliated militias,97
Non-Civilian,Idlib,2016-12,Syrian government and affiliated militias,17
Civilian,Idlib,2016-12,Not identified,5
Civilian,Aleppo,2016-12,Russian troops,52
Civilian,Aleppo,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,24
Civilian,Daraa,2016-12,Syrian government and affiliated militias,19
Non-Civilian,Idlib,2016-12,Not identified,5
Civilian,Aleppo,2016-12,Armed opposition groups,38
Civilian,Damascus Suburbs,2016-12,Russian troops,18
Civilian,Hama,2016-12,Russian troops,39
Civilian,Deir Ezzor,2016-12,Syrian government and affiliated militias,20
Civilian,Homs,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Damascus,2016-12,Syrian government and affiliated militias,3
Civilian,Damascus,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Hama,2016-12,Not identified,2
Non-Civilian,Homs,2016-12,Syrian government and affiliated militias,11
Non-Civilian,Damascus,2016-12,Armed opposition groups,1
Non-Civilian,Aleppo,2016-12,Syrian government and affiliated militias,45
Civilian,Homs,2016-12,Syrian government and affiliated militias,23
Civilian,Idlib,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Damascus Suburbs,2016-12,Not identified,2
Non-Civilian,Aleppo,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,11
Civilian,Damascus,2016-12,Not identified,1
Civilian,Daraa,2016-12,Armed opposition groups,8
Non-Civilian,Hama,2016-12,Syrian government and affiliated militias,8
Non-Civilian,Daraa,2016-12,Not identified,2
Non-Civilian,Damascus Suburbs,2016-12,Armed opposition groups,1
Non-Civilian,Other Nationalities,2016-12,Armed opposition groups,2
Non-Civilian,Quneitra,2016-12,Not identified,1
Civilian,Hama,2016-12,Syrian government and affiliated militias,20
Non-Civilian,Damascus Suburbs,2016-12,International coalition forces,4
Civilian,Aleppo,2016-12,International coalition forces,35
Non-Civilian,Deir Ezzor,2016-12,International coalition forces,4
Civilian,Daraa,2016-12,Russian troops,1
Civilian,Deir Ezzor,2016-12,Armed opposition groups,2
Civilian,Homs,2016-12,Russian troops,7
Civilian,Deir Ezzor,2016-12,Russian troops,1
Non-Civilian,Deir Ezzor,2016-12,Syrian government and affiliated militias,2
Civilian,Homs,2016-12,Not identified,7
Non-Civilian,Idlib,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Non-Civilian,Hama,2016-12,Not identified,2
Civilian,Daraa,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Idlib,2016-12,Russian troops,8
Non-Civilian,Homs,2016-12,Russian troops,1
Civilian,Aleppo,2016-12,Self administration forces,6
Civilian,Idlib,2016-12,Armed opposition groups,1
Non-Civilian,Daraa,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,6
Non-Civilian,Unknown,2016-12,Self administration forces,1
Civilian,Damascus,2016-12,Al-Nusra Front,1
Civilian,Damascus Suburbs,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Deir Ezzor,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Raqqa,2016-12,International coalition forces,3
Civilian,Homs,2016-12,International coalition forces,3
Non-Civilian,Homs,2016-12,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Aleppo,2016-12,Not identified,1
Non-Civilian,Damascus Suburbs,2016-12,Not identified,1
Civilian,Aleppo,2016-11,Not identified,64
Non-Civilian,Aleppo,2016-11,Syrian government and affiliated militias,95
Civilian,Deir Ezzor,2016-11,Not identified,2
Non-Civilian,Daraa,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,15
Non-Civilian,Idlib,2016-11,Syrian government and affiliated militias,86
Civilian,Idlib,2016-11,Syrian government and affiliated militias,124
Civilian,Damascus Suburbs,2016-11,Not identified,19
Civilian,Aleppo,2016-11,Syrian government and affiliated militias,257
Non-Civilian,Idlib,2016-11,Not identified,14
Civilian,Hama,2016-11,Russian troops,25
Civilian,Hama,2016-11,Syrian government and affiliated militias,52
Civilian,Damascus Suburbs,2016-11,Syrian government and affiliated militias,133
Non-Civilian,Damascus,2016-11,Syrian government and affiliated militias,3
Non-Civilian,Damascus Suburbs,2016-11,Syrian government and affiliated militias,33
Civilian,Idlib,2016-11,Not identified,8
Civilian,Aleppo,2016-11,Russian troops,234
Civilian,Unknown,2016-11,Syrian government and affiliated militias,2
Non-Civilian,Hama,2016-11,Syrian government and affiliated militias,30
Non-Civilian,Homs,2016-11,Syrian government and affiliated militias,29
Civilian,Homs,2016-11,Syrian government and affiliated militias,83
Civilian,Raqqa,2016-11,Not identified,2
Civilian,Homs,2016-11,Armed opposition groups,1
Civilian,Aleppo,2016-11,Self administration forces,8
Civilian,Aleppo,2016-11,Armed opposition groups,25
Civilian,Aleppo,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,37
Non-Civilian,Daraa,2016-11,Not identified,1
Non-Civilian,Aleppo,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,21
Non-Civilian,Daraa,2016-11,Syrian government and affiliated militias,12
Civilian,Daraa,2016-11,Armed opposition groups,1
Non-Civilian,Other Nationalities,2016-11,Armed opposition groups,14
Non-Civilian,Aleppo,2016-11,Russian troops,2
Civilian,Aleppo,2016-11,International coalition forces,4
Civilian,Idlib,2016-11,Russian troops,40
Civilian,Daraa,2016-11,Syrian government and affiliated militias,20
Civilian,Damascus Suburbs,2016-11,Russian troops,10
Civilian,Raqqa,2016-11,International coalition forces,21
Civilian,Homs,2016-11,Not identified,2
Non-Civilian,Lattakia,2016-11,Syrian government and affiliated militias,1
Civilian,Damascus,2016-11,Syrian government and affiliated militias,3
Non-Civilian,Damascus Suburbs,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,7
Civilian,Hama,2016-11,Self administration forces,1
Civilian,Raqqa,2016-11,Self administration forces,2
Civilian,Damascus,2016-11,Russian troops,1
Civilian,Daraa,2016-11,Not identified,2
Non-Civilian,Deir Ezzor,2016-11,Syrian government and affiliated militias,3
Non-Civilian,Idlib,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Civilian,Deir Ezzor,2016-11,Syrian government and affiliated militias,4
Non-Civilian,Damascus Suburbs,2016-11,Armed opposition groups,3
Civilian,Damascus Suburbs,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Hama,2016-11,Not identified,5
Civilian,Homs,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Homs,2016-11,International coalition forces,1
Civilian,Raqqa,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Hasakeh,2016-11,Syrian government and affiliated militias,1
Non-Civilian,Damascus Suburbs,2016-11,Al-Nusra Front,6
Civilian,Deir Ezzor,2016-11,International coalition forces,1
Civilian,Damascus,2016-11,Armed opposition groups,1
Civilian,Quneitra,2016-11,Syrian government and affiliated militias,1
Civilian,Quneitra,2016-11,Armed opposition groups,1
Civilian,Deir Ezzor,2016-11,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Civilian,Idlib,2016-11,International coalition forces,2
Civilian,Hama,2016-10,Syrian government and affiliated militias,50
Civilian,Homs,2016-10,Syrian government and affiliated militias,49
Non-Civilian,Idlib,2016-10,Syrian government and affiliated militias,86
Civilian,Deir Ezzor,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,14
Non-Civilian,Damascus Suburbs,2016-10,Syrian government and affiliated militias,76
Civilian,Damascus Suburbs,2016-10,Syrian government and affiliated militias,81
Non-Civilian,Damascus,2016-10,Syrian government and affiliated militias,10
Civilian,Aleppo,2016-10,Russian troops,200
Civilian,Aleppo,2016-10,Armed opposition groups,55
Non-Civilian,Aleppo,2016-10,Syrian government and affiliated militias,64
Civilian,Aleppo,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,94
Non-Civilian,Hama,2016-10,Syrian government and affiliated militias,40
Civilian,Aleppo,2016-10,Syrian government and affiliated militias,89
Non-Civilian,Homs,2016-10,Syrian government and affiliated militias,25
Non-Civilian,Deir Ezzor,2016-10,Syrian government and affiliated militias,4
Civilian,Daraa,2016-10,Syrian government and affiliated militias,30
Non-Civilian,Daraa,2016-10,Syrian government and affiliated militias,65
Civilian,Idlib,2016-10,Not identified,15
Non-Civilian,Daraa,2016-10,Not identified,5
Non-Civilian,Quneitra,2016-10,Syrian government and affiliated militias,3
Civilian,Aleppo,2016-10,International coalition forces,41
Civilian,Idlib,2016-10,Syrian government and affiliated militias,92
Civilian,Idlib,2016-10,Armed opposition groups,1
Non-Civilian,Idlib,2016-10,Armed opposition groups,5
Civilian,Daraa,2016-10,Not identified,4
Non-Civilian,Aleppo,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,45
Civilian,Aleppo,2016-10,Not identified,15
Civilian,Damascus Suburbs,2016-10,Not identified,3
Civilian,Damascus,2016-10,Not identified,2
Civilian,Homs,2016-10,Russian troops,4
Civilian,Hama,2016-10,Russian troops,9
Civilian,Aleppo,2016-10,Self administration forces,3
Non-Civilian,Idlib,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Non-Civilian,Aleppo,2016-10,Not identified,1
Civilian,Idlib,2016-10,Russian troops,25
Non-Civilian,Idlib,2016-10,Not identified,6
Civilian,Raqqa,2016-10,Self administration forces,1
Non-Civilian,Deir Ezzor,2016-10,Armed opposition groups,1
Non-Civilian,Aleppo,2016-10,Armed opposition groups,2
Non-Civilian,Lattakia,2016-10,Syrian government and affiliated militias,1
Civilian,Raqqa,2016-10,International coalition forces,2
Civilian,Deir Ezzor,2016-10,Russian troops,1
Non-Civilian,Aleppo,2016-10,Self administration forces,5
Civilian,Daraa,2016-10,Armed opposition groups,8
Civilian,Homs,2016-10,Not identified,3
Civilian,Lattakia,2016-10,Syrian government and affiliated militias,1
Civilian,Daraa,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Homs,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Quneitra,2016-10,Syrian government and affiliated militias,1
Civilian,Deir Ezzor,2016-10,Syrian government and affiliated militias,5
Non-Civilian,Aleppo,2016-10,Russian troops,2
Non-Civilian,Damascus Suburbs,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,11
Civilian,Deir Ezzor,2016-10,Not identified,2
Non-Civilian,Deir Ezzor,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,9
Civilian,Damascus,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Damascus,2016-10,Syrian government and affiliated militias,7
Non-Civilian,Tartous,2016-10,Syrian government and affiliated militias,1
Civilian,Other Nationalities,2016-10,Armed opposition groups,1
Civilian,Damascus,2016-10,Armed opposition groups,1
Non-Civilian,Daraa,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,4
Non-Civilian,Damascus,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Homs,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Civilian,Damascus Suburbs,2016-10,Russian troops,1
Civilian,Hama,2016-10,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Daraa,2016-10,Armed opposition groups,1
Non-Civilian,Hama,2016-10,Armed opposition groups,3
Non-Civilian,Hama,2016-10,Russian troops,6
Non-Civilian,Homs,2016-10,Not identified,1
Non-Civilian,Idlib,2016-09,Syrian government and affiliated militias,94
Civilian,Idlib,2016-09,Syrian government and affiliated militias,86
Civilian,Aleppo,2016-09,Russian troops,366
Civilian,Aleppo,2016-09,Not identified,22
Civilian,Aleppo,2016-09,Syrian government and affiliated militias,220
Civilian,Aleppo,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,39
Non-Civilian,Aleppo,2016-09,Syrian government and affiliated militias,43
Civilian,Aleppo,2016-09,Armed opposition groups,38
Civilian,Damascus Suburbs,2016-09,Syrian government and affiliated militias,66
Civilian,Hama,2016-09,Syrian government and affiliated militias,86
Non-Civilian,Damascus Suburbs,2016-09,Syrian government and affiliated militias,62
Non-Civilian,Hama,2016-09,Syrian government and affiliated militias,54
Civilian,Hama,2016-09,Russian troops,23
Non-Civilian,Hama,2016-09,Armed opposition groups,3
Civilian,Homs,2016-09,Syrian government and affiliated militias,46
Civilian,Damascus Suburbs,2016-09,Russian troops,11
Civilian,Daraa,2016-09,Armed opposition groups,1
Non-Civilian,Daraa,2016-09,Not identified,2
Civilian,Deir Ezzor,2016-09,Syrian government and affiliated militias,23
Non-Civilian,Deir Ezzor,2016-09,Armed opposition groups,2
Non-Civilian,Deir Ezzor,2016-09,Syrian government and affiliated militias,4
Non-Civilian,Hama,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,2
Non-Civilian,Damascus,2016-09,Syrian government and affiliated militias,4
Non-Civilian,Homs,2016-09,Syrian government and affiliated militias,26
Civilian,Deir Ezzor,2016-09,Not identified,3
Civilian,Hama,2016-09,Not identified,4
Non-Civilian,Daraa,2016-09,Syrian government and affiliated militias,77
Non-Civilian,Idlib,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Non-Civilian,Daraa,2016-09,Armed opposition groups,1
Civilian,Deir Ezzor,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,23
Civilian,Daraa,2016-09,Not identified,5
Civilian,Aleppo,2016-09,International coalition forces,4
Non-Civilian,Quneitra,2016-09,Syrian government and affiliated militias,7
Civilian,Other Nationalities,2016-09,Syrian government and affiliated militias,1
Civilian,Damascus,2016-09,Syrian government and affiliated militias,4
Non-Civilian,Aleppo,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,24
Non-Civilian,Hasakeh,2016-09,Syrian government and affiliated militias,1
Civilian,Daraa,2016-09,Syrian government and affiliated militias,37
Civilian,Quneitra,2016-09,Armed opposition groups,3
Civilian,Hasakeh,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Homs,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Damascus Suburbs,2016-09,Not identified,6
Civilian,Raqqa,2016-09,Self administration forces,1
Non-Civilian,Homs,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Daraa,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,6
Non-Civilian,Daraa,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,11
Non-Civilian,Idlib,2016-09,Not identified,2
Civilian,Deir Ezzor,2016-09,Russian troops,28
Non-Civilian,Deir Ezzor,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Civilian,Idlib,2016-09,Russian troops,75
Non-Civilian,Damascus Suburbs,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,9
Non-Civilian,Hama,2016-09,Not identified,1
Civilian,Raqqa,2016-09,Not identified,1
Civilian,Idlib,2016-09,Not identified,3
Civilian,Deir Ezzor,2016-09,International coalition forces,2
Non-Civilian,Hasakeh,2016-09,Self administration forces,1
Non-Civilian,Other Nationalities,2016-09,Syrian government and affiliated militias,1
Non-Civilian,Sweida,2016-09,Syrian government and affiliated militias,1
Non-Civilian,Deir Ezzor,2016-09,Self administration forces,1
Civilian,Aleppo,2016-09,Self administration forces,1
Civilian,Homs,2016-09,Russian troops,4
Non-Civilian,Damascus,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,1
Non-Civilian,Homs,2016-09,Not identified,1
Non-Civilian,Unknown,2016-09,The organization of the Islamic State in Iraq and the Levant - ISIS,3
Non-Civilian,Damascus,2016-08,Syrian government and affiliated militias,3
Civilian,Hama,2016-08,Syrian government and affiliated militias,32
