HDI rank,Country,Population: Total: 2013 (millions),Note 1,Population: Total: 2030 (millions) ,Note 2,Population: Under age 5 (millions): 2013,Note 3,Population Ages 65 and older (millions) 2013,Note 4,Population Average annual growth rate (%) 2000/2005,Note 5,Population Average annual growth rate (%) 2010/2015,Note 6,Population Urban (% of population) 2013,Note 7,Population Median age (years) 2015,Note 8,Dependency ratio Young age (ages 0-14) 2015,Note 9,Dependency ratio Old age (ages 65 and older) 2015,Note 10,Total fertility rate (births per woman) 2000/2005,Note 11,Total fertility rate (births per woman) 2010/2015,Note 12,Sex ratio at birth (male to female births) 2010/2015,Note 13
183,Sierra Leone,6.1,,8.1,,0.9,,0.2,,4.3,,1.9,,40,,19.3,,72.4,,4.7,,5.7,,4.8,,1.02,
184,Chad,12.8,,20.9,,2.5,,0.3,,3.8,,3,,22,,15.9,,96.3,,4.8,,7.2,,6.3,,1.03,
185,Central African Republic,4.6,,6.3,,0.7,,0.2,,1.7,,2,,39.5,,20,,68.7,,6.7,,5.3,,4.4,,1.03,
186,Congo (Democratic Republic of the),67.5,,103.7,,11.9,,1.9,,2.8,,2.7,,35.4,,17.5,,84.7,,5.4,,6.9,,6,,1.03,
187,Niger,17.8,,34.5,,3.7,,0.5,,3.6,,3.9,,18.3,,15,,106,,5.5,,7.7,,7.6,,1.05,
,Korea (Democratic People's Rep. of),24.9,,26.7,,1.7,,2.4,,0.8,,0.5,,60.6,,33.9,,30.5,,13.8,,2,,2,,1.05,
,Marshall Islands,0.1,,0.1,,..,,..,,0,,0.2,,72.5,,..,,..,,..,,..,,..,,..,
,Monaco,0,,0,,..,,..,,1,,0.8,,100,,..,,..,,..,,..,,..,,..,
,Nauru,0,,0,,..,,..,,0.1,,0.2,,100,,..,,..,,..,,..,,..,,..,
,San Marino,0,,0,,..,,..,,2,,0.6,,94.2,,..,,..,,..,,..,,..,,..,
,Somalia,10.5,,16.9,,2,,0.3,,2.7,,2.9,,38.7,,16.5,,92.6,,5.6,,7.4,,6.6,,1.03,
,South Sudan,11.3,,17.3,,1.8,,0.4,,3.8,,4,,18.4,,18.9,,75.3,,6.4,,5.9,,5,,1.04,
,Tuvalu,0,,0,,..,,..,,0.6,,0.2,,51.4,,..,,..,,..,,..,,..,,..,
,Arab States,366,,481.3,,43.9,,15.4,,2.2,,2,,57.8,,24.6,,50.8,,6.8,,3.6,,3.2,,1.05,
,East Asia and the Pacific,2035.9,,2211.9,,149.2,,160.7,,0.8,,0.8,,50.8,,33.7,,29.5,,11.8,,1.8,,1.9,,1.05,
,Europe and Central Asia,233.4,,251,,18.9,,21.2,,0.4,,0.7,,60.5,,32.2,,33.4,,13.4,,2,,2,,1.07,
,Latin America and the Caribbean,611.3,,711.1,,53.6,,44,,1.3,,1.1,,79.5,,29,,39.4,,11.4,,2.5,,2.2,,1.05,
,South Asia,1749,,2085.5,,175.1,,89.6,,1.6,,1.3,,33.4,,26.4,,44.2,,8.1,,3.1,,2.6,,1.06,
,Sub-Saharan Africa,888.2,,1348.9,,146.6,,27.6,,2.6,,2.7,,37.4,,18.5,,78.9,,5.8,,5.7,,5.1,,1.03,
,Least developed countries,898.4,T,1287,T,132.1,T,31.7,T,2.4,T,2.3,T,29.4,T,19.9,T,69.1,T,6.2,T,4.9,T,4.2,T,1.04,T
,Small island developing states,54.3,,63.4,,5.4,,3.7,,1.3,,1.1,,53,,27.9,,45.4,,11,,3.1,,2.7,,1.06,
,World,7162.1,T,8424.9,T,659,T,570.5,T,1.2,T,1.1,T,53,T,29.6,T,39.5,T,12.5,T,2.6,T,2.5,T,1.07,T
