SIN(s) PROPOSED,SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE ,CONTRACT END DATE
132-51,Project Manager,Bachelors,3,Hour,$151.17,GS-35F-130BA,"Social Solutions Global, Inc",S,IT Schedule 70,Both,5,12/20/13,12/19/18
132-51,Implementation and Training Specialist,Bachelors,6,Hour,$151.93,GS-35F-130BA,"Social Solutions Global, Inc",S,IT Schedule 70,Both,5,12/20/13,12/19/18
132-51,Project Manager I,Bachelors,10,Hour,$98.97,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Solutions Architect V,Bachelors,12,Hour,$110.08,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Solutions Architect IV,Bachelors,10,Hour,$107.13,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Solutions Architect III,Bachelors,8,Hour,$92.85,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Solutions Architect II,Bachelors,6,Hour,$90.13,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Solutions Architect I,Bachelors,4,Hour,$78.49,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Systems Administrator II,Bachelors,6,Hour,$90.13,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Systems Administrator I,Bachelors,3,Hour,$76.57,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Information Security Specialist,Bachelors,6,Hour,$87.32,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Database Architect,Bachelors,6,Hour,$86.78,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Systems Engineer,Bachelors,5,Hour,$83.75,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Web Software Developer,Bachelors,5,Hour,$81.36,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Programmer Analyst,Bachelors,5,Hour,$81.36,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Enterprise Architect I,Bachelors,5,Hour,$83.27,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Software QA Specialist,Bachelors,3,Hour,$71.79,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Application Engineer,Bachelors,3,Hour,$75.15,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Developer III,Bachelors,5,Hour,$80.40,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Developer I,Bachelors,1,Hour,$49.77,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Business & Systems Analyst,Bachelors,3,Hour,$67.76,GS-35F-389CA,Zip Zap IT Solutions LLC,S,IT Schedule 70,Both,1,6/26/15,6/25/20
132-51,Project Manager,Bachelors,7,Hour,$143.58,GS-35F-276BA,"Excalibur Intergrated Systems, Inc",S,IT Schedule 70,Both,2,3/21/14,3/20/19
132-51,Senior Network Engineer,Bachelors,5,Hour,$129.22,GS-35F-276BA,"Excalibur Intergrated Systems, Inc",S,IT Schedule 70,Both,2,3/21/14,3/20/19
132-51,Network Engineer,Bachelors,2,Hour,$114.86,GS-35F-276BA,"Excalibur Intergrated Systems, Inc",S,IT Schedule 70,Both,2,3/21/14,3/20/19
132-51, Project Manager I ,Bachelors,5,Hour,$143.58,GS-35F-250CA,"Marquis Business and Technology Solutions, LLC",S,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51, Project Manager II  ,Bachelors,7,Hour,$149.56,GS-35F-250CA,"Marquis Business and Technology Solutions, LLC",S,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51, Business Analyst I ,Bachelors,3,Hour,$115.58,GS-35F-250CA,"Marquis Business and Technology Solutions, LLC",S,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51, Business Analyst II ,Bachelors,5,Hour,$119.65,GS-35F-250CA,"Marquis Business and Technology Solutions, LLC",S,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51, Businsss Analyst IV ,Bachelors,7,Hour,$143.58,GS-35F-250CA,"Marquis Business and Technology Solutions, LLC",S,IT Schedule 70,Both,1,3/19/15,3/18/20
132-51,Network Engineer IV,Bachelors,12,Hour,$132.66,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,Cyber Security Engineer I,Bachelors,2,Hour,$87.93,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,Cyber Security Engineer II,Bachelors,4,Hour,$112.44,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,Cyber Security Engineer III,Bachelors,8,Hour,$128.94,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,Cyber Security Engineer IV,Bachelors,12,Hour,$148.17,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,IT Security Specialist,Bachelors,4,Hour,$121.69,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,Penetration Tester III,Bachelors,8,Hour,$133.69,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,Security Engineer,Bachelors,12,Hour,$166.19,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,IA Specialist II,Bachelors,4,Hour,$107.77,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,IA Specialist III,Bachelors,8,Hour,$121.69,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,IA Specialist IV,Bachelors,12,Hour,$128.94,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,System Engineer,Bachelors,2,Hour,$96.48,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,IT Support Specialist II,Bachelors,4,Hour,$107.77,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,IT Support Specialist III,Bachelors,8,Hour,$121.69,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,IT Support Specialist IV,Bachelors,12,Hour,$128.94,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,Software Developer III,Bachelors,4,Hour,$129.26,GS-35F-399CA,"Secure Innovations, LLC",S,IT Schedule 70,Both,1,7/1/15,6/30/20
132-51,Business Analyst ,Bachelors,8,Hour,$143.58,GS-35F-025BA,"Truepoint Solutions, LLC",S,IT Schedule 70,Both,2,10/11/13,10/10/18
132-51,Implementation Consultant I ,Bachelors,5,Hour,$134.01,GS-35F-025BA,"Truepoint Solutions, LLC",S,IT Schedule 70,Both,2,10/11/13,10/10/18
132-51,Project Manager ,Bachelors,7,Hour,$157.93,GS-35F-025BA,"Truepoint Solutions, LLC",S,IT Schedule 70,Both,2,10/11/13,10/10/18
132-51,Report Dev Consultant ,Bachelors,4,Hour,$134.01,GS-35F-025BA,"Truepoint Solutions, LLC",S,IT Schedule 70,Both,2,10/11/13,10/10/18
132-51,Technical Consultant,Bachelors,6,Hour,$134.01,GS-35F-025BA,"Truepoint Solutions, LLC",S,IT Schedule 70,Both,2,10/11/13,10/10/18
132-51,Trainer,Bachelors,5,Hour,$157.93,GS-35F-025BA,"Truepoint Solutions, LLC",S,IT Schedule 70,Both,2,10/11/13,10/10/18
132-51,Web Consultant ,Bachelors,5,Hour,$157.93,GS-35F-025BA,"Truepoint Solutions, LLC",S,IT Schedule 70,Both,2,10/11/13,10/10/18
132-51,Project Manager,Bachelors,5,Hour,$122.80,GS-35F-216CA,"Wycliffe Enterprises, Inc",S,IT Schedule 70,Both,1,3/6/15,3/5/20
132-51,Contracts Administrator,High School Diploma,4,Hour,$70.10,GS-35F-216CA,"Wycliffe Enterprises, Inc",S,IT Schedule 70,Both,1,3/6/15,3/5/20
132-51,Network Engineer,Bachelors,5,Hour,$98.24,GS-35F-216CA,"Wycliffe Enterprises, Inc",S,IT Schedule 70,Both,1,3/6/15,3/5/20
132-51,Network Engineer-Project Manager,Bachelors,5,Hour,$147.36,GS-35F-216CA,"Wycliffe Enterprises, Inc",S,IT Schedule 70,Both,1,3/6/15,3/5/20
132-51,Systems Designer,Bachelors,7,Hour,$147.36,GS-35F-216CA,"Wycliffe Enterprises, Inc",S,IT Schedule 70,Both,1,3/6/15,3/5/20
132-51,Developer 1,Bachelors,3,Hour,$81.59,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Developer 2,Bachelors,5,Hour,$86.59,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Test Engineer 1,Bachelors,3,Hour,$75.77,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Test Engineer 2,Bachelors,5,Hour,$106.79,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Project Manager 1,Bachelors,7,Hour,$123.06,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Project Manager 2,Bachelors,10,Hour,$142.39,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Consultant L1,Bachelors,7,Hour,$194.25,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Consultant L2,Bachelors,9,Hour,$194.25,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Consultant L3,Bachelors,12,Hour,$305.11,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Architect L3,Bachelors,12,Hour,$228.84,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,2,3/18/14,3/19/19
132-51,Developer 1,Bachelors,3,Hour,$84.04,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Developer 2,Bachelors,5,Hour,$89.19,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Test Engineer 1,Bachelors,3,Hour,$78.04,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Test Engineer 2,Bachelors,5,Hour,$109.99,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Project Manager 1,Bachelors,7,Hour,$126.75,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Project Manager 2,Bachelors,10,Hour,$146.66,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Consultant L1,Bachelors,7,Hour,$200.08,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Consultant L2,Bachelors,9,Hour,$200.08,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Consultant L3,Bachelors,12,Hour,$314.26,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Architect L3,Bachelors,12,Hour,$235.71,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,3,3/18/14,3/19/19
132-51,Developer 1,Bachelors,3,Hour,$86.56,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Developer 2,Bachelors,5,Hour,$91.87,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Test Engineer 1,Bachelors,3,Hour,$80.38,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Test Engineer 2,Bachelors,5,Hour,$113.29,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Project Manager 1,Bachelors,7,Hour,$130.55,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Project Manager 2,Bachelors,10,Hour,$151.06,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Consultant L1,Bachelors,7,Hour,$206.08,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Consultant L2,Bachelors,9,Hour,$206.08,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Consultant L3,Bachelors,12,Hour,$323.69,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Architect L3,Bachelors,12,Hour,$242.78,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,4,3/18/14,3/19/19
132-51,Developer 1,Bachelors,3,Hour,$89.16,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Developer 2,Bachelors,5,Hour,$94.63,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Test Engineer 1,Bachelors,3,Hour,$82.79,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Test Engineer 2,Bachelors,5,Hour,$116.69,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Project Manager 1,Bachelors,7,Hour,$134.47,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Project Manager 2,Bachelors,10,Hour,$155.59,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Consultant L1,Bachelors,7,Hour,$212.26,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Consultant L2,Bachelors,9,Hour,$212.26,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Consultant L3,Bachelors,12,Hour,$333.40,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Architect L3,Bachelors,12,Hour,$250.06,GS-35F-272BA,"Wipro, LLC",O,IT Schedule 70,Both,5,3/18/14,3/19/19
132-51,Senor Computer Systems Analyst II,Masters,8,Hour,$117.88,GS-35F-347BA,"SAI Universal Business, Inc",S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Quality Assurance Engineer I,Bachelors,3,Hour,$45.34,GS-35F-347BA,"SAI Universal Business, Inc",S,IT Schedule 70,Both,2,4/28/14,4/27/19
132-51,Principle Integrating Systems Engineer,Bachelors,15,Hour,$245.00,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Lead technical ,Bachelors,10,Hour,$132.30,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Systems Analyst I,Bachelors,2,Hour,$50.18,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Senior Systems Analyst II,Bachelors,4,Hour,$86.50,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Senior Systems Analyst III,Bachelors,6,Hour,$100.20,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Senior Systems Analyst IV,Bachelors,8,Hour,$108.30,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Senior Systems Engineer,Bachelors,4,Hour,$98.94,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Senior Systems Integrator,Bachelors,15,Hour,$122.50,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Senior Systems Integrator II,Bachelors,12,Hour,$116.52,GS-35F-455BA,"Programmatics Engineering Group, Inc",S,IT Schedule 70,Both,2,7/31/14,7/30/19
132-51,Computer Systems Technologist I,Bachelors,4,Hour,$79.51,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Computer Systems Technologist II,Bachelors,6,Hour,$87.46,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Computer Systems Technologist III,Bachelors,8,Hour,$96.21,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Program/Project  Manager,Bachelors,12,Hour,$132.82,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Principal Logistics Specialist ,Bachelors,8,Hour,$76.01,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,"Principal Logistics Specialist, Senior",Bachelors,10,Hour,$91.58,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Logistics Engineer,Bachelors,10,Hour,$110.37,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Information Technology Specialist I,Bachelors,5,Hour,$76.82,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Information Technology Specialist II,Bachelors,8,Hour,$85.52,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Information Technology Specialist III,Bachelors,10,Hour,$97.99,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Computer Security Systems Specialist Junior,Bachelors,4,Hour,$69.33,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,"Computer Security Systems Specialist, Intermediate",Bachelors,6,Hour,$91.20,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,"Computer Security Systems Specialist, Senior",Bachelors,8,Hour,$107.51,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Subject Matter Expert I,Bachelors,6,Hour,$67.04,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Subject Matter Expert II,Bachelors,8,Hour,$81.23,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Subject Matter Expert III,Bachelors,10,Hour,$100.40,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Subject Matter Expert IV,Bachelors,12,Hour,$112.91,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Schedule Analyst I,Bachelors,4,Hour,$51.54,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Schedule Analyst II,Bachelors,6,Hour,$58.93,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Schedule Analyst III,Bachelors,8,Hour,$67.87,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Specialty Engineer I,Bachelors,6,Hour,$72.84,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Specialty Engineer II,Bachelors,8,Hour,$80.12,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Specialty Engineer III,Bachelors,10,Hour,$86.32,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Functional Analyst 1,Bachelors,0,Hour,$38.84,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Functional Analyst 2,Bachelors,2,Hour,$48.72,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Functional Analyst 3,Bachelors,5,Hour,$54.55,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Functional Analyst Lead,Bachelors,7,Hour,$70.29,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Functional Analyst Principal,Bachelors,10,Hour,$80.82,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Software Developer 1,Bachelors,2,Hour,$47.88,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Software Developer 2,Bachelors,2,Hour,$54.55,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Software Developer 3,Bachelors,5,Hour,$67.82,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Software Developer Supervisor,Bachelors,7,Hour,$74.60,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Software Developer Expert,Bachelors,16,Hour,$96.53,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Systems Programmer 1,Bachelors,0,Hour,$43.49,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Systems Programmer 2,Bachelors,2,Hour,$54.55,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Systems Programmer 3,Bachelors,5,Hour,$61.11,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Systems Programmer Lead,Bachelors,7,Hour,$70.29,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Systems Programmer Principal,Bachelors,10,Hour,$79.11,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Project Manager Deputy,Bachelors,7,Hour,$70.29,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Programmer Analyst 1,Bachelors,0,Hour,$43.49,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Programmer Analyst 2,Bachelors,2,Hour,$54.55,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Programmer Analyst 3,Bachelors,5,Hour,$61.11,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Programmer Analyst Lead,Bachelors,7,Hour,$70.29,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Computer Programmer 1,Bachelors,0,Hour,$43.49,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Computer Programmer 2,Bachelors,2,Hour,$54.55,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Computer Programmer 3,Bachelors,5,Hour,$61.11,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Computer Programmer 4,Bachelors,7,Hour,$70.29,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Configuration Management Analyst 1,Bachelors,0,Hour,$43.49,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Configuration Management Analyst 2,Bachelors,2,Hour,$48.72,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Configuration Management Analyst 3,Bachelors,5,Hour,$61.11,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Database Administrator 1,Bachelors,0,Hour,$48.72,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Database Administrator 2,Bachelors,2,Hour,$54.55,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Database Administrator 3,Bachelors,5,Hour,$70.29,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Database Administrator Lead,Bachelors,7,Hour,$80.82,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
132-51,Database Administrator Principal,Bachelors,10,Hour,$96.98,GS-35F-186CA,Visual Awareness Technologies and Consulting Inc,S,IT Schedule 70,Both,1,2/12/15,2/11/20
